s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.97,50.0,130.0,81.72142028808594,80.18974081046777,-23.2483289453817
0.97,50.0,135.0,82.15640258789062,81.28666540494972,-32.84433092707909
0.97,50.0,140.0,84.2712631225586,82.75287063091075,-42.33383016564187
0.97,60.0,0.0,159.27252197265625,163.9576629327675,236.7557113772784
0.97,60.0,5.0,150.6256866455078,157.75232763734422,224.90901548131484
0.97,60.0,10.0,142.03826904296875,151.67068947847176,213.13788642111862
0.97,60.0,15.0,133.5150146484375,145.7216417523492,201.44428566507682
0.97,60.0,20.0,125.06101989746094,139.91497836856138,189.83006748435977
0.97,60.0,25.0,116.68263244628906,134.261783700724,178.2970370517133
0.97,60.0,30.0,108.38672637939453,128.77456531425372,166.847148689624
0.97,60.0,35.0,100.18145751953125,123.46719579507749,155.482175645664
0.97,60.0,40.0,92.07684326171875,118.35524435861514,144.20382884817153
0.97,60.0,45.0,84.70050048828125,113.45596871005729,133.01385337329452
0.97,60.0,50.0,77.87451171875,108.7885303510324,121.91402699783987
0.97,60.0,55.0,73.911865234375,104.37383513571541,110.90584063411593
0.97,60.0,60.0,71.99429321289062,100.23473913612735,99.99095593728623
0.97,60.0,65.0,73.45512390136719,96.39548157039053,89.17084627278041
0.97,60.0,70.0,75.13986206054688,92.8815610064775,78.44691420154165
0.97,60.0,75.0,73.46586608886719,89.71905749250685,67.82056055925392
0.97,60.0,80.0,71.9281005859375,86.9336048956688,57.29288955967042
0.97,60.0,85.0,72.98748779296875,84.54946083875994,46.865299176669744
0.97,60.0,90.0,73.84644317626953,82.58794732264963,36.53866702944124
0.97,60.0,95.0,73.39196014404297,81.06603271504194,26.31421624651154
0.97,60.0,100.0,74.88623809814453,79.99494307747678,16.192708273830597
0.97,60.0,105.0,76.77557373046875,79.37890307825027,6.175056270323678
0.97,60.0,110.0,78.44224548339844,79.21459246979846,-3.7381692335323224
0.97,60.0,115.0,80.0910415649414,79.49095860536593,-13.546124346317917
0.97,60.0,120.0,81.72142028808594,80.18973167685654,-23.248328628473057
0.97,60.0,125.0,82.15640258789062,81.28665038768666,-32.844326590249565
0.97,60.0,130.0,84.2712631225586,82.75286473043546,-42.33382573182828
0.97,60.0,135.0,81.98979187011719,84.55645707805968,-51.71634719809705
0.97,60.0,140.0,82.04373931884766,86.66417764855326,-60.99188492129087
0.975,-60.0,0.0,343.6074523925781,325.4692645819264,517.9280271736415
0.975,-60.0,5.0,334.69207763671875,317.3934245341261,504.73216334841874
0.975,-60.0,10.0,325.78173828125,309.4050742958169,491.59149564338014
0.975,-60.0,15.0,316.87896728515625,301.5005182416773,478.5053497549434
0.975,-60.0,20.0,307.98583984375,293.67669298056325,465.47346899615223
0.975,-60.0,25.0,299.10504150390625,285.93097670154594,452.49552468970757
0.975,-60.0,30.0,290.2392578125,278.2612166427438,439.5713846830154
0.975,-60.0,35.0,281.5860595703125,270.6658889433613,426.70121533401476
0.975,-60.0,40.0,273.48712158203125,263.14391262197194,413.8853276085703
0.975,-60.0,45.0,265.5111083984375,255.69461918712722,401.1241498846184
0.975,-60.0,50.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-60.0,55.0,249.9144287109375,241.01391460090016,375.7684213718711
0.975,-60.0,60.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-60.0,65.0,234.6167755126953,226.6279043525973,350.64084128969995
0.975,-60.0,70.0,225.72703552246094,219.54861363716236,338.1653082576587
0.975,-60.0,75.0,216.88687133789062,212.54776117675294,325.7503681117227
0.975,-60.0,80.0,208.10076904296875,205.6278115309308,313.3973198495911
0.975,-60.0,85.0,199.99591064453125,198.79186862457428,301.1078456229896
0.975,-60.0,90.0,192.50958251953125,192.04340126323007,288.88348249651204
0.975,-60.0,95.0,185.11227416992188,185.38643128948246,276.72583206323475
0.975,-60.0,100.0,177.80499267578125,178.8255795198914,264.6366747302317
0.975,-60.0,105.0,170.58853149414062,172.36609952547224,252.61776839375744
0.975,-60.0,110.0,161.90042114257812,166.01393602082024,240.67095663718496
0.975,-60.0,115.0,153.23211669921875,159.77577061306886,228.79808280115387
0.975,-60.0,120.0,144.62265014648438,153.65916396972554,217.00108450013633
0.975,-60.0,125.0,136.0765380859375,147.6724428951624,205.2816472008615
0.975,-60.0,130.0,127.5994644165039,141.82529415622588,193.64187842386548
0.975,-60.0,135.0,119.19685363769531,136.12826413671408,182.0834924856694
0.975,-60.0,140.0,110.87553405761719,130.59337984513226,170.60830987012912
0.975,-50.0,0.0,325.78173828125,309.4050742958169,491.59149564338014
0.975,-50.0,5.0,316.87896728515625,301.5005182416773,478.50536195831705
0.975,-50.0,10.0,307.98583984375,293.67669298056325,465.47346317328817
0.975,-50.0,15.0,299.10504150390625,285.93097670154594,452.49552468970757
0.975,-50.0,20.0,290.2392578125,278.2612166427438,439.5713846830154
0.975,-50.0,25.0,281.5860595703125,270.6658889433613,426.70122115687894
0.975,-50.0,30.0,273.48712158203125,263.14391262197194,413.8853276085703
0.975,-50.0,35.0,265.5111083984375,255.69461918712722,401.1241498846184
0.975,-50.0,40.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-50.0,45.0,249.9144287109375,241.01391460090016,375.7684213718711
0.975,-50.0,50.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-50.0,55.0,234.6167755126953,226.6279043525973,350.64084128969995
0.975,-50.0,60.0,225.72703552246094,219.54861363716236,338.1653082576587
0.975,-50.0,65.0,216.88687133789062,212.54776117675294,325.7503681117227
0.975,-50.0,70.0,208.10076904296875,205.6278115309308,313.3973198495911
0.975,-50.0,75.0,199.99591064453125,198.79186862457428,301.1078456229896
0.975,-50.0,80.0,192.50958251953125,192.04340126323007,288.88348249651204
0.975,-50.0,85.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,-50.0,90.0,177.80499267578125,178.82559044184643,264.63668966957266
0.975,-50.0,95.0,170.58853149414062,172.36609952547224,252.61776391195522
0.975,-50.0,100.0,161.90042114257812,166.0139477856454,240.67097456439416
0.975,-50.0,105.0,153.23211669921875,159.77577061306886,228.79808280115387
0.975,-50.0,110.0,144.62265014648438,153.65915125896342,217.00108450013633
0.975,-50.0,115.0,136.0765380859375,147.6724428951624,205.28165688614837
0.975,-50.0,120.0,127.5994644165039,141.82529415622588,193.64187842386548
0.975,-50.0,125.0,119.19685363769531,136.12826413671408,182.0834924856694
0.975,-50.0,130.0,110.87553405761719,130.59337984513226,170.60830987012912
0.975,-50.0,135.0,102.64354705810547,125.23398802965791,159.21824336205654
0.975,-50.0,140.0,94.51004791259766,120.06513125044881,147.91508133876386
0.975,-40.0,0.0,307.98583984375,293.67669298056325,465.47346317328817
0.975,-40.0,5.0,299.10504150390625,285.93097670154594,452.49552767615535
0.975,-40.0,10.0,290.2392578125,278.2612166427438,439.5713846830154
0.975,-40.0,15.0,281.5860595703125,270.6658889433613,426.70122115687894
0.975,-40.0,20.0,273.48712158203125,263.14391262197194,413.8853276085703
0.975,-40.0,25.0,265.5111083984375,255.69461918712722,401.1241498846184
0.975,-40.0,30.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-40.0,35.0,249.9144287109375,241.01391460090016,375.7684213718711
0.975,-40.0,40.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-40.0,45.0,234.61676025390625,226.6279043525973,350.64085011491
0.975,-40.0,50.0,225.72703552246094,219.54861363716236,338.1653082576587
0.975,-40.0,55.0,216.88687133789062,212.54776117675294,325.7503681117227
0.975,-40.0,60.0,208.10076904296875,205.6278115309308,313.3973213428151
0.975,-40.0,65.0,199.99591064453125,198.79186862457428,301.1078456229896
0.975,-40.0,70.0,192.50958251953125,192.04340126323007,288.88348249651204
0.975,-40.0,75.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,-40.0,80.0,177.80499267578125,178.82559044184643,264.63668966957266
0.975,-40.0,85.0,170.58853149414062,172.36609952547224,252.61777542269382
0.975,-40.0,90.0,161.90042114257812,166.0139477856454,240.67097024786716
0.975,-40.0,95.0,153.23211669921875,159.77577061306886,228.7980753314834
0.975,-40.0,100.0,144.62265014648438,153.65915125896342,217.00108151013762
0.975,-40.0,105.0,136.0765380859375,147.6724428951624,205.28165688614837
0.975,-40.0,110.0,127.5994644165039,141.82530104189803,193.64188810915235
0.975,-40.0,115.0,119.19691467285156,136.12827131055474,182.08349858156677
0.975,-40.0,120.0,110.87553405761719,130.59337984513226,170.60830987012912
0.975,-40.0,125.0,102.64354705810547,125.23398802965791,159.21824336205654
0.975,-40.0,130.0,94.51004791259766,120.06510684962763,147.915063461414
0.975,-40.0,135.0,86.8322982788086,115.10337150931983,136.7004038152685
0.975,-40.0,140.0,79.93326568603516,110.36722704085439,125.57608943564891
0.975,-30.0,0.0,290.2392578125,278.2612166427438,439.5713876694632
0.975,-30.0,5.0,281.5860595703125,270.6658889433613,426.7012181704311
0.975,-30.0,10.0,273.48712158203125,263.14391262197194,413.8853276085703
0.975,-30.0,15.0,265.5111083984375,255.69461918712722,401.1241498846184
0.975,-30.0,20.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-30.0,25.0,249.9144287109375,241.01391460090016,375.7684213718711
0.975,-30.0,30.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-30.0,35.0,234.61676025390625,226.6279043525973,350.64085011491
0.975,-30.0,40.0,225.72705078125,219.54861363716236,338.1652903389718
0.975,-30.0,45.0,216.88687133789062,212.54776117675294,325.7503681117227
0.975,-30.0,50.0,208.10076904296875,205.6278115309308,313.3973183563673
0.975,-30.0,55.0,199.99591064453125,198.79186862457428,301.1078456229896
0.975,-30.0,60.0,192.50958251953125,192.04340126323007,288.88348249651204
0.975,-30.0,65.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,-30.0,70.0,177.80499267578125,178.82559044184643,264.63668966957266
0.975,-30.0,75.0,170.58853149414062,172.36609952547224,252.61777542269382
0.975,-30.0,80.0,161.90042114257812,166.0139477856454,240.67097024786716
0.975,-30.0,85.0,153.23211669921875,159.77576450098744,228.79806770221913
0.975,-30.0,90.0,144.62265014648438,153.65916396972554,217.0010930208762
0.975,-30.0,95.0,136.0765380859375,147.6724428951624,205.28166285904402
0.975,-30.0,100.0,127.5994644165039,141.82530104189803,193.64188810915235
0.975,-30.0,105.0,119.19685363769531,136.12826413671408,182.08348800599765
0.975,-30.0,110.0,110.87553405761719,130.59337984513226,170.60830987012912
0.975,-30.0,115.0,102.64354705810547,125.23398802965791,159.21824336205654
0.975,-30.0,120.0,94.51004791259766,120.06513125044881,147.91508283198775
0.975,-30.0,125.0,86.8322982788086,115.10337150931983,136.7004038152685
0.975,-30.0,130.0,79.93326568603516,110.36721376840134,125.57607975036206
0.975,-30.0,135.0,74.88697814941406,105.87682167116418,114.5435124507462
0.975,-30.0,140.0,72.89703369140625,101.6543334817803,103.60441901776844
0.975,-20.0,0.0,273.48712158203125,263.14391262197194,413.8853276085703
0.975,-20.0,5.0,265.5111083984375,255.69461918712722,401.1241498846184
0.975,-20.0,10.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-20.0,15.0,249.9144287109375,241.01391460090016,375.7684236627973
0.975,-20.0,20.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-20.0,25.0,234.61676025390625,226.6279043525973,350.64085011491
0.975,-20.0,30.0,225.72705078125,219.54861363716236,338.1652903389718
0.975,-20.0,35.0,216.88687133789062,212.54776117675294,325.7503681117227
0.975,-20.0,40.0,208.10076904296875,205.6278115309308,313.3973095311572
0.975,-20.0,45.0,199.99591064453125,198.79186862457428,301.1078456229896
0.975,-20.0,50.0,192.50958251953125,192.04340126323007,288.8834728112252
0.975,-20.0,55.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,-20.0,60.0,177.80499267578125,178.82559044184643,264.63668966957266
0.975,-20.0,65.0,170.58853149414062,172.3661165223606,252.61779657383198
0.975,-20.0,70.0,161.90048217773438,166.0139477856454,240.67098082343628
0.975,-20.0,75.0,153.23211669921875,159.77576450098744,228.79806999314525
0.975,-20.0,80.0,144.62265014648438,153.65916396972554,217.0010930208762
0.975,-20.0,85.0,136.0765380859375,147.6724428951624,205.28166285904402
0.975,-20.0,90.0,127.5994644165039,141.82530104189803,193.64189856669103
0.975,-20.0,95.0,119.19685363769531,136.12826413671408,182.08349099386584
0.975,-20.0,100.0,110.87564086914062,130.59338732301876,170.60833102126733
0.975,-20.0,105.0,102.64354705810547,125.23398802965791,159.21824336205654
0.975,-20.0,110.0,94.51004791259766,120.06513125044881,147.91508283198775
0.975,-20.0,115.0,86.8322982788086,115.10337150931983,136.7004038152685
0.975,-20.0,120.0,79.93326568603516,110.36721376840134,125.57607975036206
0.975,-20.0,125.0,74.88697814941406,105.87682167116418,114.5435124507462
0.975,-20.0,130.0,72.89703369140625,101.6543334817803,103.60441901776844
0.975,-20.0,135.0,73.2148208618164,97.72343688792111,92.76036273081829
0.975,-20.0,140.0,74.84500122070312,94.10904683032604,82.01255604967933
0.975,-10.0,0.0,257.6544189453125,248.3178642763142,388.41825091611776
0.975,-10.0,5.0,249.9144287109375,241.01391460090016,375.7684236627973
0.975,-10.0,10.0,242.28846740722656,233.7835119694073,363.1755489594961
0.975,-10.0,15.0,234.61676025390625,226.6279043525973,350.64084128969995
0.975,-10.0,20.0,225.72705078125,219.54861363716236,338.1652903389718
0.975,-10.0,25.0,216.88687133789062,212.5477519876416,325.75035881587814
0.975,-10.0,30.0,208.10076904296875,205.6278115309308,313.3973095311572
0.975,-10.0,35.0,199.99591064453125,198.79185879959974,301.1078456229896
0.975,-10.0,40.0,192.50958251953125,192.04340126323007,288.88347314017983
0.975,-10.0,45.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,-10.0,50.0,177.80499267578125,178.82559044184643,264.63668966957266
0.975,-10.0,55.0,170.58853149414062,172.3661165223606,252.61779657383198
0.975,-10.0,60.0,161.90048217773438,166.0139477856454,240.67098082343628
0.975,-10.0,65.0,153.23211669921875,159.77576450098744,228.79806999314525
0.975,-10.0,70.0,144.62265014648438,153.65916396972554,217.0010930208762
0.975,-10.0,75.0,136.0765380859375,147.6724428951624,205.28166285904402
0.975,-10.0,80.0,127.5994644165039,141.82529415622588,193.64188927084632
0.975,-10.0,85.0,119.19685363769531,136.12825696287308,182.08347738149422
0.975,-10.0,90.0,110.87564086914062,130.59337984513226,170.60832659455681
0.975,-10.0,95.0,102.64354705810547,125.23399972651197,159.21825680746338
0.975,-10.0,100.0,94.51010131835938,120.06513125044881,147.91509340755684
0.975,-10.0,105.0,86.8322982788086,115.10337150931983,136.7004038152685
0.975,-10.0,110.0,79.93321228027344,110.36721376840134,125.576070468567
0.975,-10.0,115.0,74.88697814941406,105.87682167116418,114.54350187517709
0.975,-10.0,120.0,72.89703369140625,101.65434789182655,103.6044283136131
0.975,-10.0,125.0,73.2148208618164,97.72343688792111,92.76035343497365
0.975,-10.0,130.0,74.84500122070312,94.10904683032604,82.01255604967933
0.975,-10.0,135.0,75.03781127929688,90.83686979449755,71.36249004400645
0.975,-10.0,140.0,72.25715637207031,87.93261358136695,60.811399393603
0.975,0.0,0.0,242.28846740722656,233.7835119694073,363.1755510971758
0.975,0.0,5.0,234.61676025390625,226.6279043525973,350.64083984212687
0.975,0.0,10.0,225.72705078125,219.54861363716236,338.16527210453626
0.975,0.0,15.0,216.88687133789062,212.5477519876416,325.7503676410882
0.975,0.0,20.0,208.10076904296875,205.6278115309308,313.3973095311572
0.975,0.0,25.0,199.99591064453125,198.79186862457428,301.10784924192245
0.975,0.0,30.0,192.50958251953125,192.04340126323007,288.88347314017983
0.975,0.0,35.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,0.0,40.0,177.80499267578125,178.8255795198914,264.6366776202617
0.975,0.0,45.0,170.58853149414062,172.3661165223606,252.61779657383198
0.975,0.0,50.0,161.90048217773438,166.0139477856454,240.67098082343628
0.975,0.0,55.0,153.23211669921875,159.77576450098744,228.79806999314525
0.975,0.0,60.0,144.62258911132812,153.65915125896342,217.00107955016088
0.975,0.0,65.0,136.0765380859375,147.6724428951624,205.28166285904402
0.975,0.0,70.0,127.5994644165039,141.82529415622588,193.64188927084632
0.975,0.0,75.0,119.19685363769531,136.12825696287308,182.08347738149422
0.975,0.0,80.0,110.87564086914062,130.59337984513226,170.60832659455681
0.975,0.0,85.0,102.64354705810547,125.23401142336493,159.21827119588664
0.975,0.0,90.0,94.51010131835938,120.06513938405477,147.91511022647424
0.975,0.0,95.0,86.8322982788086,115.10337150931983,136.70041273251212
0.975,0.0,100.0,79.93321228027344,110.36721376840134,125.576070468567
0.975,0.0,105.0,74.88697814941406,105.87682167116418,114.54350187517709
0.975,0.0,110.0,72.89703369140625,101.65434308847803,103.60443844662517
0.975,0.0,115.0,73.2148208618164,97.72343688792111,92.76035343497365
0.975,0.0,120.0,74.84500122070312,94.10904683032604,82.01255604967933
0.975,0.0,125.0,75.03781127929688,90.83686979449755,71.36249004400645
0.975,0.0,130.0,72.25715637207031,87.93261358136695,60.811399393603
0.975,0.0,135.0,72.71571350097656,85.42085323835597,50.360391610465435
0.975,0.0,140.0,74.4600830078125,83.3236846627731,40.01068462097522
0.975,10.0,0.0,225.72705078125,219.54861363716236,338.16528761727665
0.975,10.0,5.0,216.88687133789062,212.5477519876416,325.7503655034086
0.975,10.0,10.0,208.10076904296875,205.6278020325802,313.39729856826756
0.975,10.0,15.0,199.99591064453125,198.79186862457428,301.1078580671325
0.975,10.0,20.0,192.50958251953125,192.04340126323007,288.8834776900305
0.975,10.0,25.0,185.11227416992188,185.38643128948246,276.72582774670775
0.975,10.0,30.0,177.80499267578125,178.8255795198914,264.6366776202617
0.975,10.0,35.0,170.58853149414062,172.3661165223606,252.61780539904206
0.975,10.0,40.0,161.90048217773438,166.0139477856454,240.67097166927158
0.975,10.0,45.0,153.23211669921875,159.77576450098744,228.79806999314525
0.975,10.0,50.0,144.62258911132812,153.65915125896342,217.00107955016088
0.975,10.0,55.0,136.0765380859375,147.6724428951624,205.28166285904402
0.975,10.0,60.0,127.5994644165039,141.82529415622588,193.64188927084632
0.975,10.0,65.0,119.19679260253906,136.12824978903166,182.08346680592513
0.975,10.0,70.0,110.87564086914062,130.59337984513226,170.60832659455681
0.975,10.0,75.0,102.64354705810547,125.23401142336493,159.21827119588664
0.975,10.0,80.0,94.51010131835938,120.06513938405477,147.91511022647424
0.975,10.0,85.0,86.8322982788086,115.10338423565139,136.7004264015142
0.975,10.0,90.0,79.93321228027344,110.36721819255254,125.57607921180453
0.975,10.0,95.0,74.88697814941406,105.87682167116418,114.5435124507462
0.975,10.0,100.0,72.89703369140625,101.65434789182655,103.60445959776338
0.975,10.0,105.0,73.2148208618164,97.72343688792111,92.76035343497365
0.975,10.0,110.0,74.84500122070312,94.10904683032604,82.01255604967933
0.975,10.0,115.0,75.03781127929688,90.83686979449755,71.36249004400645
0.975,10.0,120.0,72.25715637207031,87.93261358136695,60.811399393603
0.975,10.0,125.0,72.71571350097656,85.42085323835597,50.360391610465435
0.975,10.0,130.0,74.4600830078125,83.3236846627731,40.01068462097522
0.975,10.0,135.0,73.096435546875,81.65947599348927,29.763210646633496
0.975,10.0,140.0,74.15646362304688,80.44121494917889,19.618785040190183
0.975,20.0,0.0,208.10073852539062,205.62783052763066,313.397333321768
0.975,20.0,5.0,199.9959716796875,198.7918882745219,301.10787754680206
0.975,20.0,10.0,192.509521484375,192.04338092277484,288.8834576742121
0.975,20.0,15.0,185.11233520507812,185.38643128948246,276.72583416333197
0.975,20.0,20.0,177.80499267578125,178.8255576759793,264.6366417374551
0.975,20.0,25.0,170.58853149414062,172.36611085673135,252.61777753391073
0.975,20.0,30.0,161.90048217773438,166.01392425599425,240.67093204145812
0.975,20.0,35.0,153.23211669921875,159.77574616474178,228.79805220357932
0.975,20.0,40.0,144.62252807617188,153.65913854820025,217.00106188642783
0.975,20.0,45.0,136.0765380859375,147.6724428951624,205.28164888299415
0.975,20.0,50.0,127.59945678710938,141.82529415622588,193.64189157555683
0.975,20.0,55.0,119.19688415527344,136.128278484395,182.08348560743914
0.975,20.0,60.0,110.87564086914062,130.59338732301876,170.60833762526812
0.975,20.0,65.0,102.64366149902344,125.2340348170676,159.21829474245277
0.975,20.0,70.0,94.50997161865234,120.06513125044881,147.9150776936615
0.975,20.0,75.0,86.8322982788086,115.10338423565139,136.70044611229008
0.975,20.0,80.0,79.93327331542969,110.36720934424999,125.57606812000225
0.975,20.0,85.0,74.88702392578125,105.87683089473589,114.54349574787763
0.975,20.0,90.0,72.89708709716797,101.6543574985229,103.60445548371878
0.975,20.0,95.0,73.21481323242188,97.72344688104539,92.76037860244911
0.975,20.0,100.0,74.84500122070312,94.10903645340069,82.01254145517595
0.975,20.0,105.0,75.03781127929688,90.83688592058844,71.36250696535113
0.975,20.0,110.0,72.257080078125,87.93262191072066,60.81139639053773
0.975,20.0,115.0,72.71562194824219,85.42085895453903,50.360429402139665
0.975,20.0,120.0,74.46015930175781,83.3236905228264,40.0106615531553
0.975,20.0,125.0,73.09638214111328,81.65947300374893,29.763228909317007
0.975,20.0,130.0,74.1564712524414,80.44122405423572,19.618799347722774
0.975,20.0,135.0,76.46212768554688,79.6754126862155,9.578439141193396
0.975,20.0,140.0,78.12393188476562,79.3612038945589,-0.3572605591230124
0.975,30.0,0.0,192.50955200195312,192.04337075254642,288.883441373513
0.975,30.0,5.0,185.11233520507812,185.38643128948246,276.725831606173
0.975,30.0,10.0,177.80496215820312,178.8255576759793,264.6366559857263
0.975,30.0,15.0,170.5885009765625,172.36609952547224,252.61775627849238
0.975,30.0,20.0,161.90048217773438,166.01392425599425,240.67093253960303
0.975,30.0,25.0,153.2320556640625,159.77574005265944,228.798024421282
0.975,30.0,30.0,144.62258911132812,153.6591194820535,217.00105068894234
0.975,30.0,35.0,136.0765838623047,147.6724428951624,205.28166393478722
0.975,30.0,40.0,127.59940338134766,141.82528727055342,193.6418805246116
0.975,30.0,45.0,119.19691467285156,136.12827131055474,182.0834856785326
0.975,30.0,50.0,110.8756332397461,130.59336488935799,170.6083140662778
0.975,30.0,55.0,102.64364624023438,125.23403091811745,159.21826840988498
0.975,30.0,60.0,94.50993347167969,120.06513125044881,147.91505782224775
0.975,30.0,65.0,86.83230590820312,115.1033884777616,136.70044328775379
0.975,30.0,70.0,79.93325805664062,110.3672004959467,125.57604784777342
0.975,30.0,75.0,74.8869857788086,105.87684473009195,114.54352290777376
0.975,30.0,80.0,72.89708709716797,101.65434308847803,103.60443310402407
0.975,30.0,85.0,73.21481323242188,97.72343688792111,92.76035709760676
0.975,30.0,90.0,74.8449478149414,94.1090260764742,82.01250701987315
0.975,30.0,95.0,75.037841796875,90.83686979449755,71.36251123335572
0.975,30.0,100.0,72.25701904296875,87.93261635781828,60.8113997255623
0.975,30.0,105.0,72.71577453613281,85.42085609644755,50.360413593223996
0.975,30.0,110.0,74.46014404296875,83.32368173274631,40.010680050795635
0.975,30.0,115.0,73.09623718261719,81.6594520755635,29.76325286130512
0.975,30.0,120.0,74.15641784667969,80.44119977408188,19.61881716112461
0.975,30.0,125.0,76.46199035644531,79.6754065578347,9.57842686531282
0.975,30.0,130.0,78.12388610839844,79.36121004720285,-0.35724246138767923
0.975,30.0,135.0,79.76820373535156,79.4900249245149,-10.187564919799737
0.975,30.0,140.0,81.39425659179688,80.04595847855155,-19.911960478700937
0.975,40.0,0.0,177.80496215820312,178.8255576759793,264.6366559857263
0.975,40.0,5.0,170.5885009765625,172.36609952547224,252.6177608092901
0.975,40.0,10.0,161.90048217773438,166.01392425599425,240.67093253960303
0.975,40.0,15.0,153.2320556640625,159.77574005265944,228.79802920751808
0.975,40.0,20.0,144.62258911132812,153.65912583743602,217.00107938764896
0.975,40.0,25.0,136.0765838623047,147.6724428951624,205.28166393478722
0.975,40.0,30.0,127.59940338134766,141.82529415622588,193.64188236443576
0.975,40.0,35.0,119.19691467285156,136.128278484395,182.0834948326972
0.975,40.0,40.0,110.8756332397461,130.59336488935799,170.60831636241178
0.975,40.0,45.0,102.64364624023438,125.23403091811745,159.21827070043244
0.975,40.0,50.0,94.50993347167969,120.0651231168423,147.91506021536577
0.975,40.0,55.0,86.83230590820312,115.1033884777616,136.70044558388776
0.975,40.0,60.0,79.93325805664062,110.3672004959467,125.57604555163945
0.975,40.0,65.0,74.886962890625,105.8768401183068,114.54352519832115
0.975,40.0,70.0,72.89703369140625,101.65433828512927,103.60443555302577
0.975,40.0,75.0,73.21481323242188,97.72343688792111,92.76035709760676
0.975,40.0,80.0,74.8449478149414,94.1090260764742,82.0125112952324
0.975,40.0,85.0,75.037841796875,90.83686979449755,71.36251123335572
0.975,40.0,90.0,72.25701904296875,87.93262191072066,60.811395450203044
0.975,40.0,95.0,72.71578979492188,85.4208646707217,50.36040931786475
0.975,40.0,100.0,74.46014404296875,83.32368173274631,40.010680050795635
0.975,40.0,105.0,73.09642028808594,81.65946403452725,29.76324598966287
0.975,40.0,110.0,74.15641784667969,80.44119977408188,19.61881716112461
0.975,40.0,115.0,76.46199035644531,79.67540042945345,9.57842702376715
0.975,40.0,120.0,78.12388610839844,79.3612038945589,-0.35722761045932994
0.975,40.0,125.0,79.76820373535156,79.4900249245149,-10.187564919799737
0.975,40.0,130.0,81.39425659179688,80.04595847855155,-19.911960478700937
0.975,40.0,135.0,83.0018310546875,81.00676030334598,-29.529965046616315
0.975,40.0,140.0,83.42498779296875,82.34515238369379,-39.04140176414856
0.975,50.0,0.0,161.90048217773438,166.01392425599425,240.6709311007607
0.975,50.0,5.0,153.2320556640625,159.77574005265944,228.79802537555773
0.975,50.0,10.0,144.62258911132812,153.65912583743602,217.00107699453093
0.975,50.0,15.0,136.0765838623047,147.6724428951624,205.28166607246686
0.975,50.0,20.0,127.59940338134766,141.82528727055342,193.64188475755373
0.975,50.0,25.0,119.19691467285156,136.128278484395,182.0834948326972
0.975,50.0,30.0,110.8756332397461,130.59336488935799,170.6083185000914
0.975,50.0,35.0,102.64364624023438,125.23401922126631,159.21824785668184
0.975,50.0,40.0,94.50993347167969,120.0651231168423,147.91506021536577
0.975,50.0,45.0,86.83230590820312,115.10339696198153,136.70046498767533
0.975,50.0,50.0,79.93325805664062,110.3672004959467,125.57604555163945
0.975,50.0,55.0,74.886962890625,105.87683089473589,114.54351462275206
0.975,50.0,60.0,72.89703369140625,101.6543334817803,103.60443555302577
0.975,50.0,65.0,73.21491241455078,97.72344688104539,92.7603525109254
0.975,50.0,70.0,74.8449478149414,94.1090260764742,82.01250900468496
0.975,50.0,75.0,75.037841796875,90.8368751698615,71.36250883465115
0.975,50.0,80.0,72.25701904296875,87.93262191072066,60.81139774075045
0.975,50.0,85.0,72.71577453613281,85.4208646707217,50.36040931786475
0.975,50.0,90.0,74.46012878417969,83.32367294266528,40.0106824495002
0.975,50.0,95.0,73.0964126586914,81.65946403452725,29.763235414093785
0.975,50.0,100.0,74.15641784667969,80.44120584412101,19.618814864990657
0.975,50.0,105.0,76.46199035644531,79.67541575040572,9.57841994139716
0.975,50.0,110.0,78.12388610839844,79.36119466559208,-0.3572277074433959
0.975,50.0,115.0,79.76820373535156,79.4900249245149,-10.187564919799737
0.975,50.0,120.0,81.39425659179688,80.0459493285341,-19.911958182566984
0.975,50.0,125.0,83.0018310546875,81.00676030334598,-29.529967439734335
0.975,50.0,130.0,83.42498779296875,82.34515238369379,-39.04140192260287
0.975,50.0,135.0,83.47245788574219,84.03028251116528,-48.44571247875108
0.975,50.0,140.0,82.19231414794922,86.02941675307929,-57.742833950577115
0.975,60.0,0.0,144.62258911132812,153.65912583743602,217.0010748568513
0.975,60.0,5.0,136.0765838623047,147.67243628213086,205.2816436381269
0.975,60.0,10.0,127.59940338134766,141.82528727055342,193.6418833187114
