median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vertical_mm,n_positions,fail_rate,estimator,layout,split_family,split,evidence_label,dtag_fit_mm
54.630766434013424,167.6296208804109,92.96211422376672,36.92381847304786,8,0.0,p10,V5_CV5,leave_quadrant,NW,HELD-OUT,6.288657989840885
64.55335700317893,112.33031638507414,75.98716343420837,56.9048766031805,4,0.0,p10,V5_CV5,leave_quadrant,SE,HELD-OUT,7.910312360053112
42.82658927271034,122.08478020880204,65.92057865273615,34.31861840754618,9,0.0,p10,V5_CV5,leave_quadrant,SW,HELD-OUT,20.935975143656457
52.55257895608573,155.0412425751775,77.62267553739208,43.86567276479205,24,0.0,lower_trim_10,V5_CV5,all_data,ALL,TRANSDUCTIVE,-2.640275531671449
155.32753762430573,155.32753762430573,155.32753762430573,131.98817194278064,1,0.0,lower_trim_10,V5_CV5,loo_position,ID01,HELD-OUT,-2.9080692829988664
50.09521007155368,50.09521007155368,50.09521007155368,7.547279793876214,1,0.0,lower_trim_10,V5_CV5,loo_position,ID02,HELD-OUT,-2.2465176564353015
61.23129848199135,61.23129848199135,61.23129848199135,60.38143135741029,1,0.0,lower_trim_10,V5_CV5,loo_position,ID03,HELD-OUT,-2.2465176564353015
158.93191108573617,158.93191108573617,158.93191108573617,145.9900470082472,1,0.0,lower_trim_10,V5_CV5,loo_position,ID04,HELD-OUT,-4.739308721984884
41.6908641237079,41.6908641237079,41.6908641237079,20.082919041351033,1,0.0,lower_trim_10,V5_CV5,loo_position,ID05,HELD-OUT,-3.327873334010647
170.13832695488193,170.13832695488193,170.13832695488193,168.38714298748164,1,0.0,lower_trim_10,V5_CV5,loo_position,ID06,HELD-OUT,-4.499386856877109
95.56083175961327,95.56083175961327,95.56083175961327,63.17956632064585,1,0.0,lower_trim_10,V5_CV5,loo_position,ID07,HELD-OUT,-2.4265360237241964
72.196010537855,72.196010537855,72.196010537855,60.417715955102494,1,0.0,lower_trim_10,V5_CV5,loo_position,ID08,HELD-OUT,-2.640275531671449
35.48341772269827,35.48341772269827,35.48341772269827,23.684241323767992,1,0.0,lower_trim_10,V5_CV5,loo_position,ID09,HELD-OUT,-2.640275531671449
56.78347711806208,56.78347711806208,56.78347711806208,54.68549078406451,1,0.0,lower_trim_10,V5_CV5,loo_position,ID10,HELD-OUT,-4.739308721984884
74.05646182812454,74.05646182812454,74.05646182812454,60.74591938190929,1,0.0,lower_trim_10,V5_CV5,loo_position,ID11,HELD-OUT,-4.739308721984884
125.18636830478756,125.18636830478756,125.18636830478756,100.07162560326447,1,0.0,lower_trim_10,V5_CV5,loo_position,ID12,HELD-OUT,-2.9080692829988664
39.04803014865143,39.04803014865143,39.04803014865143,11.931846778137242,1,0.0,lower_trim_10,V5_CV5,loo_position,ID13,HELD-OUT,-2.4265360237241964
62.13861337573527,62.13861337573527,62.13861337573527,46.33557173028635,1,0.0,lower_trim_10,V5_CV5,loo_position,ID14,HELD-OUT,-2.4265360237241964
38.45077405167631,38.45077405167631,38.45077405167631,33.990231973731625,1,0.0,lower_trim_10,V5_CV5,loo_position,ID15,HELD-OUT,-2.5144475891476077
31.034955220242608,31.034955220242608,31.034955220242608,23.548653924575547,1,0.0,lower_trim_10,V5_CV5,loo_position,ID16,HELD-OUT,-2.4265360237241964
56.34739614765006,56.34739614765006,56.34739614765006,45.46424365342406,1,0.0,lower_trim_10,V5_CV5,loo_position,ID17,HELD-OUT,-2.2465176564353015
39.28052703687672,39.28052703687672,39.28052703687672,27.38529303726216,1,0.0,lower_trim_10,V5_CV5,loo_position,ID18,HELD-OUT,-2.4265360237241964
56.23643413926686,56.23643413926686,56.23643413926686,11.461593939126146,1,0.0,lower_trim_10,V5_CV5,loo_position,ID19,HELD-OUT,-2.640275531671449
18.09022846278984,18.09022846278984,18.09022846278984,9.677009448939117,1,0.0,lower_trim_10,V5_CV5,loo_position,ID20,HELD-OUT,-2.2465176564353015
29.773047231670883,29.773047231670883,29.773047231670883,19.88940014616719,1,0.0,lower_trim_10,V5_CV5,loo_position,ID21,HELD-OUT,-2.4265360237241964
15.179743673192272,15.179743673192272,15.179743673192272,11.750094644338787,1,0.0,lower_trim_10,V5_CV5,loo_position,ID22,HELD-OUT,-2.640275531671449
51.283588343675866,51.283588343675866,51.283588343675866,50.83762070337275,1,0.0,lower_trim_10,V5_CV5,loo_position,ID23,HELD-OUT,-2.4265360237241964
47.08142660559045,47.08142660559045,47.08142660559045,42.95118734230232,1,0.0,lower_trim_10,V5_CV5,loo_position,ID24,HELD-OUT,-2.640275531671449
55.83772700849997,155.0823317837516,92.31059464886091,48.03524572400646,8,0.0,lower_trim_10,V5_CV5,leave_height,LOW,HELD-OUT,-2.9080692829988664
45.84241154928992,71.5001092381018,52.6722617870083,28.99738162017718,8,0.0,lower_trim_10,V5_CV5,leave_height,MID,HELD-OUT,-2.6943297750516138
49.00477876758087,151.72680786107946,82.30904048158263,46.70634811456944,8,0.0,lower_trim_10,V5_CV5,leave_height,HIGH,HELD-OUT,-2.4265360237241964
72.53753075585568,93.25850165923751,72.28772629414836,60.86607316677282,3,0.0,lower_trim_10,V5_CV5,leave_quadrant,NE,HELD-OUT,-2.4265360237241964
48.9733852402514,171.52574600817132,94.41607231732796,33.52929248893349,8,0.0,lower_trim_10,V5_CV5,leave_quadrant,NW,HELD-OUT,-7.220902900508776
67.914111568083,121.68570013005619,81.29205580522319,60.040886895899575,4,0.0,lower_trim_10,V5_CV5,leave_quadrant,SE,HELD-OUT,-6.205128349976242
39.852600465729545,123.68890104737514,66.8918210220274,31.297705389307794,9,0.0,lower_trim_10,V5_CV5,leave_quadrant,SW,HELD-OUT,10.492349982923628
64.90477508762092,145.15378603769918,85.70994293602182,55.52967569982775,24,0.0,kde_lowest_mode,V5_CV5,all_data,ALL,TRANSDUCTIVE,44.95328279037177
180.58794642782237,180.58794642782237,180.58794642782237,149.07333827947656,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID01,HELD-OUT,44.64998262706863
65.45768188774159,65.45768188774159,65.45768188774159,46.67373449762272,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID02,HELD-OUT,45.30777429916049
63.52262002998993,63.52262002998993,63.52262002998993,62.63329232023534,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID03,HELD-OUT,45.30777429916049
143.65000974951252,143.65000974951252,143.65000974951252,127.7142312487264,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID04,HELD-OUT,44.398671294742016
31.82211200724952,31.82211200724952,31.82211200724952,1.1395837674808718,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID05,HELD-OUT,44.398671294742016
147.2373456864477,147.2373456864477,147.2373456864477,145.2758055129043,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID06,HELD-OUT,44.035523130819996
115.2011037259329,115.2011037259329,115.2011037259329,89.11427888622534,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID07,HELD-OUT,45.30777429916049
76.3362433487598,76.3362433487598,76.3362433487598,60.42810870500102,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID08,HELD-OUT,44.95328279037177
55.52055183498647,55.52055183498647,55.52055183498647,50.631242694654475,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID09,HELD-OUT,44.95328279037177
73.20148237751631,73.20148237751631,73.20148237751631,72.37782531504041,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID10,HELD-OUT,44.398671294742016
47.30355794752632,47.30355794752632,47.30355794752632,34.07582672004128,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID11,HELD-OUT,44.035523130819996
105.41209015937675,105.41209015937675,105.41209015937675,83.53772232759843,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID12,HELD-OUT,44.64998262706863
34.09479542362009,34.09479542362009,34.09479542362009,23.833406265971462,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID13,HELD-OUT,45.30777429916049
81.11343447970023,81.11343447970023,81.11343447970023,69.53558231636794,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID14,HELD-OUT,45.30777429916049
88.29349006627142,88.29349006627142,88.29349006627142,79.27578624351668,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID15,HELD-OUT,45.54589171308119
16.05083613641832,16.05083613641832,16.05083613641832,3.044543199724103,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID16,HELD-OUT,44.95328279037177
