position_id,error_3d_mm,d_tag_train_mm,range_method,e_setting,layout_label
ID24,20.770250627481765,13.363582196985924,p30,E0_e_reg20,p30__E0_e_reg20
ID01,160.82986082099248,14.545547892434612,p30,E1_e_reg5,p30__E1_e_reg5
ID02,46.03951805156566,15.598216320344008,p30,E1_e_reg5,p30__E1_e_reg5
ID03,39.97695267401546,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID04,165.5868958467221,12.522007095276521,p30,E1_e_reg5,p30__E1_e_reg5
ID05,34.103594795088,13.663312684136358,p30,E1_e_reg5,p30__E1_e_reg5
ID06,194.80310639687477,13.663312684136358,p30,E1_e_reg5,p30__E1_e_reg5
ID07,92.71599029611068,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID08,68.32171157289811,14.905113229329004,p30,E1_e_reg5,p30__E1_e_reg5
ID09,58.11028228959756,14.905113229329004,p30,E1_e_reg5,p30__E1_e_reg5
ID10,58.73982289480167,13.663312684136358,p30,E1_e_reg5,p30__E1_e_reg5
ID11,78.28684492994482,12.522007095276521,p30,E1_e_reg5,p30__E1_e_reg5
ID12,123.82489994376769,14.545547892434612,p30,E1_e_reg5,p30__E1_e_reg5
ID13,37.35798915950166,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID14,68.10277477658182,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID15,34.86343891163275,14.905113229329004,p30,E1_e_reg5,p30__E1_e_reg5
ID16,38.988577862400284,14.905113229329004,p30,E1_e_reg5,p30__E1_e_reg5
ID17,99.20425896616841,15.598216320344008,p30,E1_e_reg5,p30__E1_e_reg5
ID18,37.002611262686635,15.598216320344008,p30,E1_e_reg5,p30__E1_e_reg5
ID19,35.699510477402896,15.598216320344008,p30,E1_e_reg5,p30__E1_e_reg5
ID20,32.46671246888197,15.598216320344008,p30,E1_e_reg5,p30__E1_e_reg5
ID21,27.461339136478717,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID22,29.785739585467624,14.905113229329004,p30,E1_e_reg5,p30__E1_e_reg5
ID23,42.90920718599191,15.27369713774901,p30,E1_e_reg5,p30__E1_e_reg5
ID24,22.34997506218117,14.545547892434612,p30,E1_e_reg5,p30__E1_e_reg5
ID01,160.7990772528683,14.668064192427877,p30,E2_e_zero,p30__E2_e_zero
ID02,45.97002982187017,15.750134323284769,p30,E2_e_zero,p30__E2_e_zero
ID03,40.12810599618745,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID04,164.9125405382995,12.690018129042969,p30,E2_e_zero,p30__E2_e_zero
ID05,33.93643395997776,13.869101245951114,p30,E2_e_zero,p30__E2_e_zero
ID06,194.65989592591347,13.869101245951114,p30,E2_e_zero,p30__E2_e_zero
ID07,92.94671250280517,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID08,68.37441766254935,14.89340330065157,p30,E2_e_zero,p30__E2_e_zero
