range_method,e_setting,anchor_id,anchor_label,x_mm,y_mm,z_mm,delay_mm,e_i_mm,x_vicon_aligned_mm,y_vicon_aligned_mm,z_vicon_aligned_mm
p10,E1_e_reg5,2,C,2710.4464644832237,2140.5482550880565,0.0,113.28367952235173,0.9279061664868488,817.1463052007384,245.14107989623463,1218.0727597791993
p10,E1_e_reg5,3,D,70.41924959403875,2171.020378599195,-56.22410915487037,113.19165787774091,0.83588452187603,1067.5016643725037,277.1129497144338,-1410.6404976513993
p10,E1_e_reg5,4,E,114.33157694249186,-56.67510647257418,-1279.094688934095,112.20168966668919,-0.15408368917569523,-1122.6066701622053,1558.1761888259,-1559.8731415022692
p10,E1_e_reg5,5,F,2735.3106882610364,111.67122610825788,-1353.6150690728796,112.29687088809584,-0.05890246776904326,-1169.8165846821062,1651.5293820761237,1065.480488391921
p10,E1_e_reg5,6,G,2677.838070145176,2237.8317007911323,-1345.984440635833,111.60620833014504,-0.749565025719853,952.8354249953877,1587.777879937548,1184.6605379569078
p10,E1_e_reg5,7,H,-16.151124463109458,2005.676522729237,-1423.6819822086402,112.22945946871022,-0.1263138871546626,946.6006241623932,1647.6055052631332,-1519.7603793265096
p10,E2_e_zero,0,A,0.0,0.0,0.0,112.35937094668378,0.0,-1090.757386500261,277.60236412664085,-1659.9803295394725
p10,E2_e_zero,1,B,2671.410143476665,0.0,0.0,112.35937094668378,0.0,-1312.4040232073664,300.9451659379885,1002.1165952005033
p10,E2_e_zero,2,C,2710.186057101732,2141.4340640671376,0.0,112.35937094668378,0.0,817.643221656065,244.72717936799083,1218.8692073191976
p10,E2_e_zero,3,D,68.64166638803503,2171.2315863621966,-55.895345869406505,112.35937094668378,0.0,1068.0074574090645,276.73208434668067,-1411.351769262219
p10,E2_e_zero,4,E,113.62190214845187,-57.256831333407604,-1278.3397139247688,112.35937094668378,0.0,-1122.649747057573,1557.9523653669632,-1559.8431374407155
p10,E2_e_zero,5,F,2734.3546111023547,111.71429502491534,-1353.665485072328,112.35937094668378,0.0,-1169.7279645759143,1651.686317636807,1065.3164258524955
p10,E2_e_zero,6,G,2676.0170300037803,2237.1166210500924,-1346.2437905879028,112.35937094668378,0.0,952.2054776954662,1587.6243401505974,1184.0090204048618
p10,E2_e_zero,7,H,-17.101129125626027,2004.7424118508422,-1423.980458151447,112.35937094668378,0.0,946.2679470805224,1647.935605566332,-1519.5540875346533
lower_trim_5,E0_e_reg20,0,A,0.0,0.0,0.0,100.2076517793603,-10.275212196744892,-1091.5518721721828,275.5047607808182,-1659.6213180861196
lower_trim_5,E0_e_reg20,1,B,2667.5664792347693,0.0,0.0,110.52010472541156,0.0372407493063635,-1300.9121977214713,306.1760519846657,999.5399119108083
lower_trim_5,E0_e_reg20,2,C,2699.9514986302806,2118.3722122551917,0.0,123.51042241773493,13.02755844162974,807.7618300209347,257.05173479475644,1198.6134292893107
lower_trim_5,E0_e_reg20,3,D,91.65270370967589,2160.5370062616203,-64.51346439550689,122.21023631835308,11.727372342247893,1056.053999119324,290.568282280506,-1398.7679636399705
lower_trim_5,E0_e_reg20,4,E,118.77842940103424,-43.64493457901261,-1276.060833885434,108.50402854725492,-1.9788354288502774,-1113.4945619337007,1553.518324549264,-1556.9358927732808
lower_trim_5,E0_e_reg20,5,F,2738.4693265002197,104.17351223950483,-1340.9527741469133,110.23790185435148,-0.24496212175372112,-1170.2081690315576,1645.0552413509636,1065.5145287042105
lower_trim_5,E0_e_reg20,6,G,2699.0773332236076,2231.9080516268946,-1327.2364653473364,99.94829732622499,-10.534566649880203,953.0979834998259,1581.175230529529,1193.906363348342
lower_trim_5,E0_e_reg20,7,H,-7.891514680024527,2011.4911036386256,-1408.2186918726718,108.7242657822276,-1.7585981938775872,947.8379707188294,1636.1557962294987,-1522.6671337532998
lower_trim_5,E1_e_reg5,0,A,0.0,0.0,0.0,110.0985748077247,-0.7467718647386496,-1087.894439902315,283.1925170372449,-1651.9911572492556
lower_trim_5,E1_e_reg5,1,B,2658.9849070362743,0.0,0.0,110.84228862836876,-0.0030580440945901116,-1304.0383239792875,308.4979444856401,998.0734065990459
lower_trim_5,E1_e_reg5,2,C,2696.1810508802328,2128.9646015669514,0.0,111.79878048440273,0.953433811939377,814.0493395877611,251.76582399548843,1208.6914110330486
lower_trim_5,E1_e_reg5,3,D,68.76487780779598,2162.3588490704688,-59.77317365405867,111.6655906608238,0.8202439883604484,1062.5418774458124,285.61437400609327,-1407.6246036847201
lower_trim_5,E1_e_reg5,4,E,109.67806051241585,-52.291828348897646,-1265.3330865047615,110.7245202028651,-0.12082646959825964,-1114.1124094365064,1550.4592706934843,-1556.1834058687814
lower_trim_5,E1_e_reg5,5,F,2726.0080039455106,103.61831995875954,-1341.2077291190815,110.79121500404338,-0.05413166841996996,-1169.3673830497041,1647.0220977318002,1063.5245581927034
lower_trim_5,E1_e_reg5,6,G,2674.955455895852,2221.525166601172,-1330.4187131985118,110.0996621455219,-0.7456845269414524,944.5801892661898,1578.9619739234172,1185.36731599402
lower_trim_5,E1_e_reg5,7,H,-20.890045875000084,1997.5934908906456,-1410.8324344322562,110.74213961752609,-0.10320705493726402,942.8261325680528,1639.6914206268323,-1520.27560001606
lower_trim_5,E2_e_zero,0,A,0.0,0.0,0.0,110.91512910692107,0.0,-1087.5351545328135,283.8335868095621,-1651.439376592312
lower_trim_5,E2_e_zero,1,B,2658.4293885218367,0.0,0.0,110.91512910692107,0.0,-1304.2071126552592,308.76397775643755,998.0282212331833
lower_trim_5,E2_e_zero,2,C,2695.9051342726493,2129.6906254956643,0.0,110.91512910692107,0.0,814.5182220545946,251.36168295433004,1209.4390167327508
lower_trim_5,E2_e_zero,3,D,67.09776813441124,2162.3673081769366,-59.479836070226995,110.91512910692107,0.0,1062.984324894731,285.2782896262957,-1408.2599812966141
lower_trim_5,E2_e_zero,4,E,109.07944604904948,-53.089371237884556,-1264.408051073163,110.91512910692107,0.0,-1114.1754917439887,1550.1836347798303,-1556.0854309665035
lower_trim_5,E2_e_zero,5,F,2725.0104628712165,103.48559502547421,-1341.095520337468,110.91512910692107,0.0,-1169.2589087190458,1647.125316399856,1063.2770678705358
lower_trim_5,E2_e_zero,6,G,2673.1697395225056,2220.528084680492,-1330.5893782552325,110.91512910692107,0.0,943.8528979175376,1578.7266045879705,1184.7136830202974
lower_trim_5,E2_e_zero,7,H,-21.825201953703647,1996.361010689396,-1411.022474592611,110.91512910692107,0.0,942.4062052842453,1639.9323295857191,-1520.091275001338
lower_trim_10,E0_e_reg20,0,A,0.0,0.0,0.0,100.85349021400643,-10.203409080030644,-1092.812422614536,273.05740967554084,-1662.981454421971
lower_trim_10,E0_e_reg20,1,B,2672.694241583484,0.0,0.0,111.44985893868594,0.39295964464887134,-1303.691261625946,303.25326154570183,1001.2093861111446
lower_trim_10,E0_e_reg20,2,C,2705.989270704781,2122.396975157667,0.0,123.9750336578685,12.918134363831431,808.8475458914247,254.38337889148508,1202.3784702792843
lower_trim_10,E0_e_reg20,3,D,92.80427413976967,2164.052115071847,-63.16464333997752,122.74071836463652,11.683819070599453,1058.061680271639,287.0369366455087,-1399.7911647585888
lower_trim_10,E0_e_reg20,4,E,120.58425011358693,-45.64732333253484,-1281.6295648778334,108.85972516649217,-2.1971741275448973,-1117.0293690169008,1556.6816118242307,-1558.4777308667296
lower_trim_10,E0_e_reg20,5,F,2742.0124332414493,106.71782857140362,-1345.6823715224182,110.85730857548376,-0.1995907185533154,-1170.4784537224346,1646.7944036429149,1066.06537240774
lower_trim_10,E0_e_reg20,6,G,2700.5748569922207,2237.8850968797747,-1333.2937604318943,100.52963319124959,-10.527266102787477,956.3996432358881,1584.4922166874608,1193.5505640914587
lower_trim_10,E0_e_reg20,7,H,-5.5236006523125,2014.565478312121,-1413.7260938572588,109.18942323587946,-1.8674760581576006,949.287620080868,1639.5062035871579,-1522.3715178423386
lower_trim_10,E1_e_reg5,0,A,0.0,0.0,0.0,110.59948185535313,-0.7515951827626215,-1089.1709866451583,280.8656890617142,-1655.32466311693
lower_trim_10,E1_e_reg5,1,B,2664.013214696847,0.0,0.0,111.35831633047208,0.00723929235632162,-1307.246824441902,305.1265515761263,999.636870992133
lower_trim_10,E1_e_reg5,2,C,2701.853624023888,2133.4824610272904,0.0,112.29508744418084,0.944010406065072,815.1979659196797,249.29493005788453,1212.4519315370403
lower_trim_10,E1_e_reg5,3,D,69.55029165356214,2166.0274263796587,-57.614198165940934,112.1770175902403,0.8259405521245368,1064.6568153162057,282.05774436682117,-1408.6349202601962
lower_trim_10,E1_e_reg5,4,E,111.19716748446247,-53.67027850399363,-1270.9272184710435,111.2253306268611,-0.1257464112546689,-1117.443388839095,1553.7253759825674,-1557.701959877672
lower_trim_10,E1_e_reg5,5,F,2729.4296189254696,107.02236987319121,-1346.4464464423343,111.3018223313826,-0.04925470673315961,-1169.6388416981044,1648.8280692259766,1064.3006265538038
lower_trim_10,E1_e_reg5,6,G,2675.7917903468056,2228.5201917257987,-1336.4456500211177,110.6045915835059,-0.7464854546098609,948.0844019498466,1582.4820165044669,1185.0338254285562
lower_trim_10,E1_e_reg5,7,H,-19.358204418466496,2000.9799818133451,-1415.372431758391,111.24696953309125,-0.1041075050245171,944.1458409385298,1642.8250457244444,-1520.1797862567366
lower_trim_10,E2_e_zero,0,A,0.0,0.0,0.0,111.35676043490764,0.0,-1088.9281295598844,281.4112930379515,-1654.7186788952567
lower_trim_10,E2_e_zero,1,B,2663.348915457912,0.0,0.0,111.35676043490764,0.0,-1307.5187078916224,305.2970136257644,999.5373518763467
lower_trim_10,E2_e_zero,2,C,2701.5745472386725,2134.34792258671,0.0,111.35676043490764,0.0,815.6958820206521,248.85874923582026,1213.2586214578882
lower_trim_10,E2_e_zero,3,D,67.75210417765658,2166.185565084368,-57.30227123668852,111.35676043490764,0.0,1065.1430067877095,281.6705235599177,-1409.3388251113977
lower_trim_10,E2_e_zero,4,E,110.45751769486411,-54.34109997385255,-1270.1540093286628,111.35676043490764,0.0,-1117.518812623299,1553.5009303777024,-1557.684905444232
lower_trim_10,E2_e_zero,5,F,2728.453083548622,107.00513747029396,-1346.4768036219896,111.35676043490764,0.0,-1169.5654583484868,1648.9802473664122,1064.1338157476403
lower_trim_10,E2_e_zero,6,G,2673.939702981377,2227.758320423638,-1336.7271211570694,111.35676043490764,0.0,947.4510604310642,1582.3260993107212,1184.379862407217
lower_trim_10,E2_e_zero,7,H,-20.34946699751578,1999.998206535058,-1415.6967053293013,111.35676043490764,0.0,943.826141683867,1643.160565985711,-1519.9853170382044
lower_trim_20,E0_e_reg20,0,A,0.0,0.0,0.0,101.07312517470372,-10.23635422482224,-1094.5666805039673,269.2723132137944,-1667.2125777327449
lower_trim_20,E0_e_reg20,1,B,2679.4215269758943,0.0,0.0,112.03514314583812,0.7256637463121595,-1307.649910199976,299.56508563664613,1003.5509094340025
lower_trim_20,E0_e_reg20,2,C,2712.966656732809,2127.803925012073,0.0,124.29614704743076,12.986667647904811,810.1368759617262,250.82776778537752,1206.7223179410682
lower_trim_20,E0_e_reg20,3,D,93.81576908023325,2168.8225364041427,-62.35858733433527,123.19307943983166,11.883600040305707,1060.7949902116065,282.60754145135644,-1401.2813338839392
lower_trim_20,E0_e_reg20,4,E,123.43274866564644,-48.16318138312239,-1289.5723763239077,108.90182448717313,-2.407654912352819,-1121.5452936039771,1560.925895098187,-1560.1825440869998
lower_trim_20,E0_e_reg20,5,F,2746.9668718932962,109.9067832057109,-1351.7589004705922,111.06173966674281,-0.24773973278314115,-1171.173129851553,1649.104035378195,1066.8968735699111
lower_trim_20,E0_e_reg20,6,G,2703.2586341260035,2246.120469687762,-1341.385535779964,100.57070559971507,-10.738773799810883,960.889976680674,1588.9292511702768,1193.8332204790765
lower_trim_20,E0_e_reg20,7,H,-3.1881204277895874,2018.9886697312031,-1421.811766971741,109.34406800449229,-1.9654113950336651,951.6981538054683,1643.9735327661672,-1522.744940720376
lower_trim_20,E1_e_reg5,0,A,0.0,0.0,0.0,110.93262690627229,-0.7565021095956067,-1090.7354075143096,277.41320592941463,-1659.5513014775802
lower_trim_20,E1_e_reg5,1,B,2670.8838778261033,0.0,0.0,111.71510374675555,0.02597473088765824,-1311.3925501473248,301.3465414287431,1002.0944881962278
lower_trim_20,E1_e_reg5,2,C,2708.5318784195233,2139.1214620092665,0.0,112.63733962462996,0.9482106087620684,816.5396693472151,245.92497196151675,1216.782447924234
lower_trim_20,E1_e_reg5,3,D,70.22567561470325,2170.764837305835,-56.19159488210655,112.53200743316164,0.8428784172937489,1067.5305914223266,277.62897968381145,-1410.1581359535535
lower_trim_20,E1_e_reg5,4,E,114.0383280749907,-55.97356445043711,-1278.4638928630613,111.55257765734946,-0.1365513585184288,-1121.760574953871,1557.8722521990012,-1559.2030311699727
lower_trim_20,E1_e_reg5,5,F,2734.049949097918,110.71532632375417,-1352.6131642392859,111.63570002635932,-0.05342898950857363,-1170.1743764519986,1651.1258703969388,1065.0500171403141
lower_trim_20,E1_e_reg5,6,G,2677.837151175931,2236.851309640804,-1344.2112733639706,110.92632764902689,-0.762801366841009,952.3513057658629,1586.8030147383038,1185.183228791287
lower_trim_20,E1_e_reg5,7,H,-17.556766280763004,2005.0734217919257,-1422.6400232459941,111.58134922071699,-0.10777979515090515,946.2263250320996,1647.0905861622714,-1520.6157884509566
lower_trim_20,E2_e_zero,0,A,0.0,0.0,0.0,111.6875365446338,0.0,-1090.5079489538398,277.9549154655839,-1658.9333351618461
lower_trim_20,E2_e_zero,1,B,2670.2111527869256,0.0,0.0,111.6875365446338,0.0,-1311.692259628129,301.49995526668704,1001.9970908884088
lower_trim_20,E2_e_zero,2,C,2708.2402694335574,2140.0244583969748,0.0,111.6875365446338,0.0,817.0464641456956,245.49001938925255,1217.601425814641
lower_trim_20,E2_e_zero,3,D,68.38148590735955,2170.954180441311,-55.85415533975704,111.6875365446338,0.0,1068.0350890054215,277.2308799390022,-1410.8825401432007
lower_trim_20,E2_e_zero,4,E,113.2741200642679,-56.612919425573764,-1277.6971261870272,111.6875365446338,0.0,-1121.8291444121562,1557.648796513719,-1559.190923361083
lower_trim_20,E2_e_zero,5,F,2733.0567477546083,110.74148650989873,-1352.6714990248622,111.6875365446338,0.0,-1170.0960188246052,1651.2883216299906,1064.8882710015796
lower_trim_20,E2_e_zero,6,G,2675.942027988483,2236.1241337366955,-1344.4928030196802,111.6875365446338,0.0,951.717123660319,1586.649404327361,1184.5176075511504
