capture_id,file_path,n_rows,n_valid_rows,n_frames,n_anchors,min_rows_per_anchor,max_rows_per_anchor,data_format
ID11,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID11_BSF66F_120s_20260528_114551/tag_capture_20260528_114551/tr_all.csv,9608,9510,1201,8,1201,1201,one row per frame-anchor observation
ID12,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID12_BSF66F_120s_20260528_115143/tag_capture_20260528_115143/tr_all.csv,9608,9504,1201,8,1201,1201,one row per frame-anchor observation
ID13,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID13_BSF66F_120s_20260528_115704/tag_capture_20260528_115704/tr_all.csv,9600,9498,1200,8,1200,1200,one row per frame-anchor observation
ID14,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID14_BSF66F_120s_20260528_120122/tag_capture_20260528_120122/tr_all.csv,9608,9510,1201,8,1201,1201,one row per frame-anchor observation
ID15,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID15_BSF66F_120s_20260528_120437/tag_capture_20260528_120437/tr_all.csv,9608,9554,1201,8,1201,1201,one row per frame-anchor observation
ID16,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID16_BSF66F_120s_20260528_120804/tag_capture_20260528_120804/tr_all.csv,9608,9484,1201,8,1201,1201,one row per frame-anchor observation
ID17,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID17_BSF66F_120s_20260528_121200/tag_capture_20260528_121200/tr_all.csv,9592,9500,1199,8,1199,1199,one row per frame-anchor observation
ID18,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID18_BSF66F_120s_20260528_121519/tag_capture_20260528_121519/tr_all.csv,9592,9505,1199,8,1199,1199,one row per frame-anchor observation
ID19,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID19_BSF66F_120s_20260528_121846/tag_capture_20260528_121846/tr_all.csv,9608,9485,1201,8,1201,1201,one row per frame-anchor observation
ID20,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID20_BSF66F_120s_20260528_122210/tag_capture_20260528_122211/tr_all.csv,9608,9505,1201,8,1201,1201,one row per frame-anchor observation
ID21,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID21_BSF66F_120s_20260528_122611/tag_capture_20260528_122611/tr_all.csv,9608,9503,1201,8,1201,1201,one row per frame-anchor observation
ID22,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID22_BSF66F_120s_20260528_122946/tag_capture_20260528_122946/tr_all.csv,9608,9518,1201,8,1201,1201,one row per frame-anchor observation
ID23,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID23_BSF66F_120s_20260528_123303/tag_capture_20260528_123303/tr_all.csv,9608,9533,1201,8,1201,1201,one row per frame-anchor observation
ID24,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID24_BSF66F_120s_20260528_123717/tag_capture_20260528_123717/tr_all.csv,9608,9518,1201,8,1201,1201,one row per frame-anchor observation
