position_id,anchor_label,n_frames,n_eff,p10,p30,p50,kde_lowest_mode,truth_range_v5_mm,oracle_bias_mm,recoverability_class
ID04,F,1178,1178.0,2222.0,2256.0,2276.0,2276.5789974937343,1965.1942007657271,209.1157992342728,BIASED_UNRECOVERABLE
ID04,G,1171,1171.0,2175.0,2192.0,2205.0,2203.3695488721805,2209.1689713143874,-5.799422442206833,RECOVERABLE_LOS
ID04,H,1187,1187.0,3059.0,3080.0,3093.0,3091.6350375939846,2962.7361428073255,69.26385719267455,BIASED_UNRECOVERABLE
ID05,A,1196,1037.5289841733427,3017.0,3054.0,3074.0,3079.554010025063,2646.849851132171,160.5501488678292,BIASED_UNRECOVERABLE
ID05,B,1197,1197.0,1586.0,1603.0,1617.0,1619.4561403508771,1668.82351308839,-49.367372737512824,OTHER_BIASED
ID05,C,1199,1067.4366433086636,1715.0,1729.0,1741.0,1742.6491228070176,1696.6728851228718,1.8604482104615272,RECOVERABLE_LOS
ID05,D,1200,894.3081805048033,2561.0,2576.0,2588.0,2588.130338345865,2589.5322029117046,-1.4018645658397872,RECOVERABLE_LOS
ID05,E,1200,1145.1058907249394,2447.0,2466.0,2478.0,2473.2003383458646,2457.2296598786447,0.7703401213552752,RECOVERABLE_LOS
ID05,F,1189,1189.0,1421.0,1454.0,1481.0,1471.5962406015037,1442.384019059501,-3.3840190595010426,RECOVERABLE_LOS
ID05,G,1121,1121.0,1547.0,1569.0,1586.0,1584.6977443609023,1610.6371370197828,-25.93939265888048,OTHER_BIASED
ID05,H,1193,610.2931812485815,2535.0,2552.0,2565.0,2563.6788972431077,2530.703940431096,4.296059568904184,RECOVERABLE_LOS
ID06,A,1198,1078.0342325832896,2989.0,3005.0,3018.5,3007.4893859649123,2899.427183386807,67.48281661319288,UNSTABLE
ID06,B,1200,1123.5077583201812,1970.0,1985.0,1996.0,1992.8187593984958,2044.0358784494956,-51.21711905099983,OTHER_BIASED
ID06,C,1200,539.5805850440835,2205.0,2223.0,2239.0,2229.7130952380953,2091.618101838152,96.38189816184786,BIASED_UNRECOVERABLE
ID06,D,1200,1074.9901633110937,2833.9,2854.0,2869.0,2869.5342857142855,2854.1988568943248,-0.19885689432476283,RECOVERABLE_LOS
ID06,E,1200,1200.0,2456.0,2477.0,2493.0,2500.6711278195485,2408.6654337614646,26.334566238535444,OTHER_BIASED
ID06,F,1194,1194.0,1335.0,1358.0,1373.0,1370.138746867168,1307.7746876538813,-1.7746876538813012,RECOVERABLE_LOS
ID06,G,1152,1152.0,1520.0,1539.0,1553.0,1552.007192982456,1528.1456450725007,-2.145645072500656,RECOVERABLE_LOS
ID06,H,1176,1176.0,2430.0,2454.0,2469.0,2466.5817669172934,2470.4769633085934,-3.8951963913000327,RECOVERABLE_LOS
ID07,A,1201,1080.6006409988681,2330.0,2352.0,2365.0,2361.4736842105262,2418.5780481619527,-57.10436395142642,OTHER_BIASED
ID07,B,1197,1197.0,1961.0,1981.0,1993.0,1987.6713784461153,2097.7117568138588,-109.98146635742728,OTHER_BIASED
ID07,C,1200,1200.0,1253.9,1269.0,1284.0,1269.0993483709271,1434.642736912876,-165.54338854194884,OTHER_BIASED
ID07,D,1199,1065.7338234111373,1783.0,1796.0,1806.0,1800.1353383458647,1805.0994065784892,-4.964068232624413,RECOVERABLE_LOS
ID07,E,1201,580.1808889199432,2927.0,2944.0,2955.0,2954.6090225563908,2749.2608582238845,156.7391417761155,BIASED_UNRECOVERABLE
ID07,F,1193,1182.051648939602,2420.0,2472.0,2527.0,2471.5142857142855,2496.7286982453393,-24.728698245339274,UNSTABLE
ID07,G,1120,1120.0,2197.0,2219.0,2232.0,2230.4697368421052,2060.336157751667,112.66384224833291,BIASED_UNRECOVERABLE
ID07,H,1187,1187.0,2350.0,2374.0,2391.0,2390.323333333333,2388.8332376524936,1.4900956808392039,RECOVERABLE_LOS
ID08,A,1198,1142.2694556798122,2461.0,2492.0,2510.0,2509.3429573934836,2519.8886651977664,-10.545707804282756,RECOVERABLE_LOS
ID08,B,1201,1103.4934220438574,2616.0,2640.0,2657.0,2666.9548872180453,2365.5539955075114,227.44600449248856,BIASED_UNRECOVERABLE
ID08,C,1201,1108.0313572933344,1657.0,1673.0,1684.0,1681.6215538847118,1806.0005670255482,-124.37901314083638,OTHER_BIASED
ID08,D,1200,1200.0,1979.0,1991.0,2000.0,1997.4533082706766,1908.8894469973304,52.110553002669576,BIASED_UNRECOVERABLE
ID08,E,1201,1032.8536735669159,2293.0,2310.0,2321.0,2317.7969924812032,2342.3354098494733,-24.538417368270075,OTHER_BIASED
ID08,F,1188,1188.0,2151.0,2187.0,2218.5,2202.4540476190477,2168.98453219389,0.015467806109882076,UNSTABLE
ID08,G,1131,1131.0,1610.0,1628.0,1640.0,1639.151127819549,1625.798245086829,-1.7982450868289561,RECOVERABLE_LOS
ID08,H,1171,786.5356975888226,1708.0,1732.0,1746.0,1746.9342105263158,1808.2864885512713,-61.35227802495547,OTHER_BIASED
ID09,A,1194,1087.7502990944206,2645.0,2661.9,2671.5,2667.8741228070176,2729.534271599084,-61.66014879206659,OTHER_BIASED
ID09,B,1199,1066.0777854755322,2563.8,2579.0,2590.0,2586.613082706767,2575.602220655457,0.3977793445428688,RECOVERABLE_LOS
ID09,C,1197,1044.590056081301,1958.0,1974.8,1984.0,1981.7335839598998,2070.5361951904233,-88.80261123052355,OTHER_BIASED
ID09,D,1200,1010.4003796174766,2390.0,2404.0,2414.0,2412.311428571428,2164.1699979610535,207.83000203894653,BIASED_UNRECOVERABLE
ID09,E,1198,1198.0,2214.0,2243.0,2263.0,2266.2176315789475,2314.3184113513103,-48.100779772362785,OTHER_BIASED
ID09,F,1195,1195.0,2160.0,2248.0,2311.0,2339.1099999999997,2109.289105601469,-0.40910560146903663,RECOVERABLE_LOS
ID09,G,1161,1161.0,1436.0,1458.0,1474.0,1473.5142857142857,1532.025736367995,-57.91462525688394,OTHER_BIASED
ID09,H,1184,1184.0,1726.0,1743.0,1756.0,1753.5493859649123,1725.8736930764128,0.12630692358720808,RECOVERABLE_LOS
ID10,A,1200,1200.0,1492.0,1504.0,1513.0,1518.5468170426066,1537.0800264145919,-18.533209371985322,OTHER_BIASED
ID10,B,1201,1201.0,2542.0,2561.0,2574.0,2576.157894736842,2560.9790124467486,0.020987553251416102,RECOVERABLE_LOS
ID10,C,1201,1201.0,2427.0,2447.0,2462.0,2465.684210526316,2464.3514926635708,0.18569741907367643,RECOVERABLE_LOS
ID10,D,1199,1199.0,1272.0,1287.0,1299.0,1300.381604010025,1286.4432151352178,0.5567848647822302,RECOVERABLE_LOS
ID10,E,1201,1201.0,2072.0,2089.0,2102.0,2104.754385964912,2067.3887657544337,2.2958815484707884,RECOVERABLE_LOS
ID10,F,1173,1173.0,3063.0,3088.0,3108.0,3106.4621052631583,2914.6095740504434,108.11042594955643,BIASED_UNRECOVERABLE
ID10,G,1139,1139.0,2778.0,2803.0,2820.0,2818.959298245614,2845.4687735878388,-25.630345640240648,OTHER_BIASED
ID10,H,1182,1182.0,1941.0,1970.0,1989.0,1995.3085338345866,1941.7124093408684,-0.712409340868362,RECOVERABLE_LOS
ID11,A,1201,1115.2048739007587,1695.0,1712.0,1724.0,1723.310776942356,1695.161064292306,-0.1610642923060368,RECOVERABLE_LOS
ID11,B,1199,1136.1211826916374,2586.8,2600.0,2610.0,2613.79045112782,2653.5061687800385,-39.7157176522187,OTHER_BIASED
ID11,C,1198,1198.0,2746.0,2758.0,2767.0,2762.603070175439,2692.0612615590508,34.93873844094924,BIASED_UNRECOVERABLE
ID11,D,1201,1201.0,1710.0,1725.0,1736.0,1739.122807017544,1676.6126342216178,12.387365778382218,RECOVERABLE_LOS
ID11,E,1201,1197.6987475658723,1506.0,1521.0,1531.0,1530.9172932330828,1471.4700726790265,16.529927320973457,OTHER_BIASED
ID11,F,1194,1194.0,2537.3,2558.0,2572.0,2570.333233082707,2530.286681915616,-2.636681915616009,RECOVERABLE_LOS
ID11,G,1137,1137.0,2589.0,2607.0,2620.0,2619.720902255639,2588.9312095530668,0.06879044693323522,RECOVERABLE_LOS
ID11,H,1179,1179.0,1440.0,1458.0,1474.0,1476.4253383458642,1446.1670554966465,-0.16705549664652608,RECOVERABLE_LOS
ID12,A,1199,1139.4424002738933,2096.0,2109.0,2117.0,2118.3331829573935,2005.827707089278,75.17229291072204,BIASED_UNRECOVERABLE
ID12,B,1201,1201.0,2771.0,2801.0,2820.0,2827.4285714285716,2853.1848881401543,-25.756316711582713,OTHER_BIASED
ID12,C,1199,1199.0,2984.0,2999.0,3010.0,3010.503759398496,2881.3803360172064,85.61966398279355,BIASED_UNRECOVERABLE
ID12,D,1201,1201.0,1937.0,1954.0,1966.0,1963.4586466165413,1967.830077835683,-4.371431219141641,RECOVERABLE_LOS
ID12,E,1201,1117.1142467270147,1447.0,1463.0,1474.0,1474.4912280701753,1410.9591675046613,17.04083249533869,OTHER_BIASED
ID12,F,1190,1190.0,2489.0,2520.0,2538.0,2537.388045112782,2481.6303794046976,2.9452508474032584,RECOVERABLE_LOS
ID12,G,1136,1136.0,2461.0,2481.0,2496.0,2495.000187969925,2532.9191071657374,-36.4998931919381,OTHER_BIASED
ID12,H,1177,1121.077141779422,1223.0,1250.0,1270.0,1269.0279699248117,1317.198452250871,-45.316595710786714,OTHER_BIASED
ID13,A,1199,1128.900790070461,2059.0,2072.4,2081.0,2082.872105263158,2108.659706708562,-25.787601445404107,OTHER_BIASED
ID13,B,1199,1199.0,1983.0,2005.0,2024.0,2020.8006766917294,2032.2314291785294,-11.430752486799975,RECOVERABLE_LOS
ID13,C,1198,1104.382720713751,1989.0,2007.0,2018.0,2016.644172932331,2136.367328409712,-119.08102135577019,OTHER_BIASED
ID13,D,1199,1199.0,2159.0,2183.0,2197.0,2196.987844611529,2131.1875579181533,-1.1542245848199855,RECOVERABLE_LOS
ID13,E,1195,1175.2492408698545,1888.0,1903.0,1915.0,1917.89320802005,1878.6360464614756,-1.4777131281423408,RECOVERABLE_LOS
ID13,F,1192,1192.0,1761.0,1818.0,1877.0,1814.5638721804512,1847.7401012006505,-29.740101200650543,UNSTABLE
ID13,G,1137,1137.0,2022.0,2040.0,2053.0,2052.4574436090224,2028.9021703009846,-0.9021703009846078,RECOVERABLE_LOS
ID13,H,1179,1156.9226118583756,1931.0,1956.0,1974.0,1969.6921052631578,1992.922438267304,-23.230333004146132,OTHER_BIASED
ID14,A,1198,1157.7632199453942,2108.0,2121.0,2130.0,2123.4734962406014,2104.023853398713,-1.0238533987130722,RECOVERABLE_LOS
ID14,B,1199,1179.7686919510393,1914.0,1929.0,1940.0,1933.1552631578948,2021.638028325422,-88.4827651675273,OTHER_BIASED
ID14,C,1196,967.8047013024484,2027.0,2043.0,2054.0,2052.551002506266,2135.6994790600556,-83.1484765537898,OTHER_BIASED
ID14,D,1200,1200.0,2093.0,2114.0,2129.0,2127.689298245614,2136.1914083172246,-8.502110071610787,RECOVERABLE_LOS
ID14,E,1199,1199.0,1818.0,1843.0,1858.0,1859.2020802005013,1877.9261091145725,-18.72402891407114,OTHER_BIASED
ID14,F,1198,1198.0,1868.0,1895.0,1915.0,1910.921090225564,1842.0063289938607,0.993671006139266,RECOVERABLE_LOS
ID14,G,1138,1138.0,1949.0,1967.0,1980.0,1978.2342857142855,2033.765110292661,-55.53082457837536,OTHER_BIASED
ID14,H,1182,1182.0,1986.0,2002.3,2017.0,2018.4447869674188,2002.8475220871865,-0.5475220871865076,RECOVERABLE_LOS
ID15,A,1199,1199.0,2004.0,2019.0,2031.0,2032.8209774436089,2111.116315082616,-78.29533763900713,OTHER_BIASED
ID15,B,1199,1199.0,1985.0,2004.0,2019.0,2008.1335839598999,2013.837911833492,-5.704327873592092,RECOVERABLE_LOS
ID15,C,1200,1186.6667924760861,1989.0,2013.0,2029.0,2020.3607518796991,2128.794323181508,-108.4335713018088,OTHER_BIASED
ID15,D,1201,1201.0,2163.0,2185.0,2198.0,2200.7869674185463,2143.4123236721207,0.5876763278793078,RECOVERABLE_LOS
ID15,E,1200,1087.21136717623,1837.0,1854.0,1865.5,1862.1262030075186,1885.487973267694,-23.36177026017549,OTHER_BIASED
ID15,F,1196,717.9365206689585,1831.5,1874.5,1908.0,1921.7250000000006,1833.4803421814015,-1.980342181401511,RECOVERABLE_LOS
ID15,G,1158,1158.0,1987.7,2006.0,2018.0,2015.6741854636591,2027.1389137238823,-11.464728260223183,RECOVERABLE_LOS
ID15,H,1201,1201.0,1935.0,1963.0,1980.0,1977.2531328320802,2011.378665375908,-34.12553254382783,OTHER_BIASED
ID16,A,1199,1199.0,2115.0,2129.0,2145.0,2126.7744360902257,2112.5448310805973,0.5760022527360888,RECOVERABLE_LOS
ID16,B,1199,1124.1446360351986,1941.0,1960.0,1972.0,1972.4785714285715,2019.5007925377638,-47.02222110919229,OTHER_BIASED
ID16,C,1199,1199.0,2073.0,2085.0,2094.0,2095.2130325814537,2117.2742196133495,-21.772144924552777,OTHER_BIASED
ID16,D,1198,1198.0,2136.0,2152.0,2163.0,2162.6670927318296,2128.1164129573267,0.7335870426732072,RECOVERABLE_LOS
ID16,E,1199,1199.0,1844.0,1863.0,1877.0,1870.74015037594,1895.3656463306274,-24.625495954687494,OTHER_BIASED
ID16,F,1176,1176.0,1884.0,1922.0,1950.0,1955.076754385965,1846.7609912893577,0.739008710642338,RECOVERABLE_LOS
ID16,G,1155,1155.0,1952.0,1974.0,1989.0,1985.8748120300752,2021.260284811761,-35.38547278168585,OTHER_BIASED
ID16,H,1159,1159.0,1971.0,1995.0,2011.0,2008.7603759398496,2003.703275534338,-4.63460600644089,RECOVERABLE_LOS
ID17,A,1199,1199.0,1683.0,1704.0,1722.0,1722.844461152882,1792.351239130661,-69.50677797777894,OTHER_BIASED
ID17,B,1198,1158.875399194604,1814.0,1838.0,1852.0,1855.698709273183,1929.312000212985,-73.6132909398018,OTHER_BIASED
ID17,C,1197,1196.0887947191522,1901.0,1919.0,1934.0,1929.1612531328321,2020.1560355755764,-90.99478244274428,OTHER_BIASED
ID17,D,1197,1197.0,1749.6,1766.0,1779.0,1769.5440100250626,1829.7363291835652,-60.19231915850264,OTHER_BIASED
ID17,E,1198,1198.0,2344.0,2359.0,2372.0,2372.052105263158,2237.8956369946436,82.10436300535639,BIASED_UNRECOVERABLE
ID17,F,1192,1192.0,2292.0,2346.0,2385.0,2373.0893358395992,2406.0442058409685,-32.95487000136927,UNSTABLE
ID17,G,1160,1160.0,2534.0,2550.0,2562.0,2560.6005012531327,2521.907460305993,1.644263831938133,RECOVERABLE_LOS
ID17,H,1159,1159.0,2224.0,2251.0,2273.0,2272.187142857143,2361.6551374061605,-89.46799454901748,OTHER_BIASED
ID18,A,1192,1192.0,1667.0,1683.0,1695.0,1697.7434210526317,1821.1323856285067,-123.38896457587498,OTHER_BIASED
ID18,B,1198,1198.0,1694.0,1716.0,1728.0,1730.8747368421054,1775.7724943618575,-44.897757519752076,OTHER_BIASED
ID18,C,1195,1195.0,1962.0,1979.2,1994.0,1996.7832330827068,2001.038318297754,-4.255085215047075,RECOVERABLE_LOS
ID18,D,1199,1199.0,1949.0,1973.0,1991.0,1992.5460902255638,1984.9033465099612,4.781300792943284,RECOVERABLE_LOS
ID18,E,1199,1176.7316110581885,2172.0,2198.0,2217.0,2206.4757142857143,2254.0791301925897,-29.651744300473638,UNSTABLE
ID18,F,1192,1192.0,2284.0,2311.0,2329.0,2327.78,2294.495033034765,-2.495033034765129,RECOVERABLE_LOS
ID18,G,1154,1154.0,2449.0,2470.0,2483.0,2482.0773684210526,2517.8400213725645,-35.76265295151188,OTHER_BIASED
ID18,H,1176,1176.0,2427.0,2456.0,2474.0,2470.5698621553884,2481.8369851673338,-11.267123011945387,RECOVERABLE_LOS
ID19,A,1195,1195.0,1927.0,1943.0,1953.0,1951.5180701754387,1969.3891314663815,-17.871061290942862,OTHER_BIASED
ID19,B,1198,1198.0,1600.0,1616.0,1626.0,1626.5383333333334,1766.9904394699613,-140.4521061366279,OTHER_BIASED
ID19,C,1200,1200.0,1700.0,1716.0,1727.0,1726.3029448621553,1848.943161873432,-122.64021701127672,OTHER_BIASED
ID19,D,1199,1199.0,1945.0,1966.0,1983.0,1992.3195989974938,1982.46393861167,6.424028193309141,RECOVERABLE_LOS
ID19,E,1199,1199.0,2689.0,2707.0,2719.0,2712.5263157894738,2370.296836276035,297.6831637239652,BIASED_UNRECOVERABLE
ID19,F,1190,1190.0,2193.0,2243.0,2293.0,2313.3460526315794,2278.075338942519,34.259389090953846,OTHER_BIASED
ID19,G,1143,1143.0,2758.0,2786.0,2808.0,2806.3894736842108,2396.8234701534616,324.01652984653856,BIASED_UNRECOVERABLE
ID19,H,1161,1161.0,2361.0,2386.0,2404.0,2402.536842105263,2491.1145027806665,-88.57766067540342,OTHER_BIASED
ID20,A,1199,1199.0,1860.0,1888.0,1908.0,1911.789022556391,1937.851268443395,-26.062245887003883,OTHER_BIASED
ID20,B,1198,1106.4234868958802,1862.0,1878.0,1890.0,1889.6270551378445,1918.9386127909595,-29.31155765311496,OTHER_BIASED
ID20,C,1199,1090.7497360853824,1775.0,1795.0,1808.0,1806.9036842105263,1875.9143315103572,-69.01064729983091,OTHER_BIASED
ID20,D,1197,1197.0,1759.0,1780.0,1793.0,1792.7691729323308,1830.738640231168,-37.96946729883712,OTHER_BIASED
ID20,E,1201,1201.0,2269.0,2293.0,2311.0,2317.7017543859647,2354.4053129648883,-36.70355857892355,OTHER_BIASED
ID20,F,1184,1184.0,2635.0,2663.0,2683.0,2680.1921303258146,2392.7693726686875,206.0606273313124,BIASED_UNRECOVERABLE
ID20,G,1157,1157.0,2299.0,2324.0,2341.0,2338.554436090226,2409.801336511513,-71.24690042128714,OTHER_BIASED
ID20,H,1170,995.7293724178699,2444.0,2483.0,2518.0,2489.881917293233,2377.4858089320796,20.58419106792053,OTHER_BIASED
ID21,A,1198,1071.4322287032749,2253.0,2273.0,2295.0,2272.5510651629074,2326.415455329668,-53.41545532966802,OTHER_BIASED
ID21,B,1200,1105.6656418325683,2311.0,2327.0,2339.0,2339.858295739348,2287.387833269392,2.612166730607896,RECOVERABLE_LOS
ID21,C,1200,1007.79321890391,2314.0,2328.0,2338.0,2334.828872180451,2414.6064544216347,-79.77758224118361,OTHER_BIASED
ID21,D,1201,764.9163558349079,2611.0,2628.0,2642.0,2636.7593984962405,2373.166321541475,214.8336784585249,BIASED_UNRECOVERABLE
ID21,E,1200,1200.0,1754.0,1771.0,1786.0,1775.7057268170424,1784.5001699452073,4.126386071390243,RECOVERABLE_LOS
ID21,F,1174,1166.2135555074308,1724.3,1772.0,1816.0,1834.4628822055138,1776.3719254516654,-4.371925451665447,UNSTABLE
ID21,G,1150,1150.0,1935.0,1951.0,1963.0,1961.707105263158,2005.885117137192,-44.178011874034155,OTHER_BIASED
ID21,H,1180,1180.0,1858.0,1882.0,1897.0,1897.5385087719299,1910.9017325103057,-13.363223738375837,RECOVERABLE_LOS
ID22,A,1199,1155.2870982220586,2586.8,2602.0,2614.0,2605.655889724311,2312.8779087628036,254.1220912371964,BIASED_UNRECOVERABLE
ID22,B,1200,1200.0,2205.0,2223.0,2237.0,2242.7024436090223,2281.837814154442,-39.135370545419846,OTHER_BIASED
ID22,C,1196,1168.04353674727,2377.0,2393.0,2405.0,2406.403947368421,2429.9531157824154,-23.549168413994266,OTHER_BIASED
ID22,D,1199,1128.486996706802,2320.0,2340.0,2353.0,2356.975588972431,2381.3996639548277,-24.424074982396633,OTHER_BIASED
ID22,E,1200,1168.0579081713754,1689.0,1717.0,1738.0,1749.7492105263154,1765.9313969658526,-16.18218643953719,OTHER_BIASED
ID22,F,1194,1194.0,1786.0,1816.0,1837.0,1831.1925187969925,1770.7119357846636,-0.6452691179970316,RECOVERABLE_LOS
ID22,G,1146,1146.0,1991.0,2009.0,2021.0,2020.599686716792,2025.57771826254,-4.978031545748081,RECOVERABLE_LOS
ID22,H,1184,1184.0,1882.0,1901.9,1915.0,1913.365852130326,1918.8325430276036,-5.466690897277658,RECOVERABLE_LOS
ID23,A,1201,1189.3664334966763,2258.0,2271.0,2281.0,2279.436090225564,2321.903829431444,-42.46773920588021,OTHER_BIASED
ID23,B,1200,1197.2840223808323,2483.0,2500.0,2509.0,2506.437919799499,2276.051115042511,184.92888495748912,BIASED_UNRECOVERABLE
ID23,C,1196,912.4313715316616,2356.0,2376.0,2391.0,2387.8766917293233,2421.54257193044,-33.66588020111658,OTHER_BIASED
ID23,D,1197,1101.7510523259928,2424.0,2439.0,2452.0,2448.7293233082705,2386.8153666836,17.144633316399904,OTHER_BIASED
ID23,E,1199,1167.2623262676634,1755.0,1776.0,1794.0,1797.0618546365915,1776.9006348710784,-0.9006348710784096,UNSTABLE
ID23,F,1193,1193.0,1720.0,1762.0,1808.0,1765.0995488721805,1762.2038356375906,-0.20383563759060053,RECOVERABLE_LOS
ID23,G,1159,1159.0,1974.0,1992.0,2006.0,2004.811253132832,2015.217604674813,-10.40635154198094,RECOVERABLE_LOS
ID23,H,1188,1188.0,1879.0,1900.0,1912.0,1912.0127819548875,1926.2606441212674,-14.247862166379946,RECOVERABLE_LOS
ID24,A,1197,1197.0,2398.0,2412.0,2424.0,2416.2000000000003,2325.067818792714,55.932181207285794,BIASED_UNRECOVERABLE
ID24,B,1197,1197.0,2213.0,2232.0,2244.0,2241.0038596491227,2284.2475923020424,-43.24373265291979,OTHER_BIASED
ID24,C,1199,1008.4337976683854,2815.0,2829.0,2839.0,2840.40343358396,2417.4451692174007,378.53483078259933,BIASED_UNRECOVERABLE
ID24,D,1201,1201.0,2312.0,2338.0,2354.0,2354.8245614035086,2377.798551473444,-22.973990069935553,OTHER_BIASED
ID24,E,1201,1158.4143526618038,1724.0,1748.0,1765.0,1755.9022556390978,1781.7213181515617,2.9935578814961445,UNSTABLE
ID24,F,1188,1188.0,1747.0,1801.0,1833.0,1841.40328320802,1771.9856362737112,3.0143637262888205,RECOVERABLE_LOS
ID24,G,1146,1146.0,1982.0,2001.0,2015.0,2013.0638471177945,2009.1760184540099,0.9322066542151788,RECOVERABLE_LOS
ID24,H,1189,1108.165799831775,1896.0,1914.0,1927.0,1926.950476190476,1915.6351188530532,-1.6351188530532,RECOVERABLE_LOS
