solver,config,ID,N,X,Y,Z,3D
MDS+NLS,Dual-layer 8anc,ID16,601,27.612130031943536,18.818093915829287,35.42043750929575,48.694535390286404
AutoPos V2,Upper only EFGH,ID14,182,41.9056917932085,26.638092015569153,0.0,49.65556314147803
MDS+NLS,Upper only EFGH,ID14,182,41.91448624697315,26.640237928657978,4.5263504640763135e-36,49.664136298170014
V3-lite,Upper only EFGH,ID14,182,41.9536560872312,26.625190632131584,0.0,49.6891339759813
V3-lite,Dual-layer 8anc,ID13,601,22.84950042351921,13.122044921519553,42.21875073569707,49.76656152688975
AutoPos V2,Dual-layer 8anc,ID13,601,22.852415528942327,13.126238046249487,42.329091522325456,49.8626414248148
MDS+NLS,Dual-layer 8anc,ID13,601,22.931140875443308,13.156630138004846,42.32072919435204,49.899681942667385
AutoPos V2,Upper only EFGH,ID15,192,43.11284696576255,25.352758749797797,0.0,50.01479730758398
MDS+NLS,Upper only EFGH,ID15,192,43.112628077652396,25.423094334463066,0.0,50.05029895316301
V3-lite,Upper only EFGH,ID15,192,43.573999348159695,25.52558082747737,0.0,50.49998708686471
V4-interonly,Dual-layer 8anc,ID13,601,23.374847122659556,13.311441523737416,42.78501164102157,50.538452435446985
V4-interonly,Upper only EFGH,ID14,182,43.20340746871638,26.595758915214418,6.523158484275954e-18,50.73331064679443
V3-lite,Upper only EFGH,ID16,172,43.44500625552311,26.540188273311422,0.0,50.910216677257026
AutoPos V2,Upper only EFGH,ID16,172,43.74911134238722,26.66779399197907,0.0,51.23627601267709
MDS+NLS,Upper only EFGH,ID16,172,43.78368422906911,26.673224704681434,9.808668134057977e-36,51.268625111438894
AutoPos V2,Lower only ABCD,ID15,597,23.495661601989273,16.811071125531072,43.417240806480024,52.15088710415895
V4-interonly,Lower+EF,ID14,600,27.745881154124195,15.223297652370409,42.2740658446221,52.80794784373746
AutoPos V2,Lower only ABCD,ID16,597,25.996827296774025,18.883693355468868,44.35111059903679,54.767233959820054
AutoPos V2,Lower+EF,ID16,601,29.801555570350676,17.15319810901008,43.55675352284075,55.49374466756723
AutoPos V2,Lower only ABCD,ID14,596,28.143584075144705,16.717223690568602,45.2616765572199,55.85826937245403
V4-interonly,Upper only EFGH,ID13,240,47.66226596784229,29.766939057544768,1.7383488163490515e-18,56.19396994380199
V4-interonly,Best6 no DH,ID14,600,31.519320309811548,19.398157778377406,42.450755300738955,56.318937344294234
MDS+NLS,Best6 no DH,ID14,600,31.951385178710865,19.60191428449454,42.1720667939108,56.42348160230002
AutoPos V2,Best6 no DH,ID14,600,31.91304173194343,19.596723523142533,42.203666247984394,56.42360543423743
V3-lite,Best6 no DH,ID14,600,31.978609594940814,19.622664366980715,42.14715964829124,56.42750654515371
V4-interonly,Lower+EF,ID15,600,27.334820920524173,15.432094296907815,47.21874873057119,56.700548505518
V3-lite,Lower only ABCD,ID16,597,27.742318732588625,19.514730041552756,45.733319988199334,56.93854137926481
V4-interonly,Lower only ABCD,ID16,597,27.742318732588625,19.514730041552756,45.733319988199334,56.93854137926481
V3-lite,Lower only ABCD,ID15,597,23.737204000243203,19.315400003661953,49.34523595386983,58.06454892956384
V4-interonly,Lower only ABCD,ID15,597,23.737204000243203,19.315400003661953,49.34523595386983,58.06454892956384
MDS+NLS,Lower only ABCD,ID15,597,23.698982480188306,19.33886049314805,49.67433777681122,58.33672196253788
V3-lite,Lower+EF,ID16,601,31.07246038712576,17.322008946059885,46.36454455494401,58.43989031666869
MDS+NLS,Lower+EF,ID16,601,30.975639100532952,17.28286475300194,46.51096255078875,58.4932241303033
AutoPos V2,Best6 no DH,ID16,601,38.95644169805806,23.715856573386535,37.737308940714854,59.19586716039047
MDS+NLS,Best6 no DH,ID16,601,38.99333806296207,23.730226095553647,37.701726481560904,59.203245042218526
V3-lite,Best6 no DH,ID16,601,39.01789000348245,23.752352695047957,37.673104158449476,59.21007326297774
V4-interonly,Best6 no DH,ID16,601,38.69392633561594,23.5780097013579,38.27936519084343,59.316543022645504
AutoPos V2,Lower+EF,ID13,601,26.10922347888465,15.210816341499196,51.644798622978264,59.83515446000903
V3-lite,Lower only ABCD,ID14,596,29.217982806160613,18.585875984260664,49.31341811828281,60.25726936952917
V4-interonly,Lower only ABCD,ID14,596,29.217982806160613,18.585875984260664,49.31341811828281,60.25726936952917
V4-interonly,Best6 no DH,ID13,601,29.84857014349582,15.568415532915571,50.03074826169364,60.302474853372956
MDS+NLS,Lower only ABCD,ID14,596,29.19342698267247,18.597489122724873,49.752861619676175,60.60915788896217
MDS+NLS,Best6 no DH,ID13,601,29.84989655682543,15.633314130311485,50.50382374020334,60.712873820399096
