dataset,ID,peer,version,N,metric,value_mm,X,Y,Z,radius_mm,radial_std,z_plane_std,rms_3d,tilt_deg
static,ID19,BSF66F,V3-lite,601,static_3d_std,58.104334619258914,30.622776109275,15.956406650742046,46.73063632890292,,,,,
static,ID19,BSF66F,V4-interonly,601,static_3d_std,61.59548521070132,32.34527620362343,15.8618346417707,49.961876540519974,,,,,
static,ID20,BSF66F,V3-lite,601,static_3d_std,58.01880655980676,23.598643117949862,14.573271307494254,50.959844201234354,,,,,
static,ID20,BSF66F,V4-interonly,601,static_3d_std,58.3387191092323,23.532439014336642,14.158149613184033,51.47015893576714,,,,,
static,ID21,BSF66F,V3-lite,600,static_3d_std,41.93132246305004,21.643282049466652,13.693959727659088,33.200596570013175,,,,,
static,ID21,BSF66F,V4-interonly,600,static_3d_std,42.31552289274516,23.03522610675589,14.23354127409497,32.517505111796424,,,,,
static,ID22,BSF66F,V3-lite,601,static_3d_std,39.87218574589313,25.61975956939453,15.230609870758402,26.484856781303865,,,,,
static,ID22,BSF66F,V4-interonly,601,static_3d_std,37.30278215774163,24.287409698620202,14.289002380164149,24.442661430764037,,,,,
static,ID23,BSF66F,V3-lite,601,static_3d_std,42.61105703853291,25.693096258953233,14.164177000240041,30.902153265996528,,,,,
static,ID23,BSF66F,V4-interonly,601,static_3d_std,43.90771682887796,27.685206030115392,14.820837733144765,30.688104097235904,,,,,
static,ID24,BSF66F,V3-lite,601,static_3d_std,37.82308417457194,22.851227368651475,13.715751725600057,26.838130687971677,,,,,
static,ID24,BSF66F,V4-interonly,601,static_3d_std,38.24804827842325,24.058532643970235,14.591069961100454,25.90754487630748,,,,,
roto,ID25,BS2DCE,V3-lite,1801,roto_circle_3d_std,92.42984943148637,,,,468.55987833076546,56.53731080476942,143.2121814271539,153.9634392066392,8.543093944998391
roto,ID25,BSDC91,V3-lite,1800,roto_circle_3d_std,87.7819469484315,,,,595.0426803515327,62.39840129806847,128.12394818158324,142.50885830604136,6.188985907960072
roto,ID25,BS2DCE,V4-interonly,1801,roto_circle_3d_std,90.85207623360003,,,,469.49289216612516,55.12187855275702,140.86388169831562,151.2576670031419,6.6081795700188675
roto,ID25,BSDC91,V4-interonly,1800,roto_circle_3d_std,84.06366877062497,,,,597.5473579476413,62.247132516668884,123.82328880789163,138.5885969251456,4.811332562728867
roto,ID26,BSDC91,V3-lite,1801,roto_circle_3d_std,79.93701998899913,,,,590.5839222741255,76.60326325254302,117.02508122619543,139.9175849220472,19.147719525538623
roto,ID26,BS2DCE,V3-lite,1800,roto_circle_3d_std,87.2590978395813,,,,474.7997910990809,73.03969153216023,136.92895689400382,155.25095889826036,20.03177352439414
roto,ID26,BSDC91,V4-interonly,1801,roto_circle_3d_std,78.89353079443119,,,,593.5240653144939,76.24940900337972,116.44330716124925,139.23512935071307,18.78601994165339
roto,ID26,BS2DCE,V4-interonly,1800,roto_circle_3d_std,79.86377998881598,,,,472.79532277392644,67.99243348482928,129.8822048712209,146.64427532395817,18.347913607445584
roto,ID27,BSDC91,V3-lite,1801,roto_circle_3d_std,120.88773025220628,,,,568.8890501465287,63.01798077640742,152.74947432338539,165.22939168694717,10.434829907579076
roto,ID27,BS2DCE,V3-lite,1800,roto_circle_3d_std,70.01713235642559,,,,456.9977068197556,56.2281088665668,112.27610240466517,125.58187375464043,16.94808842821477
roto,ID27,BSDC91,V4-interonly,1801,roto_circle_3d_std,106.01136440698859,,,,569.9295725177277,60.268931356708585,137.21035935182962,149.85578769537474,10.884711331629182
roto,ID27,BS2DCE,V4-interonly,1800,roto_circle_3d_std,66.06488501697312,,,,457.0757288672513,51.918492374472834,106.11556333778016,118.13987776326906,15.87369376063215
roto,ID28,BSDC91,V3-lite,1801,roto_circle_3d_std,91.92445320541945,,,,594.6371497886469,65.93204440447681,126.22564284539249,142.41529160350348,20.740301283119624
roto,ID28,BS2DCE,V3-lite,1800,roto_circle_3d_std,89.67496509206546,,,,467.4190651114506,73.82532947924985,121.0202402230979,141.84250188587035,23.355621591552662
roto,ID28,BSDC91,V4-interonly,1801,roto_circle_3d_std,95.20275509932712,,,,595.8993030180537,67.43647701516113,130.54222165301002,146.94080763313556,20.021765898903762
roto,ID28,BS2DCE,V4-interonly,1800,roto_circle_3d_std,88.72097012062025,,,,463.2921157511071,70.90806316647917,120.85351661318673,140.1869472467178,21.873328813834878
roto,ID29,BS2DCE,V3-lite,1800,roto_circle_3d_std,103.02353564687142,,,,457.72720187161804,67.79001928662763,161.2042696711732,174.90215613382603,15.326465069035894
roto,ID29,BSDC91,V3-lite,1800,roto_circle_3d_std,91.05060715077354,,,,579.584170690219,56.24976578741876,131.887214425437,143.36781282671777,15.156053413304438
roto,ID29,BS2DCE,V4-interonly,1800,roto_circle_3d_std,101.71585233667983,,,,456.6544815324829,66.59513547735087,155.3577509688069,169.0528825824092,11.662667914466969
roto,ID29,BSDC91,V4-interonly,1800,roto_circle_3d_std,87.90557150503862,,,,580.6878804496187,55.67601231335244,127.53508640449824,139.14527403107206,12.720437945774872
roto,ID30,BS2DCE,V3-lite,1801,roto_circle_3d_std,60.7820131441164,,,,490.17731304966674,75.14492297935685,71.85499561065696,104.10298975744243,57.43162477779617
roto,ID30,BSDC91,V3-lite,1800,roto_circle_3d_std,47.544289198570205,,,,564.5047782044187,66.51767622862003,61.08699521004317,90.37223008152364,49.673582278322506
roto,ID30,BS2DCE,V4-interonly,1801,roto_circle_3d_std,60.225528412647655,,,,488.54396013495267,73.28671696387867,72.17949142824281,102.98287908604661,57.58801724269621
roto,ID30,BSDC91,V4-interonly,1800,roto_circle_3d_std,50.489380149374064,,,,568.848357222784,69.67131412249253,64.74347226981004,95.17933064452427,50.31346322870972
roto,ID31,BSDC91,V3-lite,1801,roto_circle_3d_std,47.24645343826155,,,,546.386732847569,68.65359966101963,68.55388124607059,97.08993621212493,45.390042158481734
roto,ID31,BS2DCE,V3-lite,1800,roto_circle_3d_std,52.347393823172744,,,,426.42514211708595,62.50288690271993,83.16239637381993,104.10460913323068,46.99981333073845
roto,ID31,BSDC91,V4-interonly,1801,roto_circle_3d_std,50.09949835220341,,,,548.6889680908108,71.02121937943463,70.39895028782495,100.07874665408778,45.86915437353132
roto,ID31,BS2DCE,V4-interonly,1800,roto_circle_3d_std,53.120912213578976,,,,426.15798004955786,61.70774808765367,85.15911639958045,105.23272423010384,47.11111905927717
roto,ID32,BSDC91,V3-lite,1801,roto_circle_3d_std,56.95420985848698,,,,569.8573308863183,70.09315298960563,71.9748657704105,100.53124317395937,51.3843319131362
roto,ID32,BS2DCE,V3-lite,1800,roto_circle_3d_std,51.74187888477128,,,,497.7645592330357,70.49790352283213,71.6461275967863,100.61141579668312,58.887764892130804
