sigma_strategy,layout,ID,N,X,Y,Z,3D,sig_A,sig_B,sig_C,sig_D,sig_E,sig_F,sig_G,sig_H
uniform_50,V4-interonly,ID16,601,23.16145573142534,16.330174006299764,32.882200156034955,43.409292804379454,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
uniform_30,V3-lite,ID14,600,21.393675907421574,12.813082135866889,35.53446878802038,43.41155277917453,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
uniform_30,MDS+NLS,ID14,600,21.387681720174477,12.810262825178873,35.61005258825839,43.469663080729916,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
uniform_30,V4-interonly,ID14,600,21.46948720543469,12.873242615246399,35.55999142739225,43.48761026558633,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_sweep_mad,V4-interonly,ID15,600,22.357990228516154,13.636944030181787,34.83625236425446,43.58222628924272,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V4-interonly,ID15,600,22.357990228516154,13.636944030181787,34.83625236425446,43.58222628924272,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V4-interonly,ID15,600,22.357990228516154,13.636944030181787,34.83625236425446,43.58222628924272,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_exp_1.25,MDS+NLS,ID15,600,21.647839360426385,13.537481685247611,35.60287591006208,43.81160956208433,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_exp_1.25,V3-lite,ID15,600,21.68224716790372,13.555391779071996,35.62619467908144,43.853098360845756,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
uniform_30,V3-lite,ID16,601,23.225285277257946,15.931556205842602,34.05730619944073,44.19421302515071,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
uniform_30,MDS+NLS,ID16,601,23.289027825082425,15.98199122020491,34.14876338250443,44.31637283165721,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_exp_1.25,V4-interonly,ID15,600,22.860459006077512,13.905518221547572,35.48463726175405,44.442361599903826,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_exp_0.5,V4-interonly,ID14,600,21.777182319205938,13.241764353543976,36.432106261371956,44.462212715952646,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_DH_x0.75,V4-interonly,ID15,600,22.811580276983968,14.008315674367825,35.50728297517765,44.46760896478879,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_exp_0.5,V3-lite,ID14,600,21.90784003165957,13.372507008463266,36.41282478660484,44.549648791928405,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_exp_0.5,MDS+NLS,ID14,600,21.90928608397834,13.380338310610679,36.50540592557491,44.628409469832135,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
uniform_30,V4-interonly,ID16,601,23.631103393483322,16.02481386964621,34.443257884185826,44.73881671241243,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_exp_1.5,MDS+NLS,ID15,600,22.288597327454003,13.873611918805898,36.41349720275782,44.89099527783132,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x1.5,V4-interonly,ID15,600,23.03627597692834,13.739550499548399,36.02903357418469,44.91699588245605,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_exp_1.5,V3-lite,ID15,600,22.326778188046646,13.897754290699272,36.440261764326515,44.93912856337473,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x1.5,MDS+NLS,ID15,600,22.35452333264629,13.487683069885472,36.72291616538242,45.05790585139536,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x1.5,V3-lite,ID15,600,22.38652385379753,13.49777703835822,36.74349263776109,45.09357699778406,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_exp_0.75,V4-interonly,ID14,600,22.046956767992548,13.532153025190356,37.03876874713073,45.178068335535656,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_0.75,V3-lite,ID14,600,22.297829391171767,13.717278249520398,36.98760470609947,45.31489622659684,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_0.75,MDS+NLS,ID14,600,22.31413155249191,13.73649455735168,37.09462410361209,45.416108233250746,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_1.5,V4-interonly,ID15,600,23.485389648072967,14.253496844146042,36.24915004749272,45.48325602211803,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_exp_0.5,V3-lite,ID16,601,24.865851832386106,16.991754773038867,34.543893283255144,45.82914881145174,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_exp_0.5,MDS+NLS,ID16,601,24.951666441007998,17.054977871000773,34.642970492683894,45.973833132779106,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_exp_0.5,V4-interonly,ID16,601,24.88982456402697,16.801466769948707,34.89884922940012,46.040442330478676,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_sweep_mad,V4-interonly,ID14,600,22.414012724654572,13.915093569832072,37.739820683913,46.04684419948958,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V4-interonly,ID14,600,22.414012724654572,13.915093569832072,37.739820683913,46.04684419948958,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V4-interonly,ID14,600,22.414012724654572,13.915093569832072,37.739820683913,46.04684419948958,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x2,V4-interonly,ID15,600,23.694071372813653,13.947281604596727,37.02834091033534,46.1197757252778,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x0.75,V4-interonly,ID14,600,22.871325973818255,13.631854438243582,37.673251903636505,46.13240635628025,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_sweep_mad,V3-lite,ID14,600,22.81424920475317,14.159379504235357,37.6603699752388,46.25236708962482,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V3-lite,ID14,600,22.81424920475317,14.159379504235357,37.6603699752388,46.25236708962482,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V3-lite,ID14,600,22.81424920475317,14.159379504235357,37.6603699752388,46.25236708962482,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x0.75,V3-lite,ID14,600,23.0690783571951,13.818989637422087,37.73654184097442,46.337818690193,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_sweep_mad,MDS+NLS,ID14,600,22.841086479207704,14.183843231568858,37.77370147490517,46.36538755886356,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,MDS+NLS,ID14,600,22.841086479207704,14.183843231568858,37.77370147490517,46.36538755886356,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,MDS+NLS,ID14,600,22.841086479207704,14.183843231568858,37.77370147490517,46.36538755886356,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x0.75,MDS+NLS,ID14,600,23.08123750228504,13.837278603700778,37.87675881975408,46.46356273988407,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_DH_x2,MDS+NLS,ID15,600,23.38698581949193,13.87323542258925,37.97568403007801,46.70728363289845,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x2,V3-lite,ID15,600,23.43208019041499,13.890277749324458,37.99520573099192,46.75080594539326,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x0.5,MDS+NLS,ID15,600,22.659054792701156,14.869911773486946,38.11668819885732,46.76995787360544,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
old_report,V4-interonly,ID16,601,22.890188793939164,15.90028528044878,37.59582444311321,46.79984861705455,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_DH_x0.5,V3-lite,ID15,600,22.70331698700817,14.874420506073463,38.16468173955457,46.8319540472695,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_exp_1.25,V4-interonly,ID14,600,22.943525175350022,14.411513249792296,38.621924223505474,47.177855953265386,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
uniform_50,V3-lite,ID13,601,21.68197137177048,12.582370046796964,40.02316571954833,47.22581616843945,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
today_exp_0.75,V3-lite,ID16,601,26.33250517160318,17.96281455419718,34.853114457563215,47.231378581542465,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
uniform_50,MDS+NLS,ID13,601,21.71971929011471,12.58787430722487,40.076383611903296,47.28971673656234,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
old_report,V3-lite,ID16,601,22.823531463049278,15.88759121315231,38.267325235896564,47.30451694828857,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_exp_0.75,V4-interonly,ID16,601,26.384027435988756,17.823037645644597,35.013391281312096,47.32562882497531,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_1.25,V3-lite,ID14,600,23.481108785241045,14.70375088981626,38.42495119100426,47.37129546513539,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
old_report,MDS+NLS,ID16,601,22.810726121680872,15.87098953870505,38.376484792141945,47.381136754382766,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_exp_0.75,MDS+NLS,ID16,601,26.443563815357738,18.042917912089212,34.96092637659471,47.403326119049524,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_DH_x3,V4-interonly,ID15,600,24.455339118063584,14.202301061356406,38.064665778518545,47.42033053076726,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_exp_1.25,MDS+NLS,ID14,600,23.514486500272998,14.727321539873138,38.556905032229984,47.502210483036826,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_exp_2.0,MDS+NLS,ID15,600,23.951967593771045,14.833459219398186,38.36194139241317,47.595869688677304,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_2.0,V3-lite,ID15,600,24.00753704149402,14.872111490641121,38.39382282633082,47.66159005119792,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
uniform_30,V3-lite,ID13,601,21.906160987816957,12.717650257135245,40.397551837007704,47.682079565709905,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
uniform_30,MDS+NLS,ID13,601,21.963115792446498,12.741727219463964,40.471605400689015,47.777410054927856,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_exp_2.0,V4-interonly,ID15,600,24.92154779643088,15.08557145920273,38.051780593818116,47.9228131183946,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_DH_x4,V4-interonly,ID15,600,24.811424100141156,14.3252491303199,38.50586370803803,47.995010870139375,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
old_report,V4-interonly,ID15,600,26.244580660870295,13.621814833497613,37.88387659129817,48.057465174598335,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_DH_x1.5,V4-interonly,ID14,600,23.52429867115194,15.09654636429916,39.180431452327596,48.129040598058225,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x3,MDS+NLS,ID15,600,24.32081225396383,14.170627663563879,39.1749368263175,48.23882536316454,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x1.5,V3-lite,ID14,600,23.916306623793798,15.301103068600941,39.04017952813134,48.272653699874404,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x3,V3-lite,ID15,600,24.36904183839917,14.188199500467878,39.193376437515724,48.28328863861221,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x1.5,MDS+NLS,ID14,600,23.938695353490207,15.306762684404065,39.1368361980328,48.36372676599198,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x0.75,V3-lite,ID16,601,26.745850549623135,18.379730178022076,35.916312108004846,48.40595498984899,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_exp_0.5,V3-lite,ID13,601,22.20637048073104,12.781649919924712,41.07473240932874,48.4110225785508,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
today_sweep_mad,V4-interonly,ID16,601,27.404348297192584,18.545992883289287,35.35235510669175,48.42252749713188,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V4-interonly,ID16,601,27.404348297192584,18.545992883289287,35.35235510669175,48.42252749713188,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V4-interonly,ID16,601,27.404348297192584,18.545992883289287,35.35235510669175,48.42252749713188,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x6,V4-interonly,ID15,600,25.101162728397934,14.430312491430138,38.85127639115614,48.45331739045166,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
uniform_30,V4-interonly,ID13,601,22.55230574313357,12.987259240535044,40.93072969525233,48.50360842554345,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_sweep_mad,V3-lite,ID16,601,27.495771051860636,18.73322123729695,35.30513156539112,48.51188842450299,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V3-lite,ID16,601,27.495771051860636,18.73322123729695,35.30513156539112,48.51188842450299,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V3-lite,ID16,601,27.495771051860636,18.73322123729695,35.30513156539112,48.51188842450299,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_exp_1.5,V4-interonly,ID14,600,23.66545733819256,15.015792134487713,39.59784452818701,48.51306190842241,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_exp_0.5,MDS+NLS,ID13,601,22.27653684681255,12.808321270443988,41.16955328901237,48.53070477204235,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
uniform_50,V4-interonly,ID13,601,22.571098544934227,12.81964615655904,41.05578189493871,48.57339852336141,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
today_DH_x0.75,MDS+NLS,ID16,601,26.8680646102781,18.476121604001477,36.00898909290912,48.57887669472377,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
old_report,MDS+NLS,ID15,600,26.21897297183912,13.735162623202154,38.56543193449979,48.614625127407656,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
old_report,V3-lite,ID15,600,26.26503532033485,13.735350346878775,38.55123316599519,48.62827889354987,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_exp_1.5,V3-lite,ID14,600,24.277089025241764,15.351874782443069,39.291300059074324,48.67097051844702,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_sweep_mad,MDS+NLS,ID16,601,27.612130031943536,18.818093915829287,35.42043750929575,48.694535390286404,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,MDS+NLS,ID16,601,27.612130031943536,18.818093915829287,35.42043750929575,48.694535390286404,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,MDS+NLS,ID16,601,27.612130031943536,18.818093915829287,35.42043750929575,48.694535390286404,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_exp_1.5,MDS+NLS,ID14,600,24.311322136592256,15.368303362171233,39.42970574422798,48.80498773012128,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x4,MDS+NLS,ID15,600,24.734681643838428,14.303314990071595,39.6791437833312,48.89605042440049,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,V3-lite,ID15,600,24.78406416134136,14.32156878523901,39.697175160972066,48.94101433955691,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_exp_0.75,V3-lite,ID13,601,22.487997931591668,12.912256018771727,41.59853612274718,49.01912498220546,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
old_report,V4-interonly,ID14,600,22.297153747369727,14.482874459238449,41.19840500511545,49.03290010596382,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
center_resid_mad,V3-lite,ID15,600,26.138508683050425,19.777744066502088,36.50055863353855,49.057839099315686,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,MDS+NLS,ID15,600,26.105006673014977,19.74610272582937,36.61456941762599,49.11218423054827,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
today_exp_0.75,MDS+NLS,ID13,601,22.56184297318538,12.94238082946816,41.69588970879211,49.14355703944735,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
old_report,V3-lite,ID14,600,22.209882740486044,14.388886882316802,41.51267377552903,49.230285811192935,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_exp_0.5,V4-interonly,ID13,601,22.81006478587078,13.02220330363694,41.65295481925422,49.24272006694704,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
old_report,MDS+NLS,ID14,600,22.210963158527537,14.371382532233408,41.605422166858496,49.3039012046691,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_DH_x0.75,V4-interonly,ID16,601,27.063492231970955,18.28465444195961,36.958323634606344,49.322194656484285,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_DH_x6,MDS+NLS,ID15,600,25.0657762935476,14.413536440038943,40.07032867037724,49.41330199104852,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x6,V3-lite,ID15,600,25.116109015352148,14.43228111358409,40.08717693250344,49.45797634993172,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_exp_1.25,V4-interonly,ID16,601,28.58101584530841,19.356298892660444,35.799221895065216,49.73052444790719,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_DH_x2,V4-interonly,ID14,600,24.82479155526081,15.99750230788564,40.02984098123763,49.74513569019715,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_sweep_mad,V3-lite,ID13,601,22.84950042351921,13.122044921519553,42.21875073569707,49.76656152688975,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V3-lite,ID13,601,22.84950042351921,13.122044921519553,42.21875073569707,49.76656152688975,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V3-lite,ID13,601,22.84950042351921,13.122044921519553,42.21875073569707,49.76656152688975,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_exp_0.75,V4-interonly,ID13,601,23.03349615779828,13.127637875876301,42.19260664812955,49.83064195066361,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_DH_x2,V3-lite,ID14,600,24.996246192429087,16.065424308303157,40.024282041600884,49.8483032295379,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_sweep_mad,MDS+NLS,ID13,601,22.931140875443308,13.156630138004846,42.32072919435204,49.899681942667385,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,MDS+NLS,ID13,601,22.931140875443308,13.156630138004846,42.32072919435204,49.899681942667385,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
