layout,sigma,ID,d_tag_mm,N,X,Y,Z,3D
MDS+NLS,uniform50,ID16,25,601,23.4584302713639,16.1207731425102,32.504643813872214,43.205661052406334
V4-anchor-delay,uniform30,ID15,15,600,22.807246039688053,13.912842738734753,33.992912704265656,43.234890760905785
MDS+NLS,uniform50,ID15,25,600,23.013397270737944,14.17557510370541,33.745137027837195,43.235375058961964
V3-lite,uniform50,ID15,25,600,23.053507393241386,14.182725068813426,33.73549568775021,43.25156139153819
V4-anchor-delay,uniform50,ID15,5,600,22.56307544492223,13.844798437684629,34.21322210684581,43.258702988482334
V3-lite,uniform50,ID14,60,600,23.503035275992033,13.636126314902647,33.66760331718214,43.26481389285802
V4-anchor-delay,uniform50,ID14,-20,600,21.644985377938433,12.977850891677743,35.176076184138324,43.2930287862849
V4-anchor-delay,uniform50,ID15,-40,600,20.229496696094692,12.571714626302892,36.18777786336547,43.32246313300743
MDS+NLS,uniform50,ID14,60,600,23.52008461536001,13.654811082671747,33.74780567884232,43.342388422352215
V4-anchor-delay,uniform50,ID16,-15,601,22.772548795225738,16.114679777270574,33.19822340061066,43.363509082081485
MDS+NLS,uniform30,ID15,30,600,22.838865150385256,14.531911414321378,33.8786253394533,43.36532561393046
V3-lite,uniform50,ID16,-15,601,22.334208007605422,15.893577143981206,33.618218180500484,43.37749687787899
V4-anchor-delay,uniform50,ID16,-10,601,22.869873862841875,16.198688413411475,33.10873427271156,43.377608532030834
V4-anchor-delay,uniform50,ID16,-5,601,22.993216180055175,16.274100266361824,32.98718731757477,43.37843769555463
V3-lite,uniform30,ID15,30,600,22.850211324480302,14.538864676026158,33.9103593001751,43.398424067103875
V4-anchor-delay,uniform50,ID16,-20,601,22.72607496561084,16.033688288859256,33.31505211631236,43.39869054475578
V4-anchor-delay,uniform50,ID16,0,601,23.16145573142534,16.330174006299764,32.882200156034955,43.409292804379454
V3-lite,uniform30,ID14,0,600,21.393675907421574,12.813082135866889,35.53446878802038,43.41155277917453
MDS+NLS,uniform30,ID14,0,600,21.387681720174477,12.810262825178873,35.61005258825839,43.469663080729916
MDS+NLS,uniform50,ID16,-15,601,22.329223383484056,15.907921247815302,33.73383719440678,43.469851014179554
V4-anchor-delay,uniform30,ID14,5,600,21.480747668790556,12.88588692786342,35.52784360953724,43.470636915873094
V3-lite,uniform50,ID15,-35,600,19.947336519005336,12.509004227385798,36.548013255942756,43.47561033406854
V4-anchor-delay,uniform30,ID14,0,600,21.46948720543469,12.873242615246399,35.55999142739225,43.48761026558633
MDS+NLS,uniform50,ID15,-35,600,19.938935993251047,12.513611397058293,36.57533111963954,43.49605137539294
V4-anchor-delay,uniform50,ID16,5,601,23.3801812208987,16.36274047933255,32.841483912436765,43.50787532719674
V4-anchor-delay,uniform50,ID16,-25,601,22.772463874241613,15.951791315430528,33.48118129008716,43.52050387638413
V4-anchor-delay,uniform50,ID15,10,600,23.028347373998603,14.068565848020219,34.15409758919804,43.52851605476682
MDS+NLS,uniform50,ID15,30,600,23.51094314218987,14.422361179394557,33.70362761759734,43.55115915805069
V4-anchor-delay,uniform30,ID14,10,600,21.614808671188236,12.92317745804631,35.5363312388127,43.555014721830204
V3-lite,uniform50,ID15,30,600,23.551304193582006,14.42979369841146,33.6910663225913,43.565706987843015
V3-lite,uniform50,ID16,-20,601,22.488535913076973,15.8353129317217,33.81185659086575,43.58592696364937
V4-anchor-delay,uniform30,ID14,-5,600,21.51805803992121,12.861457517048054,35.70061217228332,43.62313171641892
V4-anchor-delay,uniform50,ID14,45,600,23.550098486186556,13.55488655575345,34.146292587075685,43.638416397603294
V3-lite,uniform50,ID14,-15,600,21.878132000969096,13.085351106025945,35.46027280400549,43.672760626668584
V3-lite,uniform50,ID16,30,601,23.952770285680792,16.30596980774737,32.68088393903405,43.6767676318472
MDS+NLS,uniform50,ID16,-20,601,22.49294840448627,15.854537483080339,33.939413570418765,43.694197329087146
V4-anchor-delay,uniform50,ID16,-30,601,22.888852756580185,15.872048877570522,33.68461346257308,43.70897734112931
V4-anchor-delay,uniform50,ID16,10,601,23.676581287259662,16.39883934413484,32.885613832705666,43.71459745257643
V3-lite,uniform30,ID14,35,600,22.3104585388941,13.003775879373107,35.27917196610638,43.72041539087643
V4-anchor-delay,uniform30,ID14,15,600,21.901510234362345,12.969929545820772,35.54795238235858,43.72130077602754
MDS+NLS,uniform50,ID16,30,601,23.95809574818115,16.319495055692762,32.73781548677327,43.72734651905839
MDS+NLS,uniform50,ID14,-15,600,21.88961126433359,13.066540171242206,35.530576157112925,43.729982796780604
V4-anchor-delay,uniform30,ID15,20,600,23.314290894457965,14.112414101510318,34.217802552470665,43.74442139523371
V4-anchor-delay,uniform50,ID15,-45,600,20.30723877404423,12.561704517452752,36.65956242094113,43.75047295635463
V4-anchor-delay,uniform30,ID14,-10,600,21.653772886311245,12.863964129540213,35.82807579205518,43.795187729924116
V3-lite,uniform50,ID16,-25,601,22.66275615568232,15.766085952467849,34.00599539798076,43.801571956266706
V4-anchor-delay,uniform50,ID15,15,600,23.51676849426627,14.306623075289323,34.12146884252165,43.84053489868128
MDS+NLS,uniform30,ID14,35,600,22.350995158857064,13.033182143680293,35.400775825664795,43.84798456532035
V3-lite,uniform30,ID14,-5,600,21.678636123368516,12.845747397951538,35.8926879045605,43.85500581912606
V4-anchor-delay,uniform50,ID14,-25,600,22.119389716639866,13.142555755961133,35.542711668372924,43.87799592023585
MDS+NLS,uniform50,ID15,35,600,24.030210727143608,14.682044329786255,33.66012626019322,43.88641649924138
V3-lite,uniform50,ID15,35,600,24.071258161591373,14.690295922913336,33.647417025362856,43.9019240610639
MDS+NLS,uniform50,ID16,-25,601,22.676715327601205,15.78469654463023,34.13585137489902,43.91635699991883
V4-anchor-delay,uniform50,ID16,-35,601,23.041361489692132,15.786639417437643,33.89720009840559,43.922004711832216
MDS+NLS,uniform30,ID14,-5,600,21.674680558417034,12.84387911764643,35.991144701372114,43.93312537269846
V4-anchor-delay,uniform30,ID14,20,600,22.214170986564714,13.004043573957146,35.615920242233805,43.94392240793793
V4-anchor-delay,uniform30,ID15,-40,600,20.457575048846177,12.589208519258866,36.8619882026755,43.997803607393195
V4-anchor-delay,uniform30,ID14,-15,600,21.895357455075835,12.903101336943337,35.91562137589529,43.99805178656938
V3-lite,uniform50,ID15,-40,600,20.120131486631866,12.532502393010029,37.089437582991636,44.01715219653345
V3-lite,uniform30,ID16,-5,601,22.982967338617378,15.840320697900946,34.06228905371473,44.03830245455786
MDS+NLS,uniform50,ID15,-40,600,20.112794126877237,12.53688024983551,37.127443202911564,44.04707587087124
V4-anchor-delay,uniform50,ID16,15,601,24.04539993852625,16.453707116195414,33.04448924398493,44.05501112773725
MDS+NLS,uniform30,ID15,35,600,23.471718753563653,14.977696086241355,34.172510759682524,44.07962627925535
V3-lite,uniform30,ID16,-10,601,22.82286380362492,15.791671640961077,34.24638768938893,44.080325261806735
V3-lite,uniform50,ID16,-30,601,22.875993554595283,15.70335253822175,34.25908006900844,44.08617616922896
MDS+NLS,uniform30,ID15,-40,600,20.190237197524095,12.688095548271065,37.08400702057929,44.08919395313001
V4-anchor-delay,uniform30,ID16,-20,601,22.641664462443234,15.820303312986116,34.37578545873156,44.097863808233214
V4-anchor-delay,uniform30,ID16,-15,601,22.79107688281196,15.821033128091097,34.28176946548141,44.101904634639254
V3-lite,uniform30,ID15,35,600,23.457356410358184,14.98460991160672,34.21879450066402,44.110225583692824
V3-lite,uniform30,ID15,-40,600,20.23451769536071,12.70396406217989,37.095960475469866,44.1241055756901
MDS+NLS,uniform30,ID16,-5,601,23.03994716995787,15.885924276784229,34.137004505052694,44.142234110884786
MDS+NLS,uniform30,ID16,-10,601,22.87174734329425,15.834480220837966,34.321565628921455,44.17937819412988
V4-anchor-delay,uniform30,ID16,-25,601,22.567365487258833,15.838100560107488,34.52705220238022,44.18425905425468
MDS+NLS,uniform50,ID16,-30,601,22.900542337132745,15.72431961716207,34.36169431067384,44.186141522627565
V4-anchor-delay,uniform50,ID16,-40,601,23.226867161831876,15.705007073492094,34.15182270907939,44.18689398095562
V4-anchor-delay,uniform50,ID15,20,600,24.01541634293273,14.551850460405651,34.11971953521166,44.18882025023878
V3-lite,uniform30,ID16,0,601,23.225285277257946,15.931556205842602,34.05730619944073,44.19421302515071
V4-anchor-delay,uniform30,ID16,-10,601,23.00849521116984,15.837066166959069,34.28548591185361,44.22327510339977
MDS+NLS,uniform50,ID15,40,600,24.558170768710994,14.96206528476531,33.609633065491884,44.2331841934057
V3-lite,uniform50,ID15,40,600,24.59600782477399,14.970573641899334,33.59432567273557,44.2454561903219
V4-anchor-delay,uniform50,ID15,-50,600,20.47801068370422,12.59654204728158,37.15478359363655,44.2549402553071
V3-lite,uniform30,ID16,-15,601,22.765935645209474,15.810234876178612,34.51365265522585,44.265602585386006
V4-anchor-delay,uniform50,ID14,50,600,24.119685431021843,13.735132489839343,34.5194475936687,44.294529594261725
V4-anchor-delay,uniform30,ID15,25,600,23.841700134872404,14.28691445038736,34.4910338893078,44.2964333619225
V4-anchor-delay,uniform30,ID14,-20,600,22.213725525270632,13.012175833857002,36.0496199490229,44.298322994355686
MDS+NLS,uniform30,ID16,0,601,23.289027825082425,15.98199122020491,34.14876338250443,44.31637283165721
V4-anchor-delay,uniform30,ID14,25,600,22.57230860392634,13.054030462347823,35.834362901787124,44.31724711215453
V3-lite,uniform30,ID14,-10,600,22.031198207220584,12.911189348892325,36.24451256998461,44.33663492287797
V3-lite,uniform50,ID14,65,600,24.232986129185015,13.883981425727375,34.464119304827705,44.35964468325478
MDS+NLS,uniform30,ID16,-15,601,22.80977236802471,15.85470462621734,34.59365264240924,44.36640820947047
V4-anchor-delay,uniform30,ID16,-30,601,22.57115265292044,15.838450737014668,34.77665984550648,44.38163498385724
V3-lite,uniform50,ID16,35,601,24.545130298523397,16.58695813949634,33.07354222076188,44.401011212825026
MDS+NLS,uniform30,ID14,-10,600,22.026840283637615,12.907149272003043,36.34840633710548,44.41827144833508
V4-anchor-delay,uniform30,ID16,-5,601,23.285722404939538,15.879894326297574,34.33595745145058,44.42244799470315
V4-anchor-delay,uniform50,ID16,20,601,24.448340117870366,16.52206374993945,33.23686473479405,44.4453496158499
V3-lite,uniform50,ID16,-35,601,23.13562710025873,15.629000307598067,34.59260449772872,44.45414691424646
MDS+NLS,uniform50,ID14,65,600,24.255588631331086,13.911686596280633,34.56445944055079,44.458637633456256
MDS+NLS,uniform50,ID16,35,601,24.565247320449163,16.610278016361576,33.14781740105265,44.47617913163391
V4-anchor-delay,uniform50,ID16,-45,601,23.439075043773567,15.638683549777433,34.445079550957594,44.501934422556566
V3-lite,uniform30,ID16,-20,601,22.824081585724013,15.865264692972854,34.7736613064196,44.51800584778546
V4-anchor-delay,uniform50,ID15,25,600,24.515513493495412,14.801839522065269,34.138415131734575,44.55935640012514
MDS+NLS,uniform50,ID16,-35,601,23.170036650719258,15.657967488554608,34.69849935371772,44.56465417422484
V3-lite,uniform50,ID14,-20,600,22.419532834996684,13.2948005574321,36.15936228211886,44.5745067841576
V4-anchor-delay,uniform50,ID14,-30,600,22.682414621793672,13.36829699629491,35.99265351231084,44.59455577212726
MDS+NLS,uniform50,ID15,45,600,25.07824810297331,15.252269071823317,33.591303964117934,44.60858596462511
V3-lite,uniform50,ID15,45,600,25.112896013766232,15.259458979506249,33.5662928052576,44.61170975465699
V3-lite,uniform30,ID16,5,601,23.601401149725746,16.09941448440397,34.2761143538334,44.62139955411502
MDS+NLS,uniform30,ID16,-20,601,22.85999731055062,15.912963012900983,34.874798408615405,44.63242580153918
MDS+NLS,uniform50,ID14,-20,600,22.43124225418437,13.276803072096184,36.238459674468416,44.63922141412418
V3-lite,uniform50,ID15,-45,600,20.395644111952986,12.590065695920183,37.66975665763618,44.64865753429272
V4-anchor-delay,uniform30,ID14,-25,600,22.60550998882266,13.16417627403005,36.190657329359595,44.654991845924975
MDS+NLS,uniform50,ID15,-45,600,20.387483164067884,12.595934956684797,37.71745140891434,44.68683461582393
V4-anchor-delay,uniform30,ID16,-35,601,22.65551072786373,15.847640261263164,35.11733600523277,44.695046216501176
V4-anchor-delay,uniform30,ID16,0,601,23.631103393483322,16.02481386964621,34.443257884185826,44.73881671241243
MDS+NLS,uniform30,ID16,5,601,23.677336705357344,16.15647876051114,34.37219711803669,44.75596065463101
V3-lite,uniform30,ID14,40,600,22.90456158623543,13.174079830365097,36.169510457009515,44.79295488728339
V4-anchor-delay,uniform30,ID14,30,600,23.021724097646167,13.094052289810092,36.14664620845091,44.81109257667505
V3-lite,uniform30,ID14,-15,600,22.423276822262945,13.004991364317714,36.56768030353164,44.82330182633926
V4-anchor-delay,uniform50,ID16,25,601,24.857160678569073,16.67163039858918,33.401268667762324,44.84937508776911
V3-lite,uniform30,ID16,-25,601,23.00113554417072,15.923428513670036,35.063510403779176,44.85596475149324
V4-anchor-delay,uniform50,ID16,-50,601,23.69138506344606,15.567747845181312,34.763529159474494,44.856877497405634
V3-lite,uniform50,ID16,-40,601,23.452349927847692,15.546432086382142,34.93580148498863,44.857713864543335
MDS+NLS,uniform30,ID14,-15,600,22.424955498025533,13.003629667430287,36.686805911615195,44.9209833108384
V4-anchor-delay,uniform50,ID15,30,600,25.000486292271436,15.052888110808803,34.15448820225694,44.923744497589354
V4-anchor-delay,uniform50,ID15,-55,600,20.788965780562474,12.668637816125997,37.79000848771553,44.95286669216088
MDS+NLS,uniform30,ID14,40,600,22.96172855626955,13.217153188632508,36.32439902194403,44.959938623278745
MDS+NLS,uniform30,ID16,-25,601,23.04347031066245,15.968320974863385,35.16815929649855,44.97541803050352
