sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
59276,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,timeout,ok,ok","96,90,100,100"
59277,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","96,90,100,100"
59278,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59279,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59280,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,94,100,100"
59281,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59282,,BS2DCE,,cal_roto,5,97,"A,C,G,E","timeout,ok,ok,ok","95,95,100,100"
59283,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","95,95,100,100"
59284,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,timeout,ok,ok","95,91,100,100"
59285,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","95,91,100,100"
59286,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","92,96,100,100"
59287,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","92,96,100,100"
59288,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,92,100,100"
59289,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,92,100,100"
59290,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","96,93,100,100"
59291,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","96,93,100,100"
59292,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,93,100,100"
59293,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,93,100,100"
59294,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59295,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59296,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,94,100,100"
59297,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59298,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,95,100,100"
59299,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,95,100,100"
59300,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59301,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59302,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,timeout","96,100,100,96"
59303,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","96,100,100,96"
59304,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,96,100,96"
59305,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,96,100,96"
59306,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,96,96,100"
59307,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,96,96,100"
59308,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,timeout,ok","100,96,96,96"
59309,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,96,96,96"
59310,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59311,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59312,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,timeout,ok,ok","100,94,96,100"
59313,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,95,96,100"
59314,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59315,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59316,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59317,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59318,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,timeout,ok,ok","96,96,100,100"
59319,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","96,96,100,100"
59320,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","96,96,100,100"
59321,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","96,96,100,100"
59322,,BS2DCE,,cal_roto,5,97,"A,C,G,E","timeout,ok,ok,ok","93,96,100,100"
59323,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","93,96,100,100"
59324,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","93,96,100,100"
59325,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","93,96,100,100"
