model,sigma_offset,outer_fold,anchor,dx,dy,dz,magnitude_mm
B,,2,F,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,G,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,H,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
C,,2,A,-5.1229829127039865,-50.17002833474225,-30.01199799658914,58.68557506559826
C,,2,B,-5.1229829127039865,-50.17002833474225,-30.01199799658914,58.68557506559826
C,,2,C,-5.1229829127039865,-50.17002833474225,-30.01199799658914,58.68557506559826
C,,2,D,-5.1229829127039865,-50.17002833474225,-30.01199799658914,58.68557506559826
C,,2,E,-35.56350226110611,100.82251053012486,16.42041119909151,108.16455624011078
C,,2,F,-35.56350226110611,100.82251053012486,16.42041119909151,108.16455624011078
C,,2,G,-35.56350226110611,100.82251053012486,16.42041119909151,108.16455624011078
C,,2,H,-35.56350226110611,100.82251053012486,16.42041119909151,108.16455624011078
D,,2,A,0.0,-85.33729901751734,0.0,85.33729901751734
D,,2,B,0.0,-31.817679505071872,0.0,31.817679505071872
D,,2,C,0.0,6.395044771446347,0.0,6.395044771446347
D,,2,D,0.0,-100.91965154674615,0.0,100.91965154674615
D,,2,E,0.0,181.70837529673898,0.0,181.70837529673898
D,,2,F,0.0,143.6345835630473,0.0,143.6345835630473
D,,2,G,0.0,115.60341224005485,0.0,115.60341224005485
D,,2,H,0.0,-4.895742322510529,0.0,4.895742322510529
E,2.0,2,A,26.350637837004143,-60.33906878120948,31.017297938202212,72.78208644431461
E,2.0,2,B,61.31995811489285,-29.88960466226743,-17.69912890833355,70.47542049674242
E,2.0,2,C,-91.05428869391692,-55.793516932239434,-62.32590449787359,123.64593965311322
E,2.0,2,D,-5.069185482080553,-46.86059504059012,25.38948152736353,53.537256011475314
E,2.0,2,E,-8.985137259747463,77.0494048066618,8.480061675149232,78.03367810536471
E,2.0,2,F,5.056270854794381,45.16729042726667,5.03437395938638,45.72739792138895
E,2.0,2,G,-20.9902857629581,39.49389683834738,2.2951298511347606,44.78423388785652
E,2.0,2,H,-63.58041263511509,12.486230265239247,26.65586446217541,70.06361343317903
E,5.0,2,A,75.18890882812086,-45.49880209937536,87.21248287469972,123.81247987344162
E,5.0,2,B,135.82599861714567,-17.854621372241407,-53.18361203717814,146.95572800681177
E,5.0,2,C,-151.24893979097766,-49.81791701188052,-113.35247230828675,195.46572492817842
E,5.0,2,D,-56.845325027956996,-32.80245585741206,76.73996892046753,100.97729902173984
E,5.0,2,E,36.72950428559347,68.84504392034057,65.34775063972052,101.77929588639404
E,5.0,2,F,55.776054165859215,27.501809137035103,-43.932892743912646,76.14076955856764
E,5.0,2,G,-76.67381276308717,22.84629880262755,-43.46449433756895,91.04937781571302
E,5.0,2,H,-118.69857987958197,-9.29090362907658,71.532232042199,138.8975664891696
E,10.0,2,A,138.63886429054392,-11.433347074846324,161.3917751678117,213.06985053949614
E,10.0,2,B,213.33421863845314,11.849718947787931,-116.089778651996,243.16402157533568
E,10.0,2,C,-217.41193075752457,-20.300106373221947,-185.6598822180279,286.61757416406056
E,10.0,2,D,-130.42845623339844,-3.2738853668826935,140.39813270811055,191.66099287217327
E,10.0,2,E,99.40360968211792,33.569865864880576,135.29988223406153,171.2135264649725
E,10.0,2,F,121.09737044405446,-8.073775918468977,-111.33889291484493,164.70005483165303
E,10.0,2,G,-141.31435633421717,-11.704983879039366,-111.63824600743433,180.47119417064624
E,10.0,2,H,-182.36156859432788,-46.673351027919125,140.55688111611263,234.92632935762677
E,20.0,2,A,174.82182976037174,8.54672215564861,203.0289040438729,268.0605425974259
E,20.0,2,B,255.3449690401238,28.83506146809203,-153.06555721865516,299.10128517047167
E,20.0,2,C,-254.28284745030456,-2.4881090481472494,-226.4462087230358,340.5052754937976
E,20.0,2,D,-172.31765955855587,13.701466203605007,175.86343157822503,246.59491588095634
E,20.0,2,E,134.97363964422678,12.511811100705119,174.1953245965901,220.72254059597245
E,20.0,2,F,158.07821818454974,-28.594714425633196,-149.21268613928623,219.2505563559344
E,20.0,2,G,-177.2081479988051,-31.484861109299462,-150.36460959648014,234.52833520779566
E,20.0,2,H,-218.0189802816483,-68.52702517225518,179.55992296852116,290.63722211456314
E,40.0,2,A,186.2174079961957,14.83762061255727,216.01067107751615,285.58306680477864
E,40.0,2,B,268.38772529232784,34.09260136631651,-164.72542224464263,316.74712514747216
E,40.0,2,C,-265.86653100926844,3.142976169339793,-239.12882466806414,357.5996160473793
E,40.0,2,D,-185.45187156229994,19.00174916293241,186.89464453298717,263.9755126755556
E,40.0,2,E,146.13476572308818,5.909498183200426,186.29156823116054,236.84349329408283
E,40.0,2,F,169.67659650550368,-35.01016247127526,-161.0115840231709,236.51762950699302
E,40.0,2,G,-188.41173992412394,-37.63299170572852,-162.45609372150264,251.60923709834023
E,40.0,2,H,-229.1996815252551,-75.4415320482592,191.6880895047876,308.1691782561364
F,,2,A,0.0,0.0,0.0,0.0
F,,2,B,0.0,0.0,0.0,0.0
F,,2,C,0.0,0.0,0.0,0.0
F,,2,D,0.0,0.0,0.0,0.0
F,,2,E,0.0,0.0,0.0,0.0
F,,2,F,0.0,0.0,0.0,0.0
F,,2,G,0.0,0.0,0.0,0.0
F,,2,H,0.0,0.0,0.0,0.0
G,,2,A,0.0,0.0,0.0,0.0
G,,2,B,0.0,0.0,0.0,0.0
G,,2,C,0.0,0.0,0.0,0.0
G,,2,D,0.0,0.0,0.0,0.0
G,,2,E,0.0,0.0,0.0,0.0
G,,2,F,0.0,0.0,0.0,0.0
G,,2,G,0.0,0.0,0.0,0.0
G,,2,H,0.0,0.0,0.0,0.0
A,,3,A,0.0,0.0,0.0,0.0
A,,3,B,0.0,0.0,0.0,0.0
A,,3,C,0.0,0.0,0.0,0.0
A,,3,D,0.0,0.0,0.0,0.0
A,,3,E,0.0,0.0,0.0,0.0
A,,3,F,0.0,0.0,0.0,0.0
A,,3,G,0.0,0.0,0.0,0.0
A,,3,H,0.0,0.0,0.0,0.0
B,,3,A,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,B,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,C,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,D,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,E,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,F,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,G,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
B,,3,H,-22.854563265666204,19.050545229088936,-4.449379457814944,30.084070754296665
C,,3,A,-11.754803019521253,-45.89634284785655,-39.99004414484527,61.99881701728197
C,,3,B,-11.754803019521253,-45.89634284785655,-39.99004414484527,61.99881701728197
C,,3,C,-11.754803019521253,-45.89634284785655,-39.99004414484527,61.99881701728197
C,,3,D,-11.754803019521253,-45.89634284785655,-39.99004414484527,61.99881701728197
C,,3,E,-33.02433447287849,109.05455869541547,19.879156551443664,115.66626260420614
C,,3,F,-33.02433447287849,109.05455869541547,19.879156551443664,115.66626260420614
C,,3,G,-33.02433447287849,109.05455869541547,19.879156551443664,115.66626260420614
C,,3,H,-33.02433447287849,109.05455869541547,19.879156551443664,115.66626260420614
D,,3,A,0.0,-95.00597903876948,0.0,95.00597903876948
D,,3,B,0.0,-29.42049317785061,0.0,29.42049317785061
D,,3,C,0.0,44.38391336798375,0.0,44.38391336798375
D,,3,D,0.0,-121.55931201120562,0.0,121.55931201120562
D,,3,E,0.0,160.79127045393525,0.0,160.79127045393525
D,,3,F,0.0,167.2790409618593,0.0,167.2790409618593
D,,3,G,0.0,135.89085810824844,0.0,135.89085810824844
D,,3,H,0.0,14.883147018438029,0.0,14.883147018438029
E,2.0,3,A,30.066569003435234,-73.26581087988414,25.710324699478488,83.26402831762283
E,2.0,3,B,9.470155395048504,-36.8511974996083,-66.43105298538872,76.55572742198343
E,2.0,3,C,-60.49186013944599,-19.069590983270427,-79.15855662349179,101.43466631341614
E,2.0,3,D,-44.07811113280897,-79.62516944869029,-7.9114134903096645,91.35446324172428
E,2.0,3,E,-23.888514428472284,55.982727095443416,19.057763290432874,63.780288461846844
E,2.0,3,F,-56.319281367038826,30.010414038927664,-26.5919128295926,69.13476862204867
E,2.0,3,G,-2.2132477649492635,42.0017203759647,-1.8855959748880804,42.10223809241375
E,2.0,3,H,-63.07308606392727,23.554906397206366,14.525976209357953,68.87707736136576
E,5.0,3,A,72.10915041559211,-69.22764546536533,60.00609319877764,116.58871168049329
E,5.0,3,B,28.066207125582753,-32.74002506870158,-120.73309931322461,128.203363815823
E,5.0,3,C,-92.22658284048998,-12.527911589295684,-120.89496823553374,152.57222714469918
E,5.0,3,D,-104.89784521573489,-82.86073619414064,9.506705901779792,134.01431636449212
E,5.0,3,E,-3.887971492478433,58.43016271416672,67.746641481597,89.54779544559634
E,5.0,3,F,-50.59243317793007,19.792088095249856,-84.64252215541758,100.57672495594498
E,5.0,3,G,-35.98824176349405,35.39320645792806,-36.826053221380974,62.481923821735855
E,5.0,3,H,-103.28563375447443,14.687420978767161,44.14317652138723,113.27957674916212
E,10.0,3,A,115.82114128061889,-45.99384264869024,109.2573764817006,165.73214728833275
E,10.0,3,B,74.69739798136939,-13.344597802448009,-167.7429179056543,184.10721350126198
E,10.0,3,C,-134.21647523020022,7.504238249512903,-172.9093990045909,219.01606351830276
E,10.0,3,D,-156.32440936190466,-63.072849244622205,52.31290960935673,176.49970477590014
E,10.0,3,E,37.10282178041404,38.144868266944854,117.73256058751812,129.1998691240257
E,10.0,3,F,-10.455376346339724,-2.1130008436702985,-134.59088552860746,135.01291099181466
E,10.0,3,G,-79.3835176994392,13.191171136873326,-84.55447113835646,116.72706827375822
E,10.0,3,H,-144.08557670798044,-6.74609097943991,94.624771958357,172.51090002357898
E,20.0,3,A,143.44444330992894,-29.405384937666806,142.00263687005216,203.9748363349648
E,20.0,3,B,107.69944222198784,0.1779524198766396,-196.07830247031075,223.70941469153618
E,20.0,3,C,-162.14472414900962,21.187049262698654,-206.60391210200686,263.48620290571614
E,20.0,3,D,-187.3206494887256,-48.250446629341745,82.22596362769814,210.18620416029327
E,20.0,3,E,65.33582780398841,23.178587830183375,149.16634449694422,164.48895300054346
E,20.0,3,F,19.25689796540068,-16.879164385258058,-164.42915649514194,166.41118296346042
E,20.0,3,G,-107.70931072637951,-2.0551983465821735,-115.99739326817252,158.30639501424648
E,20.0,3,H,-169.9418965314372,-21.338156997333297,128.57477891543422,214.16591445395167
E,40.0,3,A,152.8608619998405,-23.645530382093867,153.21416164388438,217.71571731646554
E,40.0,3,B,119.15498855119048,4.820844682063903,-205.61361112993558,237.69330853428602
E,40.0,3,C,-171.74256198675099,25.86489907636769,-218.09145275819952,278.7981032363486
E,40.0,3,D,-197.75979085678568,-43.073055048422304,92.55857217773026,222.55631250203652
E,40.0,3,E,75.10255940625083,17.981209448274758,159.812258495306,177.49274995887203
E,40.0,3,F,29.638740049534317,-21.93116640421564,-174.43758567522585,178.29162141776328
E,40.0,3,G,-117.39273171196271,-7.269992179094122,-126.75566015067943,172.91877753822888
E,40.0,3,H,-178.7381592912468,-26.348253505272055,140.22640024530094,228.70287137540825
F,,3,A,0.0,0.0,0.0,0.0
F,,3,B,0.0,0.0,0.0,0.0
F,,3,C,0.0,0.0,0.0,0.0
F,,3,D,0.0,0.0,0.0,0.0
F,,3,E,0.0,0.0,0.0,0.0
F,,3,F,0.0,0.0,0.0,0.0
F,,3,G,0.0,0.0,0.0,0.0
F,,3,H,0.0,0.0,0.0,0.0
G,,3,A,0.0,0.0,0.0,0.0
G,,3,B,0.0,0.0,0.0,0.0
G,,3,C,0.0,0.0,0.0,0.0
G,,3,D,0.0,0.0,0.0,0.0
G,,3,E,0.0,0.0,0.0,0.0
G,,3,F,0.0,0.0,0.0,0.0
G,,3,G,0.0,0.0,0.0,0.0
G,,3,H,0.0,0.0,0.0,0.0
A,,4,A,0.0,0.0,0.0,0.0
A,,4,B,0.0,0.0,0.0,0.0
A,,4,C,0.0,0.0,0.0,0.0
A,,4,D,0.0,0.0,0.0,0.0
A,,4,E,0.0,0.0,0.0,0.0
A,,4,F,0.0,0.0,0.0,0.0
A,,4,G,0.0,0.0,0.0,0.0
A,,4,H,0.0,0.0,0.0,0.0
B,,4,A,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,B,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,C,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,D,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,E,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,F,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,G,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
B,,4,H,-21.949510909053213,13.840418796333905,-0.8738094336174683,25.96346980915374
C,,4,A,-7.1227032981864635,-33.60359812794286,-28.799853298159036,44.825955198007364
C,,4,B,-7.1227032981864635,-33.60359812794286,-28.799853298159036,44.825955198007364
C,,4,C,-7.1227032981864635,-33.60359812794286,-28.799853298159036,44.825955198007364
C,,4,D,-7.1227032981864635,-33.60359812794286,-28.799853298159036,44.825955198007364
C,,4,E,-34.790853210777655,74.91098906172871,18.358660704988413,84.61146596189668
C,,4,F,-34.790853210777655,74.91098906172871,18.358660704988413,84.61146596189668
C,,4,G,-34.790853210777655,74.91098906172871,18.358660704988413,84.61146596189668
C,,4,H,-34.790853210777655,74.91098906172871,18.358660704988413,84.61146596189668
D,,4,A,0.0,-62.16928994808349,0.0,62.16928994808349
D,,4,B,0.0,-42.77537205147036,0.0,42.77537205147036
D,,4,C,0.0,60.37812309213265,0.0,60.37812309213265
D,,4,D,0.0,-122.40244970545986,0.0,122.40244970545986
D,,4,E,0.0,151.61027795663557,0.0,151.61027795663557
D,,4,F,0.0,140.96159034381878,0.0,140.96159034381878
D,,4,G,0.0,89.26641885113126,0.0,89.26641885113126
D,,4,H,0.0,-21.831090146042296,0.0,21.831090146042296
E,2.0,4,A,14.42991581884531,-52.835831431293016,40.569132342397836,68.15938712011695
E,2.0,4,B,48.98721819093956,-41.49094081142084,-15.587894065059121,66.06230511333261
E,2.0,4,C,-65.54657574067181,8.046433119125933,-56.18828528552229,86.70768178538412
E,2.0,4,D,-19.960306108210535,-89.72145810410582,18.37380458769592,93.73340151347928
E,2.0,4,E,4.70808316327132,49.52789935484907,-7.795830147064609,50.35825482736886
E,2.0,4,F,-17.821161202378825,33.16151776734175,2.158337424026361,37.708599386225515
E,2.0,4,G,14.393695895652,10.117775041241247,-14.25709853721708,22.645368445260303
E,2.0,4,H,-60.52352031552716,10.968731086043004,23.60318084199044,65.88262076512788
E,5.0,4,A,53.28237747971471,-39.80597294993511,94.13268450561485,115.25835989035848
E,5.0,4,B,122.86315506999054,-37.00965607349128,-42.97093357159449,135.32025217403728
E,5.0,4,C,-115.38734258444494,25.993772810286334,-100.15796707643231,154.988817088513
E,5.0,4,D,-69.28969290442808,-82.67011533886699,63.230454915433896,125.03399514429762
E,5.0,4,E,56.47618313802696,42.34855700569882,33.692127634595984,78.2184058061195
E,5.0,4,F,19.715068694970284,17.79224152476962,-47.14664230678204,54.11149298371635
E,5.0,4,G,-17.998931094353022,-5.34109729721421,-68.1577745863342,70.69633001393439
E,5.0,4,H,-113.357545766068,-2.8785190262539735,61.52726818205359,129.01094443432717
E,10.0,4,A,113.79477704985743,-7.565163153798625,163.74707265269564,199.54845722204303
E,10.0,4,B,198.82849607210076,-11.238844734371733,-100.80357256496107,223.2049343610398
E,10.0,4,C,-163.08464515479406,56.99113301661195,-177.90535999883312,247.9816683629995
E,10.0,4,D,-139.86194195937657,-51.20960157293232,119.7286232234373,191.09874233203706
E,10.0,4,E,117.35663076943493,8.791645831355298,98.70646282873426,153.59960164706732
E,10.0,4,F,81.34724175834123,-14.525375187440181,-111.23521204242238,138.56995584955848
E,10.0,4,G,-75.91697852929455,-31.836379729004666,-137.7876954881733,160.50667192116447
E,10.0,4,H,-174.0680865092513,-34.60577166102094,127.77151901306407,218.68429126060403
E,20.0,4,A,151.31400509266066,12.491042736313265,205.24882304125344,255.3018481046346
E,20.0,4,B,241.74574532054595,5.368422918833678,-137.95471293636535,278.3906035888724
E,20.0,4,C,-189.91548548644437,75.95477784256597,-226.24734279683625,304.99980332337026
E,20.0,4,D,-182.71802876883513,-30.969319324583953,153.25262292002805,240.48148204896196
E,20.0,4,E,153.09712892982444,-12.595277822406073,138.49768959859185,206.83080508987723
E,20.0,4,F,119.2459430539312,-34.55660387414192,-149.36913826117407,194.22897124533586
E,20.0,4,G,-112.04686056743786,-47.79523900193165,-179.0327912197678,216.54473941015422
E,20.0,4,H,-209.69516780458892,-55.08681135090092,168.57252205506862,274.6330558716686
E,40.0,4,A,163.42590948577364,18.904105353307774,218.43910589684754,273.46121493819817
E,40.0,4,B,255.26613445044006,10.67962492275632,-149.96691221443348,296.25146167553754
E,40.0,4,C,-198.44678689204522,82.00502171688166,-241.69914573692026,323.3023783774565
E,40.0,4,D,-196.4283567425866,-24.45618805051289,163.90713153092713,256.9975724267674
E,40.0,4,E,164.46931658057724,-19.410883344142064,151.2149766205358,224.26080273429687
E,40.0,4,F,131.38182530278482,-40.96474790559364,-161.49263089994076,212.17720053258503
E,40.0,4,G,-123.68258902656704,-52.8440787363244,-192.1083353625623,234.51117670929938
E,40.0,4,H,-221.00237588097755,-61.769868288540394,181.6279283281805,292.6538418032594
F,,4,A,0.0,0.0,0.0,0.0
F,,4,B,0.0,0.0,0.0,0.0
F,,4,C,0.0,0.0,0.0,0.0
F,,4,D,0.0,0.0,0.0,0.0
F,,4,E,0.0,0.0,0.0,0.0
F,,4,F,0.0,0.0,0.0,0.0
F,,4,G,0.0,0.0,0.0,0.0
F,,4,H,0.0,0.0,0.0,0.0
G,,4,A,0.0,0.0,0.0,0.0
G,,4,B,0.0,0.0,0.0,0.0
G,,4,C,0.0,0.0,0.0,0.0
G,,4,D,0.0,0.0,0.0,0.0
G,,4,E,0.0,0.0,0.0,0.0
G,,4,F,0.0,0.0,0.0,0.0
G,,4,G,0.0,0.0,0.0,0.0
G,,4,H,0.0,0.0,0.0,0.0
A,,5,A,0.0,0.0,0.0,0.0
A,,5,B,0.0,0.0,0.0,0.0
A,,5,C,0.0,0.0,0.0,0.0
A,,5,D,0.0,0.0,0.0,0.0
A,,5,E,0.0,0.0,0.0,0.0
A,,5,F,0.0,0.0,0.0,0.0
A,,5,G,0.0,0.0,0.0,0.0
A,,5,H,0.0,0.0,0.0,0.0
B,,5,A,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,B,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,C,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,D,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,E,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,F,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,G,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
B,,5,H,-24.709618574223448,27.81395379524396,-2.9674271360289812,37.32273971207387
C,,5,A,-18.973289125992554,-44.503036560352434,-36.97606154490386,60.89117416114663
C,,5,B,-18.973289125992554,-44.503036560352434,-36.97606154490386,60.89117416114663
C,,5,C,-18.973289125992554,-44.503036560352434,-36.97606154490386,60.89117416114663
C,,5,D,-18.973289125992554,-44.503036560352434,-36.97606154490386,60.89117416114663
C,,5,E,-35.8524080729628,121.8748199220134,19.51498634490557,128.52899123425536
C,,5,F,-35.8524080729628,121.8748199220134,19.51498634490557,128.52899123425536
C,,5,G,-35.8524080729628,121.8748199220134,19.51498634490557,128.52899123425536
C,,5,H,-35.8524080729628,121.8748199220134,19.51498634490557,128.52899123425536
D,,5,A,0.0,-116.38916127868637,0.0,116.38916127868637
D,,5,B,0.0,-29.654961929813215,0.0,29.654961929813215
D,,5,C,0.0,20.871970378349722,0.0,20.871970378349722
D,,5,D,0.0,-79.97335634044731,0.0,79.97335634044731
D,,5,E,0.0,184.7391186663707,0.0,184.7391186663707
D,,5,F,0.0,198.29128574604172,0.0,198.29128574604172
D,,5,G,0.0,119.30272375162654,0.0,119.30272375162654
