capture_id,tag,method,median_3d,rmse,p95,n_frames
R12,BS2DCE,joint_fixed_49p621,348.80548304555936,354.301394605642,457.1104325210865,879
R12,BSDC91,joint_fixed_49p621,329.66395295196855,345.88939161097363,490.0944136056846,879
R13,BS2DCE,joint_fixed_49p621,231.66242455376891,264.83185874634785,455.1821375570703,748
R13,BSDC91,joint_fixed_49p621,226.03907007045848,244.0513483360356,368.2058207960536,748
R14,BS2DCE,joint_fixed_49p621,455.24898030338744,485.61052019943696,701.9998807951761,721
R14,BSDC91,joint_fixed_49p621,431.2207899705597,435.93103092377856,534.6897531441763,721
R15,BS2DCE,joint_fixed_49p621,409.9055178795903,429.20288044265646,628.2113337491045,765
R15,BSDC91,joint_fixed_49p621,427.96732115569796,437.3410460523905,615.9207388329526,765
R16,BS2DCE,joint_fixed_49p621,305.9453730431037,347.57759936705787,545.3747090417509,738
R16,BSDC91,joint_fixed_49p621,326.4963160590106,332.1926235304579,445.7065414060566,738
R17,BS2DCE,joint_fixed_49p621,427.69662361113114,439.91585351358407,571.2459797925702,718
R17,BSDC91,joint_fixed_49p621,408.862849763248,428.0391501871015,593.8017436838163,718
R01,BS2DCE,joint_static_estimated_dtag,116.03454572568015,131.4945432896098,212.02701174426167,1184
R01,BSDC91,joint_static_estimated_dtag,86.26961314858815,109.2391419803389,185.62271008013556,1184
R02,BS2DCE,joint_static_estimated_dtag,145.28344482179068,164.44447379722584,259.8796294032697,1184
R02,BSDC91,joint_static_estimated_dtag,136.74952386831507,150.91051379681264,246.90209166144615,1184
R03,BS2DCE,joint_static_estimated_dtag,123.45117776973888,137.29773145086298,217.7293889974004,1032
R03,BSDC91,joint_static_estimated_dtag,97.58876031065245,113.17243799066897,186.42828601965226,1032
R04,BS2DCE,joint_static_estimated_dtag,84.76378935792167,113.0560176538582,199.03292770471316,1178
R04,BSDC91,joint_static_estimated_dtag,71.65690490194635,87.68988946620604,153.54376468441555,1178
R05,BS2DCE,joint_static_estimated_dtag,423.05634308791434,437.57750171105505,583.5756894440569,1197
R05,BSDC91,joint_static_estimated_dtag,417.5716027414645,422.0322301392598,498.5018960476113,1197
R06,BS2DCE,joint_static_estimated_dtag,424.8958370541303,428.5332239793228,515.5772562772636,1046
R06,BSDC91,joint_static_estimated_dtag,434.085372777536,437.28673448196156,519.5143893678338,1046
R07,BS2DCE,joint_static_estimated_dtag,137.77878806660755,160.03150725262074,267.0611656604698,868
R07,BSDC91,joint_static_estimated_dtag,113.89884824053973,140.1806844305777,244.65538834784255,868
R08,BS2DCE,joint_static_estimated_dtag,181.61054053730592,217.12999250483503,352.8860642314603,866
R08,BSDC91,joint_static_estimated_dtag,165.85183523116558,209.78030971889007,359.6747517914148,866
R09,BS2DCE,joint_static_estimated_dtag,413.7527800108679,428.6699115764982,600.3575350091786,847
R09,BSDC91,joint_static_estimated_dtag,438.9362969765242,449.61138968467884,599.9116961041447,847
R10,BS2DCE,joint_static_estimated_dtag,130.283755352666,157.59215327623184,263.03733776278875,864
R10,BSDC91,joint_static_estimated_dtag,107.19154102432637,131.07754214671252,236.04084696427026,864
R11,BS2DCE,joint_static_estimated_dtag,393.1528314444988,410.1924466315394,571.9440810780616,882
R11,BSDC91,joint_static_estimated_dtag,409.73431061446513,413.0734439115751,517.6823711844339,882
R12,BS2DCE,joint_static_estimated_dtag,347.8862639873188,352.627407111693,457.4802645723196,879
R12,BSDC91,joint_static_estimated_dtag,331.26102327818353,343.95737427602404,480.780695499133,879
R13,BS2DCE,joint_static_estimated_dtag,228.5583014903395,258.67345814004887,419.1123372129813,748
R13,BSDC91,joint_static_estimated_dtag,230.30240489948125,246.6358925581647,379.99120504556754,748
R14,BS2DCE,joint_static_estimated_dtag,457.8421292135913,481.5136277505226,677.4249233730794,721
R14,BSDC91,joint_static_estimated_dtag,432.70011438266926,438.5703173798681,540.0716738638049,721
R15,BS2DCE,joint_static_estimated_dtag,409.52961361410286,420.74096501497667,589.339960565624,765
R15,BSDC91,joint_static_estimated_dtag,429.1986290859929,441.8108250701423,634.462967934108,765
R16,BS2DCE,joint_static_estimated_dtag,308.5032163099329,341.5599057915608,515.9375878545623,738
R16,BSDC91,joint_static_estimated_dtag,329.9210421643413,331.8484711782451,437.4597965428687,738
R17,BS2DCE,joint_static_estimated_dtag,426.28619723233123,439.0060286740494,555.5097423173664,718
R17,BSDC91,joint_static_estimated_dtag,409.30890949587575,426.925735043503,594.6169833888556,718
R01,BS2DCE,joint_coarse_cost_min_dtag,110.06821612012607,124.62612485756384,202.21208311381648,1184
R01,BSDC91,joint_coarse_cost_min_dtag,93.95734253901524,110.76469085574247,185.68765914401425,1184
R02,BS2DCE,joint_coarse_cost_min_dtag,139.266767320646,160.16709711594316,253.54938952268367,1184
R02,BSDC91,joint_coarse_cost_min_dtag,137.36300143360816,149.9705797243509,234.1893714059609,1184
R03,BS2DCE,joint_coarse_cost_min_dtag,115.28054919100597,134.94555935745055,223.89712642263763,1032
R03,BSDC91,joint_coarse_cost_min_dtag,98.97557697226276,116.37412634053969,192.42263079863244,1032
R04,BS2DCE,joint_coarse_cost_min_dtag,85.36469723513522,105.52745361753833,182.02551927953107,1178
R04,BSDC91,joint_coarse_cost_min_dtag,78.02124829968038,90.2270590850945,151.15633918927813,1178
R05,BS2DCE,joint_coarse_cost_min_dtag,423.8663842469513,439.10840456921824,607.3445501618897,1197
R05,BSDC91,joint_coarse_cost_min_dtag,417.13302921717883,419.18389747979694,497.4599989883807,1197
R06,BS2DCE,joint_coarse_cost_min_dtag,422.3190463765296,424.00390401239383,502.1100121163735,1046
R06,BSDC91,joint_coarse_cost_min_dtag,435.50976539303474,440.5985838638354,531.188926785156,1046
R07,BS2DCE,joint_coarse_cost_min_dtag,137.3996626393614,159.16380889662986,268.50136426941714,868
R07,BSDC91,joint_coarse_cost_min_dtag,129.38486786906793,146.11737279305012,233.3497606840694,868
R08,BS2DCE,joint_coarse_cost_min_dtag,175.18466666375534,208.956723708665,346.2936025056967,866
R08,BSDC91,joint_coarse_cost_min_dtag,173.0437468725867,212.4407777229264,359.2663394765467,866
R09,BS2DCE,joint_coarse_cost_min_dtag,411.6258934013909,418.460537260628,527.7261697501384,847
R09,BSDC91,joint_coarse_cost_min_dtag,441.7512534673231,452.8598894220347,616.2561271447258,847
R10,BS2DCE,joint_coarse_cost_min_dtag,115.14542595576971,147.67368152890035,268.3706162629726,864
R10,BSDC91,joint_coarse_cost_min_dtag,128.1870494840407,143.6791954639096,234.885708065055,864
R11,BS2DCE,joint_coarse_cost_min_dtag,395.0790692416406,400.11303133250084,478.4445294351036,882
R11,BSDC91,joint_coarse_cost_min_dtag,408.7724835430157,411.85595597261886,497.0677327574222,882
R12,BS2DCE,joint_coarse_cost_min_dtag,345.9020761057187,351.37479501830614,457.40252700997024,879
R12,BSDC91,joint_coarse_cost_min_dtag,328.47914343502697,344.02818320016985,481.32758165052905,879
R13,BS2DCE,joint_coarse_cost_min_dtag,226.54474845748422,248.51314873181371,391.9058743689818,748
R13,BSDC91,joint_coarse_cost_min_dtag,233.73152044373114,250.22883147935548,382.3743382792658,748
R14,BS2DCE,joint_coarse_cost_min_dtag,456.61249384324475,474.354995752576,627.986993827097,721
R14,BSDC91,joint_coarse_cost_min_dtag,435.4089542460619,440.12913166471157,536.9690223336529,721
R15,BS2DCE,joint_coarse_cost_min_dtag,408.3634731390071,415.47072612856215,539.8886481810714,765
R15,BSDC91,joint_coarse_cost_min_dtag,431.73678193554366,441.350913444766,606.0453974624287,765
R16,BS2DCE,joint_coarse_cost_min_dtag,310.2408127647264,335.3979504643656,488.593461945986,738
R16,BSDC91,joint_coarse_cost_min_dtag,328.5249226619992,333.85355445466485,437.9220973658855,738
R17,BS2DCE,joint_coarse_cost_min_dtag,422.4527823595097,434.1561152483891,559.0899298321176,718
R17,BSDC91,joint_coarse_cost_min_dtag,411.87623265456,428.27866874045543,593.1968566903822,718
R01,BS2DCE,independent_baseline_current,115.51025890482302,218.74874739038867,547.1609994913506,1184
R01,BSDC91,independent_baseline_current,103.21267859548895,143.7112210241306,257.41331486345933,1184
R02,BS2DCE,independent_baseline_current,112.75414982675153,158.79203226164043,290.00647240729853,1184
R02,BSDC91,independent_baseline_current,114.90294202078502,135.18704580707836,220.02599020100473,1184
R03,BS2DCE,independent_baseline_current,122.27629502737972,147.27630065858813,243.98284937562124,1032
R03,BSDC91,independent_baseline_current,95.65236326266285,112.74110324916535,193.62562340112817,1032
R04,BS2DCE,independent_baseline_current,109.29915764978169,146.10911683742324,286.1816316923353,1178
R04,BSDC91,independent_baseline_current,98.08660148239368,119.63031117807851,195.40993080707426,1178
R05,BS2DCE,independent_baseline_current,113.24573506125536,156.13454552255754,296.512101430469,1197
R05,BSDC91,independent_baseline_current,96.552760782555,107.80273948876498,172.69697300103726,1197
R06,BS2DCE,independent_baseline_current,119.06035268351283,142.5433297745481,235.56138685093217,1046
R06,BSDC91,independent_baseline_current,98.23629931052355,115.13034098751599,191.4956274628208,1046
R07,BS2DCE,independent_baseline_current,107.33134629075062,135.789737257743,241.9530762451934,868
R07,BSDC91,independent_baseline_current,95.12800402030172,106.07756949464105,170.7875407932551,868
R08,BS2DCE,independent_baseline_current,103.77697230334562,137.53962647765562,254.86068393684369,866
R08,BSDC91,independent_baseline_current,80.65133136644388,95.25835694671123,161.14039086934454,866
R09,BS2DCE,independent_baseline_current,111.72529166749204,162.10055746573767,318.4073331967057,847
R09,BSDC91,independent_baseline_current,105.84157941532996,121.79092852476307,194.56273275114216,847
R10,BS2DCE,independent_baseline_current,102.7655023467469,130.21131414698928,233.65740279396653,864
R10,BSDC91,independent_baseline_current,85.80357988157877,102.33662434760187,179.92675590884372,864
R12,BS2DCE,independent_baseline_current,106.16442404934524,126.64505853598537,215.92129556325932,879
R12,BSDC91,independent_baseline_current,94.6706512637768,108.26796938433746,175.2190209392695,879
R11,BS2DCE,independent_baseline_current,101.03416404994681,127.41975120884842,207.43917969722514,882
R11,BSDC91,independent_baseline_current,89.37535946309427,104.84121163790539,168.67231911143546,882
R13,BS2DCE,independent_baseline_current,87.34207914674877,117.20626378482005,216.1560410591417,748
R13,BSDC91,independent_baseline_current,88.13247480663642,104.22445862612358,177.38116079656328,748
R14,BS2DCE,independent_baseline_current,98.46695109770027,126.56173304185138,224.21812496842912,721
R14,BSDC91,independent_baseline_current,83.63875437395488,100.66309707195822,175.55291781006918,721
R15,BS2DCE,independent_baseline_current,105.737120604885,126.76917780658836,211.11503651897274,765
R15,BSDC91,independent_baseline_current,99.54689130314743,109.5634514473793,177.44881744151175,765
R16,BS2DCE,independent_baseline_current,108.23439886863747,136.8788043785834,239.81503819889105,738
R16,BSDC91,independent_baseline_current,97.7204908561238,111.53419064430585,180.30743724785228,738
R17,BS2DCE,independent_baseline_current,101.86357385474622,133.8366671432892,233.32137107297643,718
R17,BSDC91,independent_baseline_current,87.30132473225373,107.68650263367113,179.86169175089702,718
