model,sigma_offset,outer_fold,test_positions,d_tag_train_mm,test_median_3d,test_rmse,test_p95,n_test,max_offset_mm,physically_suspicious_offset_gt50
E,10.0,4,ID24;ID04;ID07;ID16,215.33114685765398,45.59198943261264,101.06411448689352,170.60935673081806,4,247.9816683629995,True
E,20.0,4,ID24;ID04;ID07;ID16,269.4230740531576,43.362428113621306,95.71188707703979,161.2358468495657,4,304.99980332337026,True
E,40.0,4,ID24;ID04;ID07;ID16,286.6322856512748,42.69174167649747,93.8179249457671,157.8729412047392,4,323.3023783774565,True
F,,4,ID24;ID04;ID07;ID16,47.55271715099406,106.99114418578924,117.51429022757988,163.93785434155157,4,0.0,False
G,,4,ID24;ID04;ID07;ID16,30.60653903625137,78.96686971895376,123.65131381432522,196.83524275107197,4,0.0,False
A,,5,ID21;ID18;ID02;ID11,53.2673810725412,37.27483813501232,42.099905428409215,54.62249517477073,4,0.0,False
B,,5,ID21;ID18;ID02;ID11,54.26158386882555,48.76024014086502,51.5169893201261,67.93073174396275,4,37.32273971207387,False
C,,5,ID21;ID18;ID02;ID11,28.085994561877033,48.382867600256006,68.88089120868105,108.79916033812171,4,128.52899123425536,True
D,,5,ID21;ID18;ID02;ID11,26.139112717234074,47.44415346148655,74.7634423124347,118.29300613806302,4,198.29128574604172,True
E,2.0,5,ID21;ID18;ID02;ID11,74.24048659722706,47.069218457305354,67.43886071315151,102.7030326564355,4,129.318721455462,True
E,5.0,5,ID21;ID18;ID02;ID11,145.1624581984049,49.90610465013974,73.24022686724601,114.04202699262261,4,201.17419982511987,True
E,10.0,5,ID21;ID18;ID02;ID11,233.61344171894692,49.472308962393,75.2720543486466,118.78096596969303,4,287.68025909641653,True
E,20.0,5,ID21;ID18;ID02;ID11,281.55339010674993,49.26940571788596,76.277615179757,121.09717147367002,4,336.55921492733415,True
E,40.0,5,ID21;ID18;ID02;ID11,296.44594254358105,49.32466672858203,76.63104170508537,121.8278238076731,4,351.9668068363841,True
F,,5,ID21;ID18;ID02;ID11,49.621032516254864,39.848284591466,46.23493523251869,65.6383649709716,4,0.0,False
G,,5,ID21;ID18;ID02;ID11,33.795153519303135,45.19461704666732,47.02116515049547,61.82642241315212,4,0.0,False
A,,6,ID06;ID19;ID15;ID08,48.262904242388856,92.9879444954968,87.62413794064364,97.38172861870802,4,0.0,False
B,,6,ID06;ID19;ID15;ID08,53.14833797970799,88.11004170454628,92.54740772007302,123.53893146349901,4,33.71525937443231,False
C,,6,ID06;ID19;ID15;ID08,32.30936093546187,55.78681632117997,59.38078656412692,79.97047717374389,4,109.0751008415609,True
D,,6,ID06;ID19;ID15;ID08,29.052450502496317,64.83015223379432,63.00515541459005,77.83518379306481,4,182.2228115897791,True
E,2.0,6,ID06;ID19;ID15;ID08,67.65089264534481,54.68979805760323,66.86045953773144,97.9917121476003,4,111.44572713992086,True
E,5.0,6,ID06;ID19;ID15;ID08,118.2042823946563,55.028726375996214,69.57379089611315,103.69666206114651,4,174.37750474915723,True
E,10.0,6,ID06;ID19;ID15;ID08,191.49315325916533,53.534931388431346,68.99844403371245,103.51750796261739,4,244.50075509488457,True
E,20.0,6,ID06;ID19;ID15;ID08,239.08972232856573,53.04147374248645,68.53126178872213,102.97706076200599,4,291.57112167813386,True
E,40.0,6,ID06;ID19;ID15;ID08,255.04534091873333,53.51465851369723,68.59425280298036,102.80349973728374,4,307.67685219973794,True
F,,6,ID06;ID19;ID15;ID08,48.55757480583289,89.32737974333463,106.45246179230243,143.22277387339295,4,0.0,False
G,,6,ID06;ID19;ID15;ID08,33.795153519303135,80.93398567460011,79.1546919417427,89.06057365786226,4,0.0,False
