D_tag_BS2DCE_mm,D_tag_BSDC91_mm,subset_total_cost,n_subset_frames
80.0,30.0,165815810.73802316,240
80.0,40.0,163648078.23321745,240
80.0,50.0,161861745.72841182,240
80.0,60.0,160456813.22360614,240
80.0,70.0,159433280.71880037,240
80.0,80.0,158791148.2139947,240
80.0,90.0,158530415.70918885,240
80.0,100.0,158651083.20438328,240
80.0,110.0,159153150.69957736,240
80.0,120.0,160036618.19477183,240
90.0,0.0,173394076.9601745,240
90.0,10.0,170082144.45536858,240
90.0,20.0,167151611.95056292,240
90.0,30.0,164602479.44575718,240
90.0,40.0,162434746.9409516,240
90.0,50.0,160648414.43614578,240
90.0,60.0,159243481.93134004,240
90.0,70.0,158219949.42653427,240
90.0,80.0,157577816.92172864,240
90.0,90.0,157317084.4169228,240
90.0,100.0,157437751.91211712,240
90.0,110.0,157939819.4073113,240
90.0,120.0,158823286.9025056,240
100.0,0.0,172562945.66790825,240
100.0,10.0,169251013.1631025,240
100.0,20.0,166320480.65829682,240
100.0,30.0,163771348.1534912,240
100.0,40.0,161603615.64868546,240
100.0,50.0,159817283.14387983,240
100.0,60.0,158412350.63907388,240
100.0,70.0,157388818.13426822,240
100.0,80.0,156746685.6294624,240
100.0,90.0,156485953.1246567,240
100.0,100.0,156606620.61985102,240
100.0,110.0,157108688.11504525,240
100.0,120.0,157992155.6102396,240
110.0,0.0,172114014.37564224,240
110.0,10.0,168802081.87083644,240
110.0,20.0,165871549.36603072,240
110.0,30.0,163322416.86122504,240
110.0,40.0,161154684.35641918,240
110.0,50.0,159368351.85161343,240
110.0,60.0,157963419.34680784,240
110.0,70.0,156939886.84200203,240
110.0,80.0,156297754.33719632,240
110.0,90.0,156037021.8323905,240
110.0,100.0,156157689.32758474,240
110.0,110.0,156659756.82277915,240
110.0,120.0,157543224.31797343,240
120.0,0.0,172047283.08337605,240
120.0,10.0,168735350.5785703,240
120.0,20.0,165804818.0737646,240
120.0,30.0,163255685.56895882,240
120.0,40.0,161087953.0641532,240
120.0,50.0,159301620.55934748,240
120.0,60.0,157896688.0545418,240
120.0,70.0,156873155.54973593,240
120.0,80.0,156231023.04493013,240
120.0,90.0,155970290.54012445,240
120.0,100.0,156090958.03531873,240
120.0,110.0,156593025.53051305,240
120.0,120.0,157476493.02570722,240
