row,variant,metric,value,source_file,evaluation_type,paper_location
F,V5 corrected,median_3d,65.57914964020227,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
F,V5 corrected,P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
F,V5 corrected,RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
G,V4 corrected,median_3d,64.48614964020227,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
G,V4 corrected,P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
G,V4 corrected,RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv,OOB-bootstrap,main_text
H,V5 bootstrap CI,median_3d,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_overnight_batch2/tables/n6_bootstrap_ci.csv,bootstrap 95% CI,main_text
H,V5 bootstrap CI,P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_overnight_batch2/tables/n6_bootstrap_ci.csv,bootstrap 95% CI,main_text
H,V5 bootstrap CI,RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_overnight_batch2/tables/n6_bootstrap_ci.csv,bootstrap 95% CI,main_text
I,Nested CV (height),median_3d,82.9248283137559,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
I,Nested CV (height),P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
I,Nested CV (height),RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
J,Nested CV (quadrant),median_3d,88.04166953831984,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
J,Nested CV (quadrant),P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
J,Nested CV (quadrant),RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
K,Nested CV (spatial6),median_3d,94.24971154923936,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
K,Nested CV (spatial6),P95,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
K,Nested CV (spatial6),RMSE,nan,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv,held-out test,appendix
L,ROTO V5 per-frame,median_3d,101.48477739653228,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,BEST-FIT-ALIGNED,main_text
L,ROTO V5 per-frame,P95,214.3693133943896,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,BEST-FIT-ALIGNED,main_text
L,ROTO V5 per-frame,RMSE,126.22614768446928,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,BEST-FIT-ALIGNED,main_text
M,ROTO SE(3) aligned,median_3d,82.51641444727665,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic,appendix
M,ROTO SE(3) aligned,P95,185.20662628073396,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic,appendix
M,ROTO SE(3) aligned,RMSE,103.74573775790896,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic,appendix
N,ROTO Sim3 aligned,median_3d,74.26356175882631,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic only,appendix
N,ROTO Sim3 aligned,P95,160.79304407937283,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic only,appendix
N,ROTO Sim3 aligned,RMSE,94.81105197947248,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv,diagnostic only,appendix
anchor_metric,V4 rigid RMSE,V4 rigid RMSE,105.41990950811795,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_scale_to_vicon/tables/v5_vs_v4_scale_comparison.csv,anchor calibration metric,main_text
anchor_metric,V5 rigid RMSE,V5 rigid RMSE,62.99190234655519,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_scale_to_vicon/tables/v5_vs_v4_scale_comparison.csv,anchor calibration metric,main_text
anchor_metric,V5 common-mode c,V5 common-mode c,111.98479117186592,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5/tables/delay_comparison_v4_vs_v5.csv,anchor calibration metric,main_text
