run,node,kind,t0_wall,dur_s,other_stream_records
N5,BSFAA61,IMU_ONLY,2026-08-07 02:51:35,2.5,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:52:25,2.1,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:52:46,2.3,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:53:55,2.6,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:54:53,2.9,27
N5,BSFAA61,IMU_ONLY,2026-08-07 02:58:22,2.2,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:03:47,2.1,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:04:52,7.3,64
N5,BSFAA61,IMU_ONLY,2026-08-07 03:06:13,2.6,24
N5,BSFAA61,IMU_ONLY,2026-08-07 03:06:54,2.1,25
N5,BSFAA61,IMU_ONLY,2026-08-07 03:07:41,4.5,41
N5,BSFAA61,IMU_ONLY,2026-08-07 03:09:37,2.3,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:09:54,2.6,24
N5,BSFAA61,IMU_ONLY,2026-08-07 03:12:51,2.3,21
N5,BSFAA61,IMU_ONLY,2026-08-07 03:14:54,2.2,16
N5,BSFAA61,IMU_ONLY,2026-08-07 03:17:20,2.7,20
N5,BSFAA61,IMU_ONLY,2026-08-07 03:17:58,2.0,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:21:03,5.7,51
N5,BSFAA61,IMU_ONLY,2026-08-07 03:22:58,2.7,30
N5,BSFAA61,IMU_ONLY,2026-08-07 03:25:18,2.6,26
N5,BSFAA61,IMU_ONLY,2026-08-07 03:27:07,2.1,25
N5,BSFAA61,IMU_ONLY,2026-08-07 03:29:53,2.0,17
N5,BSFAA61,IMU_ONLY,2026-08-07 03:37:24,3.0,31
N5,BSFAA61,IMU_ONLY,2026-08-07 03:37:51,4.6,50
N5,BSFAA61,IMU_ONLY,2026-08-07 03:38:36,2.4,24
N5,BSFAA61,IMU_ONLY,2026-08-07 03:46:13,2.4,25
N5,BSFAA61,IMU_ONLY,2026-08-07 03:47:02,2.7,30
N5,BSFAA61,IMU_ONLY,2026-08-07 03:47:22,2.3,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:54:25,4.5,40
N5,BSFAA61,IMU_ONLY,2026-08-07 03:54:53,2.2,22
N5,BSFAA61,IMU_ONLY,2026-08-07 03:56:09,3.6,38
N5,BSFAA61,IMU_ONLY,2026-08-07 03:58:06,2.6,23
N5,BSFAA61,IMU_ONLY,2026-08-07 03:59:53,2.1,16
N5,BSFAA61,IMU_ONLY,2026-08-07 04:00:49,2.2,23
N5,BSFAA61,IMU_ONLY,2026-08-07 04:02:18,3.7,35
N5,BSFAA61,IMU_ONLY,2026-08-07 04:04:14,3.2,35
N5,BSFAA61,IMU_ONLY,2026-08-07 04:04:53,2.3,24
N5,BSFAA61,IMU_ONLY,2026-08-07 04:06:26,2.3,22
N5,BSFAA61,IMU_ONLY,2026-08-07 04:09:53,2.9,31
N5,BSFAA61,IMU_ONLY,2026-08-07 04:15:40,4.4,41
N5,BSFAA61,IMU_ONLY,2026-08-07 04:19:53,5.6,48
N5,BSFAA61,IMU_ONLY,2026-08-07 04:23:07,2.1,25
N5,BSFAA61,IMU_ONLY,2026-08-07 04:24:54,2.8,25
N5,BSFAA61,IMU_ONLY,2026-08-07 04:26:48,5.0,43
N5,BSFAA61,IMU_ONLY,2026-08-07 04:28:17,2.0,22
N5,BSFAA61,IMU_ONLY,2026-08-07 04:30:29,2.3,25
N5,BSFAA61,IMU_ONLY,2026-08-07 04:32:01,2.9,30
N5,BSFAA61,IMU_ONLY,2026-08-07 04:33:29,2.2,24
N5,BSFAA61,IMU_ONLY,2026-08-07 04:38:31,3.5,34
N5,BSFAA61,IMU_ONLY,2026-08-07 04:39:53,2.3,18
N5,BSFAA61,IMU_ONLY,2026-08-07 04:43:09,2.2,26
N5,BSFAA61,IMU_ONLY,2026-08-07 04:45:52,2.5,26
N5,BSFAA61,IMU_ONLY,2026-08-07 04:47:09,2.7,24
N5,BSFAA61,IMU_ONLY,2026-08-07 04:47:36,2.5,25
N5,BSFAA61,IMU_ONLY,2026-08-07 04:49:01,4.1,35
N5,BSFAA61,IMU_ONLY,2026-08-07 04:50:46,2.4,22
N5,BSFAA61,IMU_ONLY,2026-08-07 04:54:08,2.3,21
N5,BSFAA61,IMU_ONLY,2026-08-07 04:54:53,4.2,38
N5,BSFAA61,IMU_ONLY,2026-08-07 04:54:59,2.0,16
N5,BSFAA61,IMU_ONLY,2026-08-07 04:55:26,2.4,25
N5,BSFAA61,IMU_ONLY,2026-08-07 04:56:55,4.4,42
N5,BSFAA61,IMU_ONLY,2026-08-07 05:06:33,2.6,22
N5,BSFAA61,IMU_ONLY,2026-08-07 05:10:18,4.2,41
N5,BSFAA61,IMU_ONLY,2026-08-07 05:26:38,2.6,30
N5,BSFAA61,IMU_ONLY,2026-08-07 05:34:48,2.1,19
N5,BSFAA61,IMU_ONLY,2026-08-07 05:39:02,2.3,24
N5,BSFAA61,IMU_ONLY,2026-08-07 05:39:53,2.4,18
N5,BSFAA61,IMU_ONLY,2026-08-07 05:40:28,2.5,23
N5,BSFAA61,IMU_ONLY,2026-08-07 05:43:39,4.3,40
N5,BSFAA61,IMU_ONLY,2026-08-07 05:44:53,5.1,44
N5,BSFAA61,IMU_ONLY,2026-08-07 05:45:23,3.1,33
N5,BSFAA61,IMU_ONLY,2026-08-07 05:49:53,3.4,26
N5,BSFAA61,IMU_ONLY,2026-08-07 05:50:44,2.1,21
N5,BSFAA61,IMU_ONLY,2026-08-07 05:51:32,4.2,40
N5,BSFAA61,IMU_ONLY,2026-08-07 05:53:28,2.5,25
N5,BSFAA61,IMU_ONLY,2026-08-07 05:54:54,2.5,24
N5,BSFAA61,IMU_ONLY,2026-08-07 05:59:54,2.6,24
N5,BSFAA61,IMU_ONLY,2026-08-07 06:04:54,6.0,54
N5,BSFAA61,IMU_ONLY,2026-08-07 06:09:35,2.6,28
N5,BSFAA61,IMU_ONLY,2026-08-07 06:09:53,2.5,24
N5,BSFAA61,IMU_ONLY,2026-08-07 06:11:12,2.2,25
N5,BSFAA61,IMU_ONLY,2026-08-07 06:14:54,2.6,20
N5,BSFAA61,IMU_ONLY,2026-08-07 06:18:11,2.4,25
N5,BSFAA61,IMU_ONLY,2026-08-07 06:21:15,3.1,31
N5,BSFAA61,IMU_ONLY,2026-08-07 06:21:41,4.5,45
N5,BSFAA61,IMU_ONLY,2026-08-07 06:23:04,2.4,24
N5,BSFAA61,IMU_ONLY,2026-08-07 06:24:54,2.5,19
N5,BSFAA61,IMU_ONLY,2026-08-07 06:28:17,3.0,30
N5,BSFAA61,IMU_ONLY,2026-08-07 06:29:53,2.8,22
N5,BSFAA61,IMU_ONLY,2026-08-07 06:32:22,2.8,31
N5,BSFAA61,IMU_ONLY,2026-08-07 06:34:54,4.5,38
N5,BSFAA61,IMU_ONLY,2026-08-07 06:35:05,2.1,22
N5,BSFAA61,IMU_ONLY,2026-08-07 06:38:15,4.5,42
N5,BSFAA61,IMU_ONLY,2026-08-07 06:38:29,2.1,25
N5,BSFAA61,IMU_ONLY,2026-08-07 06:40:00,3.8,39
N5,BSFAA61,IMU_ONLY,2026-08-07 06:42:14,2.4,25
N5,BSFAA61,IMU_ONLY,2026-08-07 06:42:42,2.6,25
N5,BSFAA61,IMU_ONLY,2026-08-07 06:43:22,2.6,27
N5,BSFAA61,IMU_ONLY,2026-08-07 06:46:09,4.4,41
N5,BSFAA61,IMU_ONLY,2026-08-07 06:49:32,2.1,24
N5,BSFAA61,IMU_ONLY,2026-08-07 06:49:53,2.2,22
N5,BSFAA61,IMU_ONLY,2026-08-07 06:57:16,2.1,26
N5,BSFAA61,IMU_ONLY,2026-08-07 06:59:31,5.8,56
N5,BSFAA61,IMU_ONLY,2026-08-07 06:59:53,2.3,18
N5,BSFAA61,IMU_ONLY,2026-08-07 07:00:06,2.2,21
N5,BSFAA61,IMU_ONLY,2026-08-07 07:00:16,2.1,19
N5,BSFAA61,IMU_ONLY,2026-08-07 07:03:46,2.1,19
N5,BSFAA61,IMU_ONLY,2026-08-07 07:14:53,2.7,26
N5,BSFAA61,IMU_ONLY,2026-08-07 07:15:52,2.7,30
N5,BSFAA61,IMU_ONLY,2026-08-07 07:16:18,4.2,45
N5,BSFAA61,IMU_ONLY,2026-08-07 07:17:30,2.2,24
N5,BSFAA61,IMU_ONLY,2026-08-07 07:22:54,2.4,24
N5,BSFAA61,IMU_ONLY,2026-08-07 07:24:41,2.4,25
N5,BSFAA61,IMU_ONLY,2026-08-07 07:24:54,4.1,31
N5,BSFAA61,IMU_ONLY,2026-08-07 07:25:50,2.2,22
N5,BSFAA61,IMU_ONLY,2026-08-07 07:32:52,3.5,32
N5,BSFAA61,IMU_ONLY,2026-08-07 07:34:37,3.7,38
N5,BSFAA61,IMU_ONLY,2026-08-07 07:37:59,3.1,29
N5,BSFAA61,IMU_ONLY,2026-08-07 07:38:49,2.9,24
N5,BSFAA61,IMU_ONLY,2026-08-07 07:39:17,2.4,24
N5,BSFAA61,IMU_ONLY,2026-08-07 07:39:19,2.2,20
N5,BSFAA61,IMU_ONLY,2026-08-07 07:39:53,4.4,34
N5,BSFAA61,IMU_ONLY,2026-08-07 07:39:58,2.0,22
N5,BSFAA61,IMU_ONLY,2026-08-07 07:40:46,2.3,26
N5,BSFAA61,IMU_ONLY,2026-08-07 07:44:54,2.5,26
N5,BSFAA61,IMU_ONLY,2026-08-07 07:54:09,4.0,39
N5,BSFAA61,IMU_ONLY,2026-08-07 07:54:54,2.8,24
N5,BSFAA61,IMU_ONLY,2026-08-07 07:58:22,4.1,39
N5,BSFAA61,IMU_ONLY,2026-08-07 07:58:32,2.1,23
N5,BSFAA61,IMU_ONLY,2026-08-07 08:10:29,2.2,26
N8,BSFAA61,UWB_ONLY_TERMINAL,2026-08-07 21:06:44,855.4,3
N8,BSFC2CC,UWB_ONLY,2026-08-07 21:01:52,10.0,3
N8,BSFC2CC,UWB_ONLY_TERMINAL,2026-08-07 21:03:00,1079.8,3
N8,BSFEC35,UWB_ONLY,2026-08-07 21:14:38,9.0,3
