sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
1925,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25857,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,4,100,95"
1922,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1926,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25858,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1923,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1927,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25859,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,4,100,95"
1924,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1928,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25860,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1925,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,100,96"
1929,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25861,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,4,100,95"
1926,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,100,96"
1930,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25862,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1927,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1931,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25863,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,4,100,96"
1928,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
1932,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25864,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1929,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
1933,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25865,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1930,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1934,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25866,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1931,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1935,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25867,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1932,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1936,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25868,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1933,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1937,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25869,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1934,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1938,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25870,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1935,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1939,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25871,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1936,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1940,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25872,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1937,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1941,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25873,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1938,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1942,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25874,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1939,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1943,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25875,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1940,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1944,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1941,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,timeout","100,100,100,96"
25876,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1945,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
1942,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,100,96"
25877,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1943,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1946,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
1944,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
25878,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1947,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25879,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1945,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
1948,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25880,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1946,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1949,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25881,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1947,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1950,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25882,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1948,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1951,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25883,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1949,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1952,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25884,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1950,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1953,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25885,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1951,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1954,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
1952,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
25886,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1955,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25887,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,4,100,100"
1953,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1956,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25888,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1954,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1957,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25889,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,4,100,100"
1955,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1958,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25890,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1956,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1959,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25891,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,4,100,100"
1957,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1960,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25892,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1958,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1961,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25893,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,4,100,100"
1959,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1962,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25894,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1960,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1963,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25895,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,4,100,100"
1961,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1964,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25896,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1962,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1965,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25897,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1963,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1966,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25898,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1964,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1967,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25899,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1965,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1968,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25900,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1966,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1969,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25901,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,timeout","100,3,100,96"
1967,BS2DCE,cal_roto,5,98,"A,C,F,H","ok,ok,timeout,ok","100,100,95,100"
1970,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
1968,BS2DCE,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,95,100"
25902,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1969,BS2DCE,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,95,100"
1971,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
