sweep,peer_name,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
1050,BS2DCE,cal_roto,5,success,100,4,4,268,381,0
1061,BSDC91,cal_roto,5,success,95,4,4,39,63,0
1051,BS2DCE,cal_roto,5,success,100,4,4,212,303,0
24994,BSF66F,cal_static,4,success,100,4,4,6089778,6090723,0
1062,BSDC91,cal_roto,5,success,96,4,4,91,147,0
24995,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1052,BS2DCE,cal_roto,5,success,100,4,4,135,187,0
1063,BSDC91,cal_roto,5,success,96,4,4,71,114,0
24996,BSF66F,cal_static,4,success,100,4,4,1183322,1184330,0
1064,BSDC91,cal_roto,5,success,96,4,4,10,16,0
1053,BS2DCE,cal_roto,5,success,100,4,4,108,158,0
24997,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1054,BS2DCE,cal_roto,5,success,100,4,4,191,282,0
1065,BSDC91,cal_roto,5,success,96,4,4,100,145,0
24998,BSF66F,cal_static,4,success,100,4,4,16406,17581,0
1055,BS2DCE,cal_roto,5,success,100,4,4,152,182,0
1066,BSDC91,cal_roto,5,success,96,4,4,76,98,0
24999,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1056,BS2DCE,cal_roto,5,success,100,4,4,198,279,0
1067,BSDC91,cal_roto,5,success,97,4,4,90,114,0
25000,BSF66F,cal_static,4,pending,99,4,3,0,0,0
1057,BS2DCE,cal_roto,5,success,100,4,4,193,276,0
1068,BSDC91,cal_roto,5,success,97,4,4,12,15,0
25001,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1058,BS2DCE,cal_roto,5,success,100,4,4,167,230,0
1069,BSDC91,cal_roto,5,success,97,4,4,9,12,0
25002,BSF66F,cal_static,4,success,99,4,4,28276,29499,0
1059,BS2DCE,cal_roto,5,success,100,4,4,151,193,0
1070,BSDC91,cal_roto,5,success,97,4,4,47,62,0
25003,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1060,BS2DCE,cal_roto,5,success,100,4,4,175,233,0
1071,BSDC91,cal_roto,5,success,97,4,4,176,260,0
25004,BSF66F,cal_static,4,success,99,4,4,2,3,0
1061,BS2DCE,cal_roto,5,success,100,4,4,264,376,0
1072,BSDC91,cal_roto,5,success,97,4,4,91,122,0
25005,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1062,BS2DCE,cal_roto,5,success,100,4,4,298,428,0
1073,BSDC91,cal_roto,5,success,97,4,4,193,300,0
25006,BSF66F,cal_static,4,success,99,4,4,133,207,0
1063,BS2DCE,cal_roto,5,success,100,4,4,212,316,0
1074,BSDC91,cal_roto,5,success,97,4,4,144,198,0
25007,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1064,BS2DCE,cal_roto,5,success,100,4,4,226,320,0
1075,BSDC91,cal_roto,5,success,98,4,4,113,165,0
25008,BSF66F,cal_static,4,success,99,4,4,1,1,0
1065,BS2DCE,cal_roto,5,success,100,4,4,142,218,0
1076,BSDC91,cal_roto,5,success,98,4,4,146,218,0
25009,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1066,BS2DCE,cal_roto,5,success,100,4,4,128,183,0
1077,BSDC91,cal_roto,5,success,98,4,4,44,71,0
25010,BSF66F,cal_static,4,success,99,4,4,318320,319434,0
1067,BS2DCE,cal_roto,5,success,100,4,4,91,140,0
1078,BSDC91,cal_roto,5,success,98,4,4,113,180,0
25011,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1068,BS2DCE,cal_roto,5,success,100,4,4,84,132,0
1079,BSDC91,cal_roto,5,success,98,4,4,32,51,0
25012,BSF66F,cal_static,4,success,99,4,4,8,10,0
1069,BS2DCE,cal_roto,5,success,100,4,4,190,279,0
1080,BSDC91,cal_roto,5,success,98,4,4,127,206,0
25013,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1070,BS2DCE,cal_roto,5,success,100,4,4,262,355,0
1081,BSDC91,cal_roto,5,success,98,4,4,42,65,0
25014,BSF66F,cal_static,4,success,99,4,4,5,7,0
1071,BS2DCE,cal_roto,5,success,100,4,4,239,345,0
1082,BSDC91,cal_roto,5,success,98,4,4,11,18,0
25015,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1072,BS2DCE,cal_roto,5,success,100,4,4,180,266,0
1083,BSDC91,cal_roto,5,success,99,4,4,103,162,0
25016,BSF66F,cal_static,4,success,100,4,4,4,5,0
1073,BS2DCE,cal_roto,5,success,100,4,4,178,264,0
1084,BSDC91,cal_roto,5,success,99,4,4,46,72,0
25017,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1074,BS2DCE,cal_roto,5,success,100,4,4,139,205,0
1085,BSDC91,cal_roto,5,success,99,4,4,47,74,0
25018,BSF66F,cal_static,4,success,100,4,4,1,1,0
1075,BS2DCE,cal_roto,5,success,100,4,4,167,246,0
1086,BSDC91,cal_roto,5,success,99,4,4,104,130,0
25019,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1076,BS2DCE,cal_roto,5,success,100,4,4,104,141,0
1087,BSDC91,cal_roto,5,success,99,4,4,40,53,0
25020,BSF66F,cal_static,4,success,100,4,4,5712906,5713898,0
1077,BS2DCE,cal_roto,5,success,100,4,4,210,297,0
1088,BSDC91,cal_roto,5,success,99,4,4,67,81,0
25021,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1078,BS2DCE,cal_roto,5,success,100,4,4,189,266,0
1089,BSDC91,cal_roto,5,success,99,4,4,35,42,0
1079,BS2DCE,cal_roto,5,success,100,4,4,145,157,0
25022,BSF66F,cal_static,4,success,100,4,4,1389983,1391006,0
1090,BSDC91,cal_roto,5,success,99,4,4,45,56,0
25023,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1080,BS2DCE,cal_roto,5,success,100,4,4,214,290,0
1091,BSDC91,cal_roto,5,success,100,4,4,42,58,0
25024,BSF66F,cal_static,4,success,100,4,4,120763,121938,0
1081,BS2DCE,cal_roto,5,success,100,4,4,276,400,0
1092,BSDC91,cal_roto,5,success,100,4,4,142,197,0
25025,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1082,BS2DCE,cal_roto,5,pending,99,4,3,0,0,0
1083,BS2DCE,cal_roto,5,success,100,4,4,107,157,0
1093,BSDC91,cal_roto,5,success,100,4,4,190,292,0
25026,BSF66F,cal_static,4,success,100,4,4,593137,594199,0
1084,BS2DCE,cal_roto,5,success,100,4,4,91,133,0
1094,BSDC91,cal_roto,5,success,100,4,4,114,163,0
25027,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1085,BS2DCE,cal_roto,5,success,100,4,4,87,128,0
1095,BSDC91,cal_roto,5,success,100,4,4,131,203,0
1086,BS2DCE,cal_roto,5,success,100,4,4,62,91,0
1096,BSDC91,cal_roto,5,success,100,4,4,106,154,0
25028,BSF66F,cal_static,4,success,100,4,4,534310,535409,0
25029,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1087,BS2DCE,cal_roto,5,success,100,4,4,5,8,0
1097,BSDC91,cal_roto,5,success,100,4,4,31,49,0
1088,BS2DCE,cal_roto,5,success,100,4,4,110,147,0
25030,BSF66F,cal_static,4,success,100,4,4,2864933,2865936,0
1098,BSDC91,cal_roto,5,success,100,4,4,92,142,0
25031,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1089,BS2DCE,cal_roto,5,success,100,4,4,10,15,0
1099,BSDC91,cal_roto,5,success,100,4,4,63,99,0
25032,BSF66F,cal_static,4,success,100,4,4,22913,24151,0
1090,BS2DCE,cal_roto,5,success,100,4,4,117,176,0
1100,BSDC91,cal_roto,5,success,100,4,4,130,205,0
25033,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1091,BS2DCE,cal_roto,5,success,100,4,4,105,153,0
1101,BSDC91,cal_roto,5,success,100,4,4,38,57,0
25034,BSF66F,cal_static,4,success,100,4,4,2295908,2296902,0
1092,BS2DCE,cal_roto,5,success,100,4,4,94,140,0
1102,BSDC91,cal_roto,5,success,100,4,4,78,125,0
25035,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1093,BS2DCE,cal_roto,5,success,100,4,4,73,107,0
1103,BSDC91,cal_roto,5,success,100,4,4,35,56,0
25036,BSF66F,cal_static,4,success,100,4,4,4107583,4108571,0
1094,BS2DCE,cal_roto,5,success,100,4,4,3,4,0
1104,BSDC91,cal_roto,5,success,100,4,4,69,109,0
25037,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1105,BSDC91,cal_roto,5,success,100,4,4,53,82,0
1095,BS2DCE,cal_roto,5,success,100,4,4,45,69,0
1096,BS2DCE,cal_roto,5,success,100,4,4,37,59,0
25038,BSF66F,cal_static,4,success,100,4,4,7277920,7278867,0
1106,BSDC91,cal_roto,5,success,100,4,4,100,139,0
25039,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1097,BS2DCE,cal_roto,5,success,100,4,4,76,116,0
1107,BSDC91,cal_roto,5,success,100,4,4,20,24,0
25040,BSF66F,cal_static,4,success,100,4,4,9492656,9493624,0
1098,BS2DCE,cal_roto,5,success,100,4,4,9,14,0
1108,BSDC91,cal_roto,5,success,100,4,4,33,40,0
25041,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1099,BS2DCE,cal_roto,5,success,100,4,4,59,88,0
1109,BSDC91,cal_roto,5,success,100,4,4,40,50,0
25042,BSF66F,cal_static,4,success,100,4,4,29644,30869,0
1100,BS2DCE,cal_roto,5,success,100,4,4,100,153,0
1110,BSDC91,cal_roto,5,success,100,4,4,6,7,0
25043,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1101,BS2DCE,cal_roto,5,success,100,4,4,159,244,0
1111,BSDC91,cal_roto,5,success,100,4,4,27,38,0
25044,BSF66F,cal_static,4,success,100,4,4,7,9,0
1102,BS2DCE,cal_roto,5,success,100,4,4,91,130,0
1112,BSDC91,cal_roto,5,success,100,4,4,89,122,0
25045,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1103,BS2DCE,cal_roto,5,success,100,4,4,163,241,0
1113,BSDC91,cal_roto,5,success,100,4,4,70,100,0
25046,BSF66F,cal_static,4,success,100,4,4,207120,208291,0
1104,BS2DCE,cal_roto,5,success,100,4,4,103,152,0
1114,BSDC91,cal_roto,5,success,100,4,4,170,232,0
25047,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1105,BS2DCE,cal_roto,5,success,100,4,4,87,126,0
1115,BSDC91,cal_roto,5,success,100,4,4,120,174,0
25048,BSF66F,cal_static,4,success,100,4,4,989714,990789,0
1106,BS2DCE,cal_roto,5,success,100,4,4,91,131,0
1116,BSDC91,cal_roto,5,success,100,4,4,116,174,0
25049,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1107,BS2DCE,cal_roto,5,pending,99,4,3,0,0,0
1117,BSDC91,cal_roto,5,success,100,4,4,95,150,0
1108,BS2DCE,cal_roto,5,success,99,4,4,68,100,0
25050,BSF66F,cal_static,4,pending,98,4,3,0,0,0
1109,BS2DCE,cal_roto,5,success,99,4,4,52,79,0
1118,BSDC91,cal_roto,5,success,100,4,4,53,83,0
25051,BSF66F,cal_static,4,pending,97,4,2,0,0,0
1110,BS2DCE,cal_roto,5,success,99,4,4,28,41,0
1119,BSDC91,cal_roto,5,success,100,4,4,25,39,0
25052,BSF66F,cal_static,4,success,98,4,4,8608599,8609561,0
1111,BS2DCE,cal_roto,5,success,99,4,4,162,252,0
1120,BSDC91,cal_roto,5,success,100,4,4,128,202,0
25053,BSF66F,cal_static,4,pending,97,4,4,0,0,0
1112,BS2DCE,cal_roto,5,success,99,4,4,269,379,0
1121,BSDC91,cal_roto,5,success,100,4,4,48,71,0
25054,BSF66F,cal_static,4,success,98,4,4,664801,665875,0
1113,BS2DCE,cal_roto,5,success,100,4,4,223,312,0
1122,BSDC91,cal_roto,5,success,100,4,4,23,36,0
25055,BSF66F,cal_static,4,pending,97,4,4,0,0,0
1114,BS2DCE,cal_roto,5,success,100,4,4,202,294,0
1123,BSDC91,cal_roto,5,success,100,4,4,143,221,0
25056,BSF66F,cal_static,4,success,98,4,4,27458,28714,0
1115,BS2DCE,cal_roto,5,success,100,4,4,305,435,0
1124,BSDC91,cal_roto,5,success,100,4,4,87,139,0
25057,BSF66F,cal_static,4,pending,97,4,4,0,0,0
1116,BS2DCE,cal_roto,5,success,100,4,4,116,170,0
1125,BSDC91,cal_roto,5,success,100,4,4,35,55,0
25058,BSF66F,cal_static,4,success,98,4,4,1210212,1211281,0
1117,BS2DCE,cal_roto,5,success,100,4,4,183,267,0
1126,BSDC91,cal_roto,5,success,100,4,4,62,91,0
25059,BSF66F,cal_static,4,pending,97,4,4,0,0,0
1118,BS2DCE,cal_roto,5,success,100,4,4,150,210,0
1127,BSDC91,cal_roto,5,success,100,4,4,56,75,0
25060,BSF66F,cal_static,4,success,98,4,4,69957,71215,0
1119,BS2DCE,cal_roto,5,success,100,4,4,91,132,0
1128,BSDC91,cal_roto,5,success,100,4,4,79,95,0
25061,BSF66F,cal_static,4,pending,97,4,4,0,0,0
1120,BS2DCE,cal_roto,5,success,100,4,4,165,230,0
1129,BSDC91,cal_roto,5,success,100,4,4,47,57,0
25062,BSF66F,cal_static,4,success,98,4,4,156906,158113,0
1121,BS2DCE,cal_roto,5,success,100,4,4,149,196,0
1130,BSDC91,cal_roto,5,success,100,4,4,60,75,0
25063,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1122,BS2DCE,cal_roto,5,success,100,4,4,161,197,0
1131,BSDC91,cal_roto,5,success,100,4,4,44,51,0
25064,BSF66F,cal_static,4,success,99,4,4,274661,275768,0
1123,BS2DCE,cal_roto,5,success,100,4,4,134,164,0
1132,BSDC91,cal_roto,5,success,100,4,4,201,305,0
25065,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1124,BS2DCE,cal_roto,5,success,100,4,4,145,182,0
1133,BSDC91,cal_roto,5,success,100,4,4,72,101,0
25066,BSF66F,cal_static,4,success,99,4,4,3,5,0
1125,BS2DCE,cal_roto,5,success,100,4,4,273,398,0
1134,BSDC91,cal_roto,5,success,100,4,4,126,184,0
25067,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1126,BS2DCE,cal_roto,5,success,100,4,4,281,412,0
1135,BSDC91,cal_roto,5,success,100,4,4,135,179,0
1127,BS2DCE,cal_roto,5,success,100,4,4,200,302,0
1136,BSDC91,cal_roto,5,success,100,4,4,81,117,0
25068,BSF66F,cal_static,4,success,99,4,4,292739,293846,0
25069,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1128,BS2DCE,cal_roto,5,success,100,4,4,145,223,0
1137,BSDC91,cal_roto,5,success,100,4,4,119,187,0
1129,BS2DCE,cal_roto,5,success,100,4,4,108,167,0
25070,BSF66F,cal_static,4,success,99,4,4,1944480,1945504,0
1138,BSDC91,cal_roto,5,success,100,4,4,76,117,0
25071,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1130,BS2DCE,cal_roto,5,success,100,4,4,93,141,0
1139,BSDC91,cal_roto,5,success,100,4,4,13,20,0
25072,BSF66F,cal_static,4,success,99,4,4,2289355,2290357,0
1131,BS2DCE,cal_roto,5,success,100,4,4,2,3,0
1140,BSDC91,cal_roto,5,success,100,4,4,95,150,0
25073,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1132,BS2DCE,cal_roto,5,success,100,4,4,151,225,0
1141,BSDC91,cal_roto,5,success,100,4,4,160,252,0
25074,BSF66F,cal_static,4,success,99,4,4,7,9,0
1133,BS2DCE,cal_roto,5,success,100,4,4,298,421,0
1142,BSDC91,cal_roto,5,success,100,4,4,31,46,0
25075,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1134,BS2DCE,cal_roto,5,success,100,4,4,161,222,0
1143,BSDC91,cal_roto,5,success,100,4,4,8,13,0
1135,BS2DCE,cal_roto,5,success,100,4,4,190,274,0
1144,BSDC91,cal_roto,5,success,100,4,4,29,46,0
25076,BSF66F,cal_static,4,success,99,4,4,348979,350039,0
25077,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1136,BS2DCE,cal_roto,5,success,100,4,4,311,434,0
1145,BSDC91,cal_roto,5,success,100,4,4,88,140,0
25078,BSF66F,cal_static,4,success,99,4,4,95628,96797,0
1137,BS2DCE,cal_roto,5,success,100,4,4,129,191,0
1146,BSDC91,cal_roto,5,success,100,4,4,12,19,0
25079,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1138,BS2DCE,cal_roto,5,success,100,4,4,182,268,0
1147,BSDC91,cal_roto,5,success,100,4,4,102,148,0
25080,BSF66F,cal_static,4,success,100,4,4,334574,335689,0
1139,BS2DCE,cal_roto,5,success,100,4,4,170,227,0
1148,BSDC91,cal_roto,5,success,100,4,4,70,82,0
25081,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1140,BS2DCE,cal_roto,5,success,100,4,4,199,284,0
1149,BSDC91,cal_roto,5,success,100,4,4,19,24,0
25082,BSF66F,cal_static,4,success,100,4,4,1252942,1253994,0
1141,BS2DCE,cal_roto,5,success,100,4,4,153,215,0
1150,BSDC91,cal_roto,5,success,100,4,4,22,26,0
25083,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1142,BS2DCE,cal_roto,5,success,100,4,4,155,198,0
1151,BSDC91,cal_roto,5,success,100,4,4,28,35,0
25084,BSF66F,cal_static,4,success,100,4,4,831,1255,0
1143,BS2DCE,cal_roto,5,success,100,4,4,137,160,0
1152,BSDC91,cal_roto,5,success,100,4,4,49,59,0
25085,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1144,BS2DCE,cal_roto,5,success,100,4,4,194,237,0
1153,BSDC91,cal_roto,5,success,100,4,4,46,63,0
25086,BSF66F,cal_static,4,success,100,4,4,436537,437626,0
1145,BS2DCE,cal_roto,5,success,100,4,4,220,312,0
1154,BSDC91,cal_roto,5,success,100,4,4,146,205,0
25087,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1146,BS2DCE,cal_roto,5,success,100,4,4,282,411,0
1155,BSDC91,cal_roto,5,success,100,4,4,192,281,0
25088,BSF66F,cal_static,4,success,100,4,4,42231,43422,0
1147,BS2DCE,cal_roto,5,success,100,4,4,235,348,0
1156,BSDC91,cal_roto,5,success,100,4,4,146,229,0
25089,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1148,BS2DCE,cal_roto,5,success,100,4,4,220,313,0
1157,BSDC91,cal_roto,5,success,100,4,4,129,203,0
25090,BSF66F,cal_static,4,success,100,4,4,576290,577383,0
1149,BS2DCE,cal_roto,5,success,100,4,4,146,225,0
1158,BSDC91,cal_roto,5,success,100,4,4,131,185,0
25091,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1150,BS2DCE,cal_roto,5,success,100,4,4,83,123,0
1159,BSDC91,cal_roto,5,success,100,4,4,21,34,0
25092,BSF66F,cal_static,4,success,100,4,4,356062,357199,0
1151,BS2DCE,cal_roto,5,success,100,4,4,23,32,0
1160,BSDC91,cal_roto,5,success,100,4,4,149,234,0
25093,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1152,BS2DCE,cal_roto,5,success,100,4,4,52,81,0
1161,BSDC91,cal_roto,5,success,100,4,4,51,81,0
1153,BS2DCE,cal_roto,5,success,100,4,4,201,293,0
25094,BSF66F,cal_static,4,success,100,4,4,10,12,0
1162,BSDC91,cal_roto,5,success,100,4,4,153,245,0
25095,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1154,BS2DCE,cal_roto,5,success,100,4,4,257,350,0
1163,BSDC91,cal_roto,5,success,100,4,4,29,43,0
25096,BSF66F,cal_static,4,success,100,4,4,38638,39846,0
1155,BS2DCE,cal_roto,5,success,100,4,4,198,278,0
1164,BSDC91,cal_roto,5,success,100,4,4,13,20,0
25097,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1156,BS2DCE,cal_roto,5,success,100,4,4,208,293,0
1165,BSDC91,cal_roto,5,success,100,4,4,44,71,0
25098,BSF66F,cal_static,4,success,100,4,4,2659,3459,0
1157,BS2DCE,cal_roto,5,success,100,4,4,103,156,0
1166,BSDC91,cal_roto,5,success,100,4,4,51,81,0
25099,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1158,BS2DCE,cal_roto,5,success,100,4,4,153,225,0
1167,BSDC91,cal_roto,5,success,100,4,4,26,41,0
25100,BSF66F,cal_static,4,pending,99,4,3,0,0,0
1159,BS2DCE,cal_roto,5,success,100,4,4,151,218,0
1168,BSDC91,cal_roto,5,success,100,4,4,78,94,0
25101,BSF66F,cal_static,4,pending,98,4,2,0,0,0
1160,BS2DCE,cal_roto,5,success,100,4,4,145,196,0
1169,BSDC91,cal_roto,5,success,100,4,4,51,64,0
25102,BSF66F,cal_static,4,success,99,4,4,16345870,16346802,0
1161,BS2DCE,cal_roto,5,success,100,4,4,190,266,0
1170,BSDC91,cal_roto,5,success,100,4,4,65,70,0
25103,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1162,BS2DCE,cal_roto,5,success,100,4,4,146,210,0
1171,BSDC91,cal_roto,5,success,100,4,4,69,83,0
25104,BSF66F,cal_static,4,success,99,4,4,4,5,0
1163,BS2DCE,cal_roto,5,success,100,4,4,151,168,0
1172,BSDC91,cal_roto,5,success,100,4,4,27,32,0
25105,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1164,BS2DCE,cal_roto,5,success,100,4,4,151,188,0
1173,BSDC91,cal_roto,5,success,100,4,4,50,69,0
25106,BSF66F,cal_static,4,success,99,4,4,2485,3280,0
1165,BS2DCE,cal_roto,5,success,100,4,4,196,276,0
1174,BSDC91,cal_roto,5,success,100,4,4,64,86,0
25107,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1166,BS2DCE,cal_roto,5,success,100,4,4,310,440,0
1175,BSDC91,cal_roto,5,success,100,4,4,186,285,0
25108,BSF66F,cal_static,4,success,99,4,4,44059,45256,0
1167,BS2DCE,cal_roto,5,success,100,4,4,220,329,0
1176,BSDC91,cal_roto,5,success,100,4,4,140,219,0
25109,BSF66F,cal_static,4,pending,98,4,4,0,0,0
1168,BS2DCE,cal_roto,5,success,100,4,4,258,384,0
1177,BSDC91,cal_roto,5,success,100,4,4,111,159,0
1169,BS2DCE,cal_roto,5,success,100,4,4,155,239,0
25110,BSF66F,cal_static,4,success,99,4,4,62432,63657,0
