sweep,peer_name,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
24952,BSF66F,cal_static,4,B,ok,ok,2508,2508,0,0,100,100
24952,BSF66F,cal_static,4,C,ok,ok,2142,2142,0,0,100,100
24952,BSF66F,cal_static,4,D,ok,ok,3487,3487,0,0,100,100
1024,BS2DCE,cal_roto,5,A,ok,ok,3451,3451,0,0,100,100
1024,BS2DCE,cal_roto,5,B,ok,ok,2151,2151,0,0,100,100
1024,BS2DCE,cal_roto,5,C,ok,ok,2928,2928,0,0,100,100
1024,BS2DCE,cal_roto,5,D,ok,ok,3516,3516,0,0,100,100
1024,BS2DCE,cal_roto,5,E,ok,ok,3179,3179,0,0,100,100
1024,BS2DCE,cal_roto,5,F,ok,ok,1937,1937,0,0,100,100
1024,BS2DCE,cal_roto,5,G,ok,ok,2604,2604,0,0,100,100
24953,BSF66F,cal_static,4,E,ok,ok,3852,3852,0,0,100,100
24953,BSF66F,cal_static,4,F,ok,ok,2362,2362,0,0,100,100
24953,BSF66F,cal_static,4,G,ok,ok,1967,1967,0,0,100,100
24953,BSF66F,cal_static,4,H,ok,ok,3508,3508,0,0,100,100
24954,BSF66F,cal_static,4,A,ok,ok,3658,3658,0,0,100,100
24954,BSF66F,cal_static,4,B,ok,ok,2474,2474,0,0,100,100
24954,BSF66F,cal_static,4,C,ok,ok,2138,2138,0,0,100,100
24954,BSF66F,cal_static,4,D,ok,ok,3544,3544,0,0,100,100
24955,BSF66F,cal_static,4,E,ok,ok,3800,3800,0,0,100,100
24955,BSF66F,cal_static,4,F,ok,ok,2372,2372,0,0,100,100
24955,BSF66F,cal_static,4,G,ok,ok,2024,2024,0,0,100,100
24955,BSF66F,cal_static,4,H,ok,ok,3500,3500,0,0,100,100
24956,BSF66F,cal_static,4,A,ok,ok,3681,3681,0,0,100,100
24956,BSF66F,cal_static,4,B,ok,ok,2557,2557,0,0,100,100
24956,BSF66F,cal_static,4,C,ok,ok,2167,2167,0,0,100,100
24956,BSF66F,cal_static,4,D,ok,ok,3498,3498,0,0,100,100
1028,BSDC91,cal_roto,5,A,ok,ok,2924,2924,0,0,100,100
1028,BSDC91,cal_roto,5,B,ok,ok,3654,3654,0,0,100,100
1028,BSDC91,cal_roto,5,C,ok,ok,2894,2894,0,0,100,100
1028,BSDC91,cal_roto,5,D,ok,ok,2762,2762,0,0,100,100
1028,BSDC91,cal_roto,5,E,ok,ok,2919,2919,0,0,100,100
1028,BSDC91,cal_roto,5,F,ok,ok,3315,3315,0,0,100,100
1028,BSDC91,cal_roto,5,G,ok,ok,2537,2537,0,0,100,100
24957,BSF66F,cal_static,4,E,ok,ok,3809,3809,0,0,100,100
24957,BSF66F,cal_static,4,F,ok,ok,2360,2360,0,0,100,100
24957,BSF66F,cal_static,4,G,ok,ok,1983,1983,0,0,100,100
24957,BSF66F,cal_static,4,H,ok,ok,3512,3512,0,0,100,100
1025,BS2DCE,cal_roto,5,A,ok,ok,2755,2755,0,0,100,100
1025,BS2DCE,cal_roto,5,B,ok,ok,3037,3037,0,0,100,100
1025,BS2DCE,cal_roto,5,C,ok,ok,3073,3073,0,0,100,100
1025,BS2DCE,cal_roto,5,D,ok,ok,3395,3395,0,0,100,100
1025,BS2DCE,cal_roto,5,E,ok,ok,2887,2887,0,0,100,100
1025,BS2DCE,cal_roto,5,F,ok,ok,2731,2731,0,0,100,100
1025,BS2DCE,cal_roto,5,G,ok,ok,3209,3209,0,0,100,100
24958,BSF66F,cal_static,4,A,ok,ok,3701,3701,0,0,100,100
24958,BSF66F,cal_static,4,B,ok,ok,2472,2472,0,0,100,100
24958,BSF66F,cal_static,4,C,ok,ok,2175,2175,0,0,100,100
24958,BSF66F,cal_static,4,D,ok,ok,3519,3519,0,0,100,100
24959,BSF66F,cal_static,4,E,ok,ok,3833,3833,0,0,100,100
24959,BSF66F,cal_static,4,F,ok,ok,2365,2365,0,0,100,100
24959,BSF66F,cal_static,4,G,ok,ok,1998,1998,0,0,100,100
24959,BSF66F,cal_static,4,H,ok,ok,3499,3499,0,0,100,100
24960,BSF66F,cal_static,4,A,ok,ok,3708,3708,0,0,100,100
24960,BSF66F,cal_static,4,B,ok,ok,2515,2515,0,0,100,100
24960,BSF66F,cal_static,4,C,ok,ok,2136,2136,0,0,100,100
24960,BSF66F,cal_static,4,D,ok,ok,3501,3501,0,0,100,100
1029,BSDC91,cal_roto,5,A,ok,ok,3319,3319,0,0,100,100
1029,BSDC91,cal_roto,5,B,ok,ok,2477,2477,0,0,100,100
1029,BSDC91,cal_roto,5,C,ok,ok,2610,2610,0,0,100,100
1029,BSDC91,cal_roto,5,D,ok,ok,3373,3373,0,0,100,100
1029,BSDC91,cal_roto,5,E,ok,ok,3302,3302,0,0,100,100
1029,BSDC91,cal_roto,5,F,ok,ok,2156,2156,0,0,100,100
1029,BSDC91,cal_roto,5,G,ok,ok,2354,2354,0,0,100,100
1029,BSDC91,cal_roto,5,H,ok,ok,3357,3357,0,0,100,100
24961,BSF66F,cal_static,4,E,ok,ok,3878,3878,0,0,100,100
24961,BSF66F,cal_static,4,F,ok,ok,2393,2393,0,0,100,100
24961,BSF66F,cal_static,4,G,ok,ok,1986,1986,0,0,100,100
24961,BSF66F,cal_static,4,H,ok,ok,3506,3506,0,0,100,100
1030,BSDC91,cal_roto,5,A,ok,ok,3148,3148,0,0,100,100
1030,BSDC91,cal_roto,5,B,reject,raw_outlier,1865,2477,0,0,75,75
1030,BSDC91,cal_roto,5,C,ok,ok,3027,3027,0,0,100,100
1030,BSDC91,cal_roto,5,D,ok,ok,3799,3799,0,0,100,100
1030,BSDC91,cal_roto,5,E,timeout,rx_timeout,0,3302,0,0,75,75
1030,BSDC91,cal_roto,5,F,reject,raw_outlier,1643,2156,0,0,75,75
1030,BSDC91,cal_roto,5,G,reject,raw_outlier,2811,2354,0,0,75,75
24962,BSF66F,cal_static,4,A,ok,ok,3688,3688,0,0,100,100
24962,BSF66F,cal_static,4,B,ok,ok,2528,2528,0,0,100,100
24962,BSF66F,cal_static,4,C,ok,ok,2145,2145,0,0,100,100
24962,BSF66F,cal_static,4,D,ok,ok,3519,3519,0,0,100,100
1026,BS2DCE,cal_roto,5,A,ok,ok,2921,2921,0,0,100,100
1026,BS2DCE,cal_roto,5,B,ok,ok,2620,2620,0,0,100,100
1026,BS2DCE,cal_roto,5,C,ok,ok,3005,3005,0,0,100,100
1026,BS2DCE,cal_roto,5,D,ok,ok,2827,2827,0,0,100,100
1026,BS2DCE,cal_roto,5,E,ok,ok,2679,2679,0,0,100,100
1026,BS2DCE,cal_roto,5,F,ok,ok,2723,2723,0,0,100,100
1026,BS2DCE,cal_roto,5,G,ok,ok,3096,3096,0,0,100,100
1026,BS2DCE,cal_roto,5,H,ok,ok,2904,2904,0,0,100,100
24963,BSF66F,cal_static,4,E,ok,ok,3862,3862,0,0,100,100
24963,BSF66F,cal_static,4,F,ok,ok,2303,2303,0,0,100,100
24963,BSF66F,cal_static,4,G,ok,ok,1992,1992,0,0,100,100
24963,BSF66F,cal_static,4,H,ok,ok,3512,3512,0,0,100,100
1031,BSDC91,cal_roto,5,A,ok,ok,3085,3085,0,0,100,100
1031,BSDC91,cal_roto,5,B,reject,raw_outlier,1877,2477,0,0,60,60
1031,BSDC91,cal_roto,5,C,ok,ok,3356,3356,0,0,100,100
1031,BSDC91,cal_roto,5,D,ok,ok,3746,3746,0,0,100,100
1031,BSDC91,cal_roto,5,E,ok,ok,3065,3065,0,0,80,80
1031,BSDC91,cal_roto,5,F,ok,ok,2016,2016,0,0,80,80
1031,BSDC91,cal_roto,5,G,reject,raw_outlier,2978,2354,0,0,60,60
1027,BS2DCE,cal_roto,5,A,ok,ok,2960,2960,0,0,100,100
1027,BS2DCE,cal_roto,5,B,reject,raw_outlier,3079,2620,0,0,75,75
1027,BS2DCE,cal_roto,5,C,ok,ok,2867,2867,0,0,100,100
1027,BS2DCE,cal_roto,5,D,ok,ok,2842,2842,0,0,100,100
1027,BS2DCE,cal_roto,5,E,ok,ok,2834,2834,0,0,100,100
24964,BSF66F,cal_static,4,A,ok,ok,3667,3667,0,0,100,100
24964,BSF66F,cal_static,4,B,ok,ok,2541,2541,0,0,100,100
24964,BSF66F,cal_static,4,C,ok,ok,2152,2152,0,0,100,100
1027,BS2DCE,cal_roto,5,F,ok,ok,3008,3008,0,0,100,100
1027,BS2DCE,cal_roto,5,G,reject,raw_outlier,2602,3096,0,0,75,75
24964,BSF66F,cal_static,4,D,ok,ok,3517,3517,0,0,100,100
24965,BSF66F,cal_static,4,E,ok,ok,3806,3806,0,0,100,100
24965,BSF66F,cal_static,4,F,ok,ok,2335,2335,0,0,100,100
24965,BSF66F,cal_static,4,G,ok,ok,1963,1963,0,0,100,100
24965,BSF66F,cal_static,4,H,ok,ok,3482,3482,0,0,100,100
1032,BSDC91,cal_roto,5,A,ok,ok,2944,2944,0,0,100,100
1032,BSDC91,cal_roto,5,B,ok,ok,2645,2645,0,0,66,66
1032,BSDC91,cal_roto,5,C,ok,ok,3182,3182,0,0,100,100
1032,BSDC91,cal_roto,5,D,ok,ok,3610,3610,0,0,100,100
1032,BSDC91,cal_roto,5,E,ok,ok,3064,3064,0,0,83,83
1032,BSDC91,cal_roto,5,F,ok,ok,2276,2276,0,0,83,83
1032,BSDC91,cal_roto,5,G,reject,raw_outlier,3278,2354,0,0,50,50
1032,BSDC91,cal_roto,5,H,ok,ok,3747,3747,0,0,100,100
24966,BSF66F,cal_static,4,A,ok,ok,3657,3657,0,0,100,100
24966,BSF66F,cal_static,4,B,ok,ok,2530,2530,0,0,100,100
24966,BSF66F,cal_static,4,C,ok,ok,2156,2156,0,0,100,100
24966,BSF66F,cal_static,4,D,ok,ok,3486,3486,0,0,100,100
1028,BS2DCE,cal_roto,5,A,ok,ok,3054,3054,0,0,100,100
1028,BS2DCE,cal_roto,5,B,ok,ok,2932,2932,0,0,80,80
1028,BS2DCE,cal_roto,5,C,ok,ok,2894,2894,0,0,100,100
1028,BS2DCE,cal_roto,5,D,ok,ok,2976,2976,0,0,100,100
1028,BS2DCE,cal_roto,5,E,ok,ok,2980,2980,0,0,100,100
1033,BSDC91,cal_roto,5,A,reject,raw_outlier,2458,2944,0,0,85,85
1033,BSDC91,cal_roto,5,B,ok,ok,2359,2359,0,0,71,71
1033,BSDC91,cal_roto,5,C,ok,ok,3059,3059,0,0,100,100
1033,BSDC91,cal_roto,5,D,reject,raw_outlier,3103,3610,0,0,85,85
1033,BSDC91,cal_roto,5,E,reject,raw_outlier,2577,3064,0,0,71,71
1028,BS2DCE,cal_roto,5,F,ok,ok,2767,2767,0,0,100,100
1033,BSDC91,cal_roto,5,F,ok,ok,2459,2459,0,0,85,85
1033,BSDC91,cal_roto,5,G,reject,raw_outlier,3271,2354,0,0,42,42
1028,BS2DCE,cal_roto,5,G,reject,raw_outlier,2601,3096,0,0,60,60
24967,BSF66F,cal_static,4,E,ok,ok,3883,3883,0,0,100,100
24967,BSF66F,cal_static,4,F,ok,ok,2313,2313,0,0,100,100
24967,BSF66F,cal_static,4,G,ok,ok,2043,2043,0,0,100,100
24967,BSF66F,cal_static,4,H,ok,ok,3486,3486,0,0,100,100
1034,BSDC91,cal_roto,5,A,reject,raw_outlier,2312,2944,0,0,75,75
1034,BSDC91,cal_roto,5,B,ok,ok,2508,2508,0,0,75,75
1034,BSDC91,cal_roto,5,C,ok,ok,3105,3105,0,0,100,100
1034,BSDC91,cal_roto,5,D,reject,raw_outlier,2909,3610,0,0,75,75
1034,BSDC91,cal_roto,5,E,reject,raw_outlier,2597,3064,0,0,62,62
1034,BSDC91,cal_roto,5,F,ok,ok,2539,2539,0,0,87,87
1034,BSDC91,cal_roto,5,G,reject,raw_outlier,3274,2354,0,0,37,37
24968,BSF66F,cal_static,4,A,ok,ok,3704,3704,0,0,100,100
24968,BSF66F,cal_static,4,B,ok,ok,2468,2468,0,0,100,100
24968,BSF66F,cal_static,4,C,ok,ok,2151,2151,0,0,100,100
24968,BSF66F,cal_static,4,D,ok,ok,3492,3492,0,0,100,100
1035,BSDC91,cal_roto,5,A,ok,ok,2570,2570,0,0,77,77
1035,BSDC91,cal_roto,5,B,ok,ok,2718,2718,0,0,77,77
1029,BS2DCE,cal_roto,5,A,ok,ok,3240,3240,0,0,100,100
1035,BSDC91,cal_roto,5,C,ok,ok,3006,3006,0,0,100,100
1035,BSDC91,cal_roto,5,D,reject,raw_outlier,2744,3610,0,0,66,66
1035,BSDC91,cal_roto,5,E,reject,raw_outlier,2551,3064,0,0,55,55
1035,BSDC91,cal_roto,5,F,ok,ok,2760,2760,0,0,88,88
1029,BS2DCE,cal_roto,5,B,ok,ok,2508,2508,0,0,83,83
1029,BS2DCE,cal_roto,5,C,ok,ok,2706,2706,0,0,100,100
1029,BS2DCE,cal_roto,5,D,ok,ok,3350,3350,0,0,100,100
1029,BS2DCE,cal_roto,5,E,ok,ok,3212,3212,0,0,100,100
1035,BSDC91,cal_roto,5,G,reject,raw_outlier,3220,2354,0,0,33,33
1035,BSDC91,cal_roto,5,H,reject,raw_outlier,2909,3747,0,0,66,66
24969,BSF66F,cal_static,4,E,ok,ok,3833,3833,0,0,100,100
24969,BSF66F,cal_static,4,F,ok,ok,2346,2346,0,0,100,100
24969,BSF66F,cal_static,4,G,ok,ok,1993,1993,0,0,100,100
1029,BS2DCE,cal_roto,5,F,ok,ok,2404,2404,0,0,100,100
1029,BS2DCE,cal_roto,5,G,reject,raw_outlier,2493,3096,0,0,50,50
1029,BS2DCE,cal_roto,5,H,ok,ok,3324,3324,0,0,100,100
24969,BSF66F,cal_static,4,H,ok,ok,3492,3492,0,0,100,100
1036,BSDC91,cal_roto,5,A,ok,ok,2542,2542,0,0,80,80
1036,BSDC91,cal_roto,5,B,ok,ok,2722,2722,0,0,80,80
1036,BSDC91,cal_roto,5,C,ok,ok,2956,2956,0,0,100,100
1036,BSDC91,cal_roto,5,D,reject,raw_outlier,2637,3610,0,0,60,60
1036,BSDC91,cal_roto,5,E,ok,ok,2628,2628,0,0,60,60
1036,BSDC91,cal_roto,5,F,ok,ok,2771,2771,0,0,90,90
1036,BSDC91,cal_roto,5,G,reject,raw_outlier,3032,2354,0,0,30,30
24970,BSF66F,cal_static,4,A,ok,ok,3704,3704,0,0,100,100
24970,BSF66F,cal_static,4,B,ok,ok,2522,2522,0,0,100,100
24970,BSF66F,cal_static,4,C,ok,ok,2129,2129,0,0,100,100
24970,BSF66F,cal_static,4,D,ok,ok,3549,3549,0,0,100,100
1037,BSDC91,cal_roto,5,A,ok,ok,2670,2670,0,0,81,81
1037,BSDC91,cal_roto,5,B,ok,ok,2870,2870,0,0,81,81
1037,BSDC91,cal_roto,5,C,ok,ok,3063,3063,0,0,100,100
1037,BSDC91,cal_roto,5,D,reject,raw_outlier,2609,3610,0,0,54,54
1037,BSDC91,cal_roto,5,E,ok,ok,2647,2647,0,0,63,63
24971,BSF66F,cal_static,4,E,ok,ok,3856,3856,0,0,100,100
24971,BSF66F,cal_static,4,F,ok,ok,2379,2379,0,0,100,100
1037,BSDC91,cal_roto,5,F,ok,ok,2856,2856,0,0,90,90
1037,BSDC91,cal_roto,5,G,reject,raw_outlier,2877,2354,0,0,27,27
24971,BSF66F,cal_static,4,G,ok,ok,1964,1964,0,0,100,100
24971,BSF66F,cal_static,4,H,ok,ok,3525,3525,0,0,100,100
1038,BSDC91,cal_roto,5,A,ok,ok,2772,2772,0,0,83,83
1038,BSDC91,cal_roto,5,B,ok,ok,3096,3096,0,0,83,83
1038,BSDC91,cal_roto,5,C,ok,ok,3015,3015,0,0,100,100
1038,BSDC91,cal_roto,5,D,reject,raw_outlier,2784,3610,0,0,50,50
1038,BSDC91,cal_roto,5,E,ok,ok,2915,2915,0,0,66,66
1038,BSDC91,cal_roto,5,F,ok,ok,3265,3265,0,0,91,91
1038,BSDC91,cal_roto,5,G,ok,ok,2764,2764,0,0,33,33
1038,BSDC91,cal_roto,5,H,reject,raw_outlier,2627,3747,0,0,50,50
24972,BSF66F,cal_static,4,A,ok,ok,3674,3674,0,0,100,100
24972,BSF66F,cal_static,4,B,ok,ok,2563,2563,0,0,100,100
24972,BSF66F,cal_static,4,C,ok,ok,2133,2133,0,0,100,100
24972,BSF66F,cal_static,4,D,ok,ok,3514,3514,0,0,100,100
1039,BSDC91,cal_roto,5,A,ok,ok,2844,2844,0,0,84,84
1039,BSDC91,cal_roto,5,B,reject,raw_outlier,3719,3096,0,0,76,76
1039,BSDC91,cal_roto,5,C,ok,ok,2925,2925,0,0,100,100
1039,BSDC91,cal_roto,5,D,reject,raw_outlier,2667,3610,0,0,46,46
1039,BSDC91,cal_roto,5,E,ok,ok,2754,2754,0,0,69,69
1039,BSDC91,cal_roto,5,F,ok,ok,3502,3502,0,0,92,92
1039,BSDC91,cal_roto,5,G,timeout,rx_timeout,0,2764,0,0,30,30
24973,BSF66F,cal_static,4,E,ok,ok,3823,3823,0,0,100,100
24973,BSF66F,cal_static,4,F,ok,ok,2347,2347,0,0,100,100
24973,BSF66F,cal_static,4,G,ok,ok,1989,1989,0,0,100,100
24973,BSF66F,cal_static,4,H,ok,ok,3502,3502,0,0,100,100
1040,BSDC91,cal_roto,5,A,ok,ok,2981,2981,0,0,85,85
1040,BSDC91,cal_roto,5,C,ok,ok,2827,2827,0,0,100,100
1040,BSDC91,cal_roto,5,E,ok,ok,2870,2870,0,0,71,71
1040,BSDC91,cal_roto,5,F,ok,ok,2903,2903,0,0,92,92
1030,BS2DCE,cal_roto,5,A,ok,ok,3584,3584,0,0,100,100
1030,BS2DCE,cal_roto,5,B,ok,ok,2172,2172,0,0,85,85
1030,BS2DCE,cal_roto,5,C,ok,ok,2932,2932,0,0,100,100
1030,BS2DCE,cal_roto,5,D,ok,ok,3554,3554,0,0,100,100
1030,BS2DCE,cal_roto,5,E,ok,ok,3140,3140,0,0,100,100
1030,BS2DCE,cal_roto,5,F,ok,ok,2011,2011,0,0,100,100
1030,BS2DCE,cal_roto,5,G,ok,ok,2676,2676,0,0,57,57
24974,BSF66F,cal_static,4,A,ok,ok,3645,3645,0,0,100,100
24974,BSF66F,cal_static,4,B,ok,ok,2499,2499,0,0,100,100
1041,BSDC91,cal_roto,5,C,ok,ok,2877,2877,0,0,100,100
1041,BSDC91,cal_roto,5,A,timeout,rx_timeout,0,2981,0,0,80,80
24974,BSF66F,cal_static,4,C,ok,ok,2118,2118,0,0,100,100
24974,BSF66F,cal_static,4,D,ok,ok,3504,3504,0,0,100,100
1031,BS2DCE,cal_roto,5,A,ok,ok,2733,2733,0,0,100,100
1031,BS2DCE,cal_roto,5,C,ok,ok,3296,3296,0,0,100,100
1031,BS2DCE,cal_roto,5,F,ok,ok,2564,2564,0,0,100,100
1041,BSDC91,cal_roto,5,E,ok,ok,2890,2890,0,0,73,73
1041,BSDC91,cal_roto,5,F,ok,ok,2764,2764,0,0,93,93
1031,BS2DCE,cal_roto,5,H,ok,ok,3592,3592,0,0,100,100
1042,BSDC91,cal_roto,5,C,ok,ok,2751,2751,0,0,100,100
1042,BSDC91,cal_roto,5,A,ok,ok,3084,3084,0,0,81,81
1042,BSDC91,cal_roto,5,E,ok,ok,2968,2968,0,0,75,75
24975,BSF66F,cal_static,4,E,ok,ok,3832,3832,0,0,100,100
24975,BSF66F,cal_static,4,F,ok,ok,2356,2356,0,0,100,100
24975,BSF66F,cal_static,4,G,ok,ok,1994,1994,0,0,100,100
1042,BSDC91,cal_roto,5,F,ok,ok,2733,2733,0,0,93,93
24975,BSF66F,cal_static,4,H,ok,ok,3495,3495,0,0,100,100
1032,BS2DCE,cal_roto,5,C,ok,ok,3322,3322,0,0,100,100
1032,BS2DCE,cal_roto,5,A,ok,ok,2619,2619,0,0,100,100
1032,BS2DCE,cal_roto,5,F,ok,ok,2587,2587,0,0,100,100
1032,BS2DCE,cal_roto,5,H,ok,ok,3525,3525,0,0,100,100
1043,BSDC91,cal_roto,5,A,ok,ok,3185,3185,0,0,82,82
1043,BSDC91,cal_roto,5,C,ok,ok,2685,2685,0,0,100,100
1043,BSDC91,cal_roto,5,E,ok,ok,3050,3050,0,0,76,76
1043,BSDC91,cal_roto,5,F,ok,ok,2731,2731,0,0,94,94
24976,BSF66F,cal_static,4,A,ok,ok,3693,3693,0,0,100,100
24976,BSF66F,cal_static,4,B,ok,ok,2496,2496,0,0,100,100
24976,BSF66F,cal_static,4,C,ok,ok,2198,2198,0,0,100,100
24976,BSF66F,cal_static,4,D,ok,ok,3511,3511,0,0,100,100
1033,BS2DCE,cal_roto,5,C,ok,ok,3148,3148,0,0,100,100
1033,BS2DCE,cal_roto,5,A,ok,ok,2491,2491,0,0,100,100
1033,BS2DCE,cal_roto,5,F,ok,ok,2381,2381,0,0,100,100
1033,BS2DCE,cal_roto,5,H,ok,ok,3283,3283,0,0,100,100
1044,BSDC91,cal_roto,5,A,ok,ok,3271,3271,0,0,83,83
1044,BSDC91,cal_roto,5,C,ok,ok,2562,2562,0,0,100,100
1044,BSDC91,cal_roto,5,E,ok,ok,3114,3114,0,0,77,77
1044,BSDC91,cal_roto,5,F,ok,ok,2696,2696,0,0,94,94
24977,BSF66F,cal_static,4,E,ok,ok,3827,3827,0,0,100,100
24977,BSF66F,cal_static,4,F,ok,ok,2370,2370,0,0,100,100
24977,BSF66F,cal_static,4,G,ok,ok,2004,2004,0,0,100,100
24977,BSF66F,cal_static,4,H,ok,ok,3510,3510,0,0,100,100
1034,BS2DCE,cal_roto,5,A,ok,ok,2512,2512,0,0,100,100
1034,BS2DCE,cal_roto,5,C,ok,ok,2990,2990,0,0,100,100
1034,BS2DCE,cal_roto,5,F,ok,ok,2537,2537,0,0,100,100
1034,BS2DCE,cal_roto,5,H,ok,ok,3186,3186,0,0,100,100
1045,BSDC91,cal_roto,5,A,ok,ok,3326,3326,0,0,84,84
1045,BSDC91,cal_roto,5,C,ok,ok,2625,2625,0,0,100,100
1045,BSDC91,cal_roto,5,F,ok,ok,2320,2320,0,0,94,94
1045,BSDC91,cal_roto,5,E,ok,ok,3303,3303,0,0,78,78
24978,BSF66F,cal_static,4,A,ok,ok,3725,3725,0,0,100,100
24978,BSF66F,cal_static,4,B,ok,ok,2514,2514,0,0,100,100
24978,BSF66F,cal_static,4,C,ok,ok,2111,2111,0,0,100,100
1035,BS2DCE,cal_roto,5,A,ok,ok,2989,2989,0,0,100,100
1035,BS2DCE,cal_roto,5,C,ok,ok,3134,3134,0,0,100,100
24978,BSF66F,cal_static,4,D,ok,ok,3502,3502,0,0,100,100
1035,BS2DCE,cal_roto,5,F,ok,ok,2766,2766,0,0,100,100
1035,BS2DCE,cal_roto,5,H,ok,ok,2998,2998,0,0,100,100
1046,BSDC91,cal_roto,5,A,ok,ok,3853,3853,0,0,85,85
1046,BSDC91,cal_roto,5,C,ok,ok,2724,2724,0,0,100,100
1046,BSDC91,cal_roto,5,E,ok,ok,3242,3242,0,0,80,80
1046,BSDC91,cal_roto,5,F,ok,ok,2028,2028,0,0,95,95
24979,BSF66F,cal_static,4,E,ok,ok,3848,3848,0,0,100,100
24979,BSF66F,cal_static,4,F,ok,ok,2381,2381,0,0,100,100
24979,BSF66F,cal_static,4,G,ok,ok,1966,1966,0,0,100,100
24979,BSF66F,cal_static,4,H,ok,ok,3528,3528,0,0,100,100
1036,BS2DCE,cal_roto,5,A,ok,ok,2999,2999,0,0,100,100
1036,BS2DCE,cal_roto,5,C,ok,ok,3018,3018,0,0,100,100
1036,BS2DCE,cal_roto,5,F,ok,ok,2640,2640,0,0,100,100
1036,BS2DCE,cal_roto,5,H,ok,ok,2861,2861,0,0,100,100
1047,BSDC91,cal_roto,5,A,ok,ok,3505,3505,0,0,85,85
1047,BSDC91,cal_roto,5,C,ok,ok,2753,2753,0,0,100,100
1047,BSDC91,cal_roto,5,E,ok,ok,3211,3211,0,0,80,80
1047,BSDC91,cal_roto,5,F,ok,ok,1905,1905,0,0,95,95
24980,BSF66F,cal_static,4,A,ok,ok,3702,3702,0,0,100,100
24980,BSF66F,cal_static,4,B,ok,ok,2485,2485,0,0,100,100
24980,BSF66F,cal_static,4,C,ok,ok,2120,2120,0,0,100,100
24980,BSF66F,cal_static,4,D,ok,ok,3509,3509,0,0,100,100
1037,BS2DCE,cal_roto,5,A,ok,ok,2795,2795,0,0,100,100
1037,BS2DCE,cal_roto,5,C,ok,ok,2935,2935,0,0,100,100
1037,BS2DCE,cal_roto,5,H,ok,ok,2766,2766,0,0,100,100
1037,BS2DCE,cal_roto,5,F,ok,ok,2774,2774,0,0,100,100
1048,BSDC91,cal_roto,5,A,ok,ok,3510,3510,0,0,86,86
1048,BSDC91,cal_roto,5,C,ok,ok,2789,2789,0,0,100,100
1048,BSDC91,cal_roto,5,E,ok,ok,3040,3040,0,0,81,81
