experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,R
X_A3_U4_P5_L16_I6_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,120.02496791019213,186.53723371464898,202.22074744597958,130.40111261012294,40661,71.83409541961417,137.09175143254808,154.30865696257598,89.12996412310267,40661,73.9277976887733,153.4938670660556,171.37798281448886,95.1856063980915,116.4373948814046,190.76062285814476,126.92718236116944,127.61028384734712,154.64650802192358,85.66227768491282,60.81246234276556,50.925933356838755,76.30714418420209,48.59783693227391,81.81055954940135,nan,nan,nan,1.0,0.11144642497009882,0.5661577789705203,nan,nan,17,356.08823334962193,43.5664062469657,887.2612257453511,A3,U4,P5,L16,I6,T4,position_fusion,S00,X_A3_U4_P5_L16_I6_T4__S00,FUSION_UNRANKED,470.6189483185916,1023,
X_A3_U4_P5_L16_I8_T3,loose_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,121.57222877040095,188.6842209249272,204.43088910853123,131.6959610679614,40661,72.44853986107785,138.45648928641006,157.33534556553533,90.15910264538043,40661,75.54315624967683,153.34512399995174,171.32788255601577,95.99563725395942,118.47358138313217,197.18050985927772,129.12347719035665,130.4099861981078,155.74491849638684,83.95836539722409,59.674150294919386,51.53354989450861,77.6762546704837,51.85718035607172,88.42779416017396,nan,nan,nan,1.0,0.06852546133144025,0.3702046934345211,nan,nan,17,350.35478431016173,44.24228781300195,903.312816443456,A3,U4,P5,L16,I8,T3,position_fusion,S00,X_A3_U4_P5_L16_I8_T3__S00,FUSION_UNRANKED,471.5732361862344,1024,
X_A3_U4_P5_L16_I6_T3,loose_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,120.99103423677354,188.19056922017353,204.11838941046923,131.4837626577575,40661,72.16317947196396,138.71063456158498,156.382174004375,90.03501364454968,40661,74.51275196825804,154.4761990562506,172.38655428214702,95.82106324116458,117.71250080822196,193.33775226063887,127.55159094763181,130.11205338312467,156.07372586680373,86.7617184676384,61.01179286810556,50.00983099332359,77.40932190381756,48.21098976778025,82.372164957199,nan,nan,nan,1.0,0.07158299554655415,0.3980451762551297,nan,nan,17,353.5699034346194,44.15682669702551,851.9103397077009,A3,U4,P5,L16,I6,T3,position_fusion,S00,X_A3_U4_P5_L16_I6_T3__S00,FUSION_UNRANKED,471.5843074555879,1025,
X_A3_U4_P5_L16_I4_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,120.70279540343938,188.66014348406247,203.97648805793034,131.56513917224743,40661,71.27443469684677,138.15749682931198,156.18137563590125,89.69616729072271,40661,76.10711540863053,153.61732233681892,170.97331219070225,96.24958918752597,115.9519660450583,196.83622340826278,127.6761872056816,131.7114652632511,156.1318330767795,85.57338126907361,55.99311967436446,49.474600737257106,77.2295542157336,51.52219567678614,89.28265803657835,nan,nan,nan,1.0,0.09210937730466306,0.46778524234949226,nan,nan,17,356.34225017080064,43.983867822751904,800.6173850735678,A3,U4,P5,L16,I4,T4,position_fusion,S00,X_A3_U4_P5_L16_I4_T4__S00,FUSION_UNRANKED,472.8989964653775,1026,
X_A3_U4_P5_L16_I7_T3,loose_ekf_screening,Phase4 L16 single-I position row.,34,17,40661,123.03847969793065,191.68724154887641,207.56234279429592,133.5571538140959,40661,73.12270100159878,140.81864935378644,159.69995716075545,91.42274439069921,40661,75.7022716756976,156.45792874048334,173.58461406122683,97.36218538526622,120.12504803361753,198.2709984339385,130.1098569308189,135.5447734935205,159.3489608022283,86.30675909777614,60.10209046670226,48.79847527045695,78.40443670271512,49.441694210735704,84.8096870353105,nan,nan,nan,1.0,0.047150278891377975,0.26911787270296705,nan,nan,17,352.89770812143644,44.373963674368895,894.1698446694703,A3,U4,P5,L16,I7,T3,position_fusion,S00,X_A3_U4_P5_L16_I7_T3__S00,FUSION_UNRANKED,475.75051152185904,1027,
X_A0_U4_P5_L16_I2_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,95.59639980819733,150.37293246157196,165.90695773946962,106.10571961727126,40661,64.41073479121606,124.11917594579066,143.2950389678629,81.53432557234551,40661,51.77992390989266,108.57124914318251,123.89073442231415,67.90123333903257,90.07290226726315,150.95234899598944,101.04015965228402,119.01461193768966,110.74808425460785,74.51186687983011,64.76655153200912,42.85451361514174,55.36025837432453,60.7206579474025,105.26696804573888,nan,nan,nan,1.0,0.07655413013917636,0.3558365618747813,nan,nan,17,439.80799805577897,47.68649307702111,1065.2093298111006,A0,U4,P5,L16,I2,T4,position_fusion,S00,X_A0_U4_P5_L16_I2_T4__S00,FUSION_UNRANKED,478.4519522420669,1028,
X_A0_U4_P5_L16_I8_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,95.04338550570026,147.87719702072286,162.4041531646584,104.77109076216674,40661,63.74596481167166,121.82436839926727,139.46727741135476,79.94832983075835,40661,50.746354394133164,109.61664103608359,124.66051521525242,67.71444466852293,90.90251071583714,151.88387766192432,100.47849580024649,116.69265851366768,114.23846549988846,73.53434174288854,59.855427044183784,42.53876165335544,54.575862222942504,60.55941832565814,106.59043204526391,nan,nan,nan,1.0,0.09060828926595751,0.4159984249441104,nan,nan,17,439.77526736004853,47.56957497468409,1033.9570067559846,A0,U4,P5,L16,I8,T4,position_fusion,S00,X_A0_U4_P5_L16_I8_T4__S00,FUSION_UNRANKED,479.19248616101584,1029,
X_A2_U4_P1_L16_I8_T2,position_prior_screening,Phase4 L16 single-I position row.,34,17,40661,76.44753407522559,126.55370956613345,140.1831217487857,87.14866878702634,40661,43.663610135043,78.06713622509538,89.39302159564923,52.055492322992926,40661,54.82480136220039,112.20426775536339,126.40735139491267,69.89360621946504,76.84754451476996,128.72055268725592,86.55054813060283,80.11951588096584,116.88970285204215,76.01246609506937,56.054227228796,45.747487064930056,13.723407751485581,66.9182863244516,119.68094483988585,nan,nan,nan,1.0,0.463826763955822,1.784657427019277,nan,nan,17,503.30814553736514,22.502565116359904,889.9378703695736,A2,U4,P1,L16,I8,T2,position_fusion,S00,X_A2_U4_P1_L16_I8_T2__S00,FUSION_UNRANKED,481.07714370720794,1030,
X_A3_U4_P0_L16_I5_T2,position_prior_screening,Phase4 L16 single-I position row.,34,17,40661,82.60849684807978,131.4145599527736,146.82273206923358,92.12021429276888,40661,45.05899816152161,80.70440599241168,93.60642556958221,53.80330212891872,40661,59.69211222387389,117.72579672079746,133.32292645336713,74.77525366971315,83.64944756313302,133.9543639456137,89.87496320617932,85.657952955566,113.75630461627104,80.7564490524574,62.75171120588478,43.400514630554085,16.83225032625964,64.85399998729228,110.89878790131961,nan,nan,nan,1.0,0.7620937599256453,3.263502000193431,nan,nan,17,496.631137469356,22.824353213233508,930.0026041459009,A3,U4,P0,L16,I5,T2,position_fusion,S00,X_A3_U4_P0_L16_I5_T2__S00,FUSION_UNRANKED,486.59139633577684,1031,
X_A2_U4_P1_L16_I4_T2,position_prior_screening,Phase4 L16 single-I position row.,34,17,40661,78.39637046172145,126.98923961709228,138.69773430037714,87.77147955252177,40661,43.71667260826272,78.84974683023329,90.34137245916607,52.83389209395362,40661,55.028945478306014,112.3035577096739,125.23964631685885,70.08860441643286,81.64812865828947,127.30102289297487,88.05005337727374,81.12476851813759,112.28258307385993,75.9691000851077,68.2315064601377,39.54677240826709,14.366685548529915,67.52531649023085,119.66235753816309,nan,nan,nan,1.0,0.42196164549139065,1.5993527040100566,nan,nan,17,506.95252999112205,21.014782484822035,832.2045672301981,A2,U4,P1,L16,I4,T2,position_fusion,S00,X_A2_U4_P1_L16_I4_T2__S00,FUSION_UNRANKED,488.253600438881,1032,
X_A3_U4_P5_L16_I0_T2,position_prior_screening,Phase4 L16 single-I position row.,34,17,40661,122.91605229828097,190.4049269122625,206.0049628500116,133.21222676783336,40661,73.50644317763216,140.15637580393692,158.15349201516315,91.08494487658079,40661,75.65482160023612,156.93948585678777,174.82968419422264,97.2061221182848,119.527509603151,199.3236041917215,129.79182197370326,134.3681151859421,161.09106981203055,86.36900802780704,59.113146578509486,54.456592094718076,76.96756943356644,50.22785193590113,91.09579333362228,nan,nan,nan,1.0,0.12312781754604932,0.6237740030566503,nan,nan,17,372.2249210209415,43.87363740866755,953.1212205901659,A3,U4,P5,L16,I0,T2,position_fusion,S00,X_A3_U4_P5_L16_I0_T2__S00,FUSION_UNRANKED,488.3320005016958,1033,
X_A3_U4_P5_L16_I7_T4,loose_ukf_screening,Phase4 L16 single-I position row.,34,17,40661,122.74806238129895,190.8687328987147,206.70496451938448,133.08848726144802,40661,73.05378217606982,139.8321957414803,158.3233665462608,90.91885220239766,40661,75.50682756380843,156.1806276780501,173.04971872409146,97.19211776548127,120.13002761211668,195.7428882660887,129.57881269625102,133.78465269961418,159.17578947083956,85.6733493746003,59.74726434071138,49.89310255497321,77.83261613265782,48.8311086025358,83.82274511047308,nan,nan,nan,1.0,0.07268961188264897,0.3888244416880751,nan,nan,17,375.5114890124291,44.42676901986414,991.659380549559,A3,U4,P5,L16,I7,T4,position_fusion,S00,X_A3_U4_P5_L16_I7_T4__S00,FUSION_UNRANKED,490.414388880277,1034,
