mount,action,check,stroke_pair,value,limit,units,result
A,horizontal_2,ENDPOINT_CONTINUITY,4-5,0.0,0.3,m,PASS
A,horizontal_2,ALTERNATING_DISPLACEMENT,4-5,-0.983696287910847,0.0,normalized_dot_lt,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
A,horizontal_2,ENDPOINT_CONTINUITY,5-6,0.0,0.6636288252307132,m,PASS
A,horizontal_2,ALTERNATING_DISPLACEMENT,5-6,-0.9964919052210259,0.0,normalized_dot_lt,PASS
A,horizontal_2,PAIRED_CLOSURE,1-2,0.14498174560815477,0.35,closure_over_mean_stroke,PASS
A,horizontal_2,PAIRED_CLOSURE,3-4,0.0943220352876666,0.35,closure_over_mean_stroke,PASS
A,horizontal_2,PAIRED_CLOSURE,5-6,0.16933067037284186,0.35,closure_over_mean_stroke,PASS
A,vertical_original,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,6.3229959451799935,75.0,deg_p95,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,1-2,0.0,0.3,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,1-2,-0.9994650407687778,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,2-3,0.0,0.5389673500984267,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,2-3,-0.9988312539771493,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,3-4,0.0,0.5609398689099968,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,3-4,-0.9994656921655402,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,4-5,0.0,0.37862747399295127,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,4-5,-0.9975665812142498,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,5-6,0.0,0.3,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,5-6,-0.9856881798039059,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,7,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,6-7,0.0,0.47344834393080026,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,6-7,-0.9986663129993812,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,8,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,7-8,0.0,1.002459185697444,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,7-8,-0.9933991397199926,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,9,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,8-9,0.0,0.41776547663848457,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,8-9,-0.9989417797098618,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,10,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,9-10,0.0,0.34028760413608816,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,9-10,-0.9936212441039984,0.0,normalized_dot_lt,PASS
A,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,11,0.0,0.0,m,PASS
A,vertical_original,ENDPOINT_CONTINUITY,10-11,0.0,0.6056132045957174,m,PASS
A,vertical_original,ALTERNATING_DISPLACEMENT,10-11,-0.9918981523136308,0.0,normalized_dot_lt,PASS
A,vertical_original,PAIRED_CLOSURE,1-2,0.1407550026560679,0.35,closure_over_mean_stroke,PASS
A,vertical_original,PAIRED_CLOSURE,3-4,0.07157346221003116,0.35,closure_over_mean_stroke,PASS
A,vertical_original,PAIRED_CLOSURE,5-6,0.1825233889976794,0.35,closure_over_mean_stroke,PASS
A,vertical_original,PAIRED_CLOSURE,7-8,0.14052722894260714,0.35,closure_over_mean_stroke,PASS
A,vertical_original,PAIRED_CLOSURE,9-10,0.1746122071795577,0.35,closure_over_mean_stroke,PASS
A,vertical_retry,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,9.53966742597495,75.0,deg_p95,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,1-2,0.0,0.3,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,1-2,-0.9970461041147087,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,2-3,0.0,0.3,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,2-3,-0.9982959962054978,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,3-4,0.0,0.33818104827289996,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,3-4,-0.9946215415729752,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,4-5,0.0,0.3,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,4-5,-0.9924840856028045,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,5-6,0.0,0.6793989360630126,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,5-6,-0.9816846069300299,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,7,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,6-7,0.0,0.3519551094013694,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,6-7,-0.9775230468190874,0.0,normalized_dot_lt,PASS
A,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,8,0.0,0.0,m,PASS
A,vertical_retry,ENDPOINT_CONTINUITY,7-8,0.0,0.6440947626513274,m,PASS
A,vertical_retry,ALTERNATING_DISPLACEMENT,7-8,-0.9935173292559867,0.0,normalized_dot_lt,PASS
A,vertical_retry,PAIRED_CLOSURE,1-2,0.07940413706495755,0.35,closure_over_mean_stroke,PASS
A,vertical_retry,PAIRED_CLOSURE,3-4,0.11259041179688466,0.35,closure_over_mean_stroke,PASS
A,vertical_retry,PAIRED_CLOSURE,5-6,0.2100824750258616,0.35,closure_over_mean_stroke,PASS
A,vertical_retry,PAIRED_CLOSURE,7-8,1.0108666694826758,0.35,closure_over_mean_stroke,FAIL
B,horizontal_1,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,7.085929055508973,75.0,deg_p95,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
B,horizontal_1,ENDPOINT_CONTINUITY,1-2,0.0,0.4628756436826201,m,PASS
B,horizontal_1,ALTERNATING_DISPLACEMENT,1-2,-0.9901497989769766,0.0,normalized_dot_lt,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
B,horizontal_1,ENDPOINT_CONTINUITY,2-3,0.0,0.9692555271697381,m,PASS
B,horizontal_1,ALTERNATING_DISPLACEMENT,2-3,-0.9908512304549695,0.0,normalized_dot_lt,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
B,horizontal_1,ENDPOINT_CONTINUITY,3-4,0.0,0.8871900907056192,m,PASS
B,horizontal_1,ALTERNATING_DISPLACEMENT,3-4,-0.9882708881059077,0.0,normalized_dot_lt,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
B,horizontal_1,ENDPOINT_CONTINUITY,4-5,0.0,0.9945202563664978,m,PASS
B,horizontal_1,ALTERNATING_DISPLACEMENT,4-5,-0.9941185847857287,0.0,normalized_dot_lt,PASS
B,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
B,horizontal_1,ENDPOINT_CONTINUITY,5-6,0.0,0.552461996975523,m,PASS
B,horizontal_1,ALTERNATING_DISPLACEMENT,5-6,-0.9974407202829703,0.0,normalized_dot_lt,PASS
B,horizontal_1,PAIRED_CLOSURE,1-2,0.40951622848621894,0.35,closure_over_mean_stroke,FAIL
B,horizontal_1,PAIRED_CLOSURE,3-4,0.19872139792282575,0.35,closure_over_mean_stroke,PASS
B,horizontal_1,PAIRED_CLOSURE,5-6,0.07683469294368947,0.35,closure_over_mean_stroke,PASS
B,horizontal_2,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,34.52872427804661,75.0,deg_p95,PASS
B,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
B,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
B,horizontal_2,ENDPOINT_CONTINUITY,1-2,0.0,0.903816649576854,m,PASS
B,horizontal_2,ALTERNATING_DISPLACEMENT,1-2,-0.9135259995158602,0.0,normalized_dot_lt,PASS
B,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
B,horizontal_2,ENDPOINT_CONTINUITY,2-3,0.0,0.8382144665199779,m,PASS
B,horizontal_2,ALTERNATING_DISPLACEMENT,2-3,-0.5736700356125934,0.0,normalized_dot_lt,PASS
B,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
B,horizontal_2,ENDPOINT_CONTINUITY,3-4,0.0,0.3,m,PASS
B,horizontal_2,ALTERNATING_DISPLACEMENT,3-4,-0.9699641652092228,0.0,normalized_dot_lt,PASS
B,horizontal_2,PAIRED_CLOSURE,1-2,0.4269244211945376,0.35,closure_over_mean_stroke,FAIL
B,horizontal_2,PAIRED_CLOSURE,3-4,0.2775250140910056,0.35,closure_over_mean_stroke,PASS
B,vertical_original,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,8.368750177754293,75.0,deg_p95,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,1-2,0.0,0.5474608166403007,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,1-2,-0.9998126100526238,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,2-3,0.0,0.4008667536861855,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,2-3,-0.999770026137392,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,3-4,0.0,0.3843673354563633,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,3-4,-0.9999931628473275,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,4-5,0.0,0.3,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,4-5,-0.9983799794494836,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,5-6,0.0,0.6850977965929915,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,5-6,-0.9984352003375043,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,7,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,6-7,0.0,0.523503762099609,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,6-7,-0.9833078095230287,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,8,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,7-8,0.0,0.3,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,7-8,-0.993869177085754,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,9,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,8-9,0.0,0.9364863369914064,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,8-9,-0.9922712700609849,0.0,normalized_dot_lt,PASS
B,vertical_original,CHRONOLOGICAL_SIGN_PRESERVATION,10,0.0,0.0,m,PASS
B,vertical_original,ENDPOINT_CONTINUITY,9-10,0.0,0.5110118258622006,m,PASS
B,vertical_original,ALTERNATING_DISPLACEMENT,9-10,-0.9966698298728002,0.0,normalized_dot_lt,PASS
B,vertical_original,PAIRED_CLOSURE,1-2,0.17472592261780417,0.35,closure_over_mean_stroke,PASS
B,vertical_original,PAIRED_CLOSURE,3-4,0.047362212521731124,0.35,closure_over_mean_stroke,PASS
B,vertical_original,PAIRED_CLOSURE,5-6,0.0695416590624795,0.35,closure_over_mean_stroke,PASS
B,vertical_original,PAIRED_CLOSURE,7-8,0.12058566454863277,0.35,closure_over_mean_stroke,PASS
B,vertical_original,PAIRED_CLOSURE,9-10,0.10176409337747334,0.35,closure_over_mean_stroke,PASS
B,vertical_retry,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,10.868696413994249,75.0,deg_p95,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,1-2,0.0,0.6476799069975427,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,1-2,-0.9878742822464514,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,2-3,0.0,0.41575499094708934,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,2-3,-0.9978544271238133,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,3-4,0.0,1.3611795048179447,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,3-4,-0.9930684750588735,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,4-5,0.0,0.3,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,4-5,-0.9394587797868916,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,5-6,0.0,0.42059339235703624,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,5-6,-0.9997254908075262,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,7,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,6-7,0.0,1.1784297312247953,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,6-7,-0.9969877256665257,0.0,normalized_dot_lt,PASS
B,vertical_retry,CHRONOLOGICAL_SIGN_PRESERVATION,8,0.0,0.0,m,PASS
B,vertical_retry,ENDPOINT_CONTINUITY,7-8,0.0,0.3106235315436879,m,PASS
B,vertical_retry,ALTERNATING_DISPLACEMENT,7-8,-0.9853233949960789,0.0,normalized_dot_lt,PASS
B,vertical_retry,PAIRED_CLOSURE,1-2,0.21477508062229173,0.35,closure_over_mean_stroke,PASS
B,vertical_retry,PAIRED_CLOSURE,3-4,0.137284430957225,0.35,closure_over_mean_stroke,PASS
B,vertical_retry,PAIRED_CLOSURE,5-6,0.18113195509780322,0.35,closure_over_mean_stroke,PASS
B,vertical_retry,PAIRED_CLOSURE,7-8,0.17639247178038142,0.35,closure_over_mean_stroke,PASS
