host_time_iso,target,port_label,stream,seq,receiver_anchor_id,receiver_anchor,source_kind,source_id,source_anchor,source_addr,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-23T23:10:51.384+02:00,BSF66F,A,anchor,3,0,A,T,1,B,0xb101,-1,1192301241,-7373,47821,19138,2003,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_A_frame_00000022_seq_00000003_rxA_srcB.bin
2026-06-23T23:10:51.467+02:00,BSF66F,TAG,tag,1630,7,H,T,-1,BSF66F,,2077,3638587617,6234,47797,18678,1880,64,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/tag_TAG_frame_00000023_seq_00001630_rxH_srcBSF66F.bin
2026-06-23T23:10:52.332+02:00,BSF66F,C,anchor,4,2,C,T,1,B,0xb101,-1,1907980360,-7124,47708,19275,1704,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_C_frame_00000024_seq_00000004_rxC_srcB.bin
2026-06-23T23:10:52.437+02:00,BSF66F,H,anchor,4,7,H,T,1,B,0xb101,-1,1564968079,-8833,47779,19705,1803,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_H_frame_00000025_seq_00000004_rxH_srcB.bin
2026-06-23T23:10:52.450+02:00,BSF66F,G,anchor,4,6,G,T,1,B,0xb101,-1,791065728,-11830,47780,19696,1982,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_G_frame_00000026_seq_00000004_rxG_srcB.bin
2026-06-23T23:10:52.469+02:00,BSF66F,D,anchor,4,3,D,T,1,B,0xb101,-1,2922550549,-8109,47905,19551,2070,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_D_frame_00000027_seq_00000004_rxD_srcB.bin
2026-06-23T23:10:53.351+02:00,BSF66F,B,anchor,5,1,B,T,1,B,0xb101,-1,10369954,-5691,48054,17369,2058,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_B_frame_00000028_seq_00000005_rxB_srcB.bin
2026-06-23T23:10:53.385+02:00,BSF66F,TAG,tag,1632,6,G,T,-1,BSF66F,,3566,2401458894,10266,47885,21639,1869,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/tag_TAG_frame_00000029_seq_00001632_rxG_srcBSF66F.bin
2026-06-23T23:10:53.452+02:00,BSF66F,H,anchor,5,7,H,T,1,B,0xb101,-1,3124878368,-8858,47668,17987,1714,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_H_frame_00000030_seq_00000005_rxH_srcB.bin
2026-06-23T23:10:53.471+02:00,BSF66F,F,anchor,5,5,F,T,1,B,0xb101,-1,2477743937,-1485,47925,18911,1943,72,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_F_frame_00000031_seq_00000005_rxF_srcB.bin
