job_index,experiment_id,L,I,P,T,seed_id,stress_id,wall_time_s,status
6,X_A0_U4_P3_L2_I6_T2,L2,I6,P3,T2,S00,ST0_nominal,6.236056224995991,ok
6,X_A0_U4_P3_L2_I6_T3,L2,I6,P3,T3,S00,ST0_nominal,6.339717666996876,ok
6,X_A0_U4_P3_L2_I6_T4,L2,I6,P3,T4,S00,ST0_nominal,6.35913512200932,ok
6,X_A0_U4_P3_L2_I6_T5,L2,I6,P3,T5,S00,ST0_nominal,6.0441694559995085,ok
6,X_A0_U4_P4_L2_I6_T2,L2,I6,P4,T2,S00,ST0_nominal,6.2683996760169975,ok
6,X_A0_U4_P4_L2_I6_T3,L2,I6,P4,T3,S00,ST0_nominal,6.383718095981749,ok
6,X_A0_U4_P4_L2_I6_T4,L2,I6,P4,T4,S00,ST0_nominal,6.206656885013217,ok
6,X_A0_U4_P4_L2_I6_T5,L2,I6,P4,T5,S00,ST0_nominal,6.295294338982785,ok
6,X_A0_U4_P5_L2_I6_T2,L2,I6,P5,T2,S00,ST0_nominal,5.965944030001992,ok
6,X_A0_U4_P5_L2_I6_T3,L2,I6,P5,T3,S00,ST0_nominal,6.1543046420265455,ok
6,X_A0_U4_P5_L2_I6_T4,L2,I6,P5,T4,S00,ST0_nominal,6.429707763978513,ok
6,X_A0_U4_P5_L2_I6_T5,L2,I6,P5,T5,S00,ST0_nominal,6.661983073019655,ok
6,L2_S00_ST0_nominal_I6_bundle,L2,I6,,,S00,ST0_nominal,151.83516584898462,bundle_complete
1,X_A0_U4_P0_L2_I1_T2,L2,I1,P0,T2,S00,ST0_nominal,6.4040326660033315,ok
1,X_A0_U4_P0_L2_I1_T3,L2,I1,P0,T3,S00,ST0_nominal,6.294425095984479,ok
1,X_A0_U4_P0_L2_I1_T4,L2,I1,P0,T4,S00,ST0_nominal,6.144329562986968,ok
1,X_A0_U4_P0_L2_I1_T5,L2,I1,P0,T5,S00,ST0_nominal,6.498617510020267,ok
1,X_A0_U4_P1_L2_I1_T2,L2,I1,P1,T2,S00,ST0_nominal,6.195139833987923,ok
1,X_A0_U4_P1_L2_I1_T3,L2,I1,P1,T3,S00,ST0_nominal,6.111075274005998,ok
1,X_A0_U4_P1_L2_I1_T4,L2,I1,P1,T4,S00,ST0_nominal,6.152602554997429,ok
1,X_A0_U4_P1_L2_I1_T5,L2,I1,P1,T5,S00,ST0_nominal,6.188176160008879,ok
1,X_A0_U4_P2_L2_I1_T2,L2,I1,P2,T2,S00,ST0_nominal,6.352730023005279,ok
1,X_A0_U4_P2_L2_I1_T3,L2,I1,P2,T3,S00,ST0_nominal,6.237227588018868,ok
1,X_A0_U4_P2_L2_I1_T4,L2,I1,P2,T4,S00,ST0_nominal,6.271325231995434,ok
1,X_A0_U4_P2_L2_I1_T5,L2,I1,P2,T5,S00,ST0_nominal,6.23409357998753,ok
1,X_A0_U4_P3_L2_I1_T2,L2,I1,P3,T2,S00,ST0_nominal,6.33923670600052,ok
1,X_A0_U4_P3_L2_I1_T3,L2,I1,P3,T3,S00,ST0_nominal,6.238662947987905,ok
1,X_A0_U4_P3_L2_I1_T4,L2,I1,P3,T4,S00,ST0_nominal,6.154640969005413,ok
1,X_A0_U4_P3_L2_I1_T5,L2,I1,P3,T5,S00,ST0_nominal,6.257309876004001,ok
1,X_A0_U4_P4_L2_I1_T2,L2,I1,P4,T2,S00,ST0_nominal,6.228689049981767,ok
1,X_A0_U4_P4_L2_I1_T3,L2,I1,P4,T3,S00,ST0_nominal,6.217344061995391,ok
1,X_A0_U4_P4_L2_I1_T4,L2,I1,P4,T4,S00,ST0_nominal,6.269525010982761,ok
1,X_A0_U4_P4_L2_I1_T5,L2,I1,P4,T5,S00,ST0_nominal,6.6657316490018275,ok
1,X_A0_U4_P5_L2_I1_T2,L2,I1,P5,T2,S00,ST0_nominal,6.435771392018069,ok
1,X_A0_U4_P5_L2_I1_T3,L2,I1,P5,T3,S00,ST0_nominal,6.334837197005982,ok
1,X_A0_U4_P5_L2_I1_T4,L2,I1,P5,T4,S00,ST0_nominal,6.233305534988176,ok
1,X_A0_U4_P5_L2_I1_T5,L2,I1,P5,T5,S00,ST0_nominal,6.2426794829953,ok
1,L2_S00_ST0_nominal_I1_bundle,L2,I1,,,S00,ST0_nominal,151.89821750400006,bundle_complete
8,X_A0_U4_P0_L2_I8_T2,L2,I8,P0,T2,S00,ST0_nominal,6.192947987001389,ok
8,X_A0_U4_P0_L2_I8_T3,L2,I8,P0,T3,S00,ST0_nominal,6.271047923015431,ok
8,X_A0_U4_P0_L2_I8_T4,L2,I8,P0,T4,S00,ST0_nominal,6.440209574997425,ok
8,X_A0_U4_P0_L2_I8_T5,L2,I8,P0,T5,S00,ST0_nominal,6.054998059000354,ok
8,X_A0_U4_P1_L2_I8_T2,L2,I8,P1,T2,S00,ST0_nominal,6.07204367898521,ok
8,X_A0_U4_P1_L2_I8_T3,L2,I8,P1,T3,S00,ST0_nominal,6.091893559991149,ok
8,X_A0_U4_P1_L2_I8_T4,L2,I8,P1,T4,S00,ST0_nominal,6.150516371999402,ok
8,X_A0_U4_P1_L2_I8_T5,L2,I8,P1,T5,S00,ST0_nominal,6.379794467997272,ok
8,X_A0_U4_P2_L2_I8_T2,L2,I8,P2,T2,S00,ST0_nominal,6.291547563014319,ok
8,X_A0_U4_P2_L2_I8_T3,L2,I8,P2,T3,S00,ST0_nominal,6.069280658994103,ok
8,X_A0_U4_P2_L2_I8_T4,L2,I8,P2,T4,S00,ST0_nominal,6.128434610000113,ok
8,X_A0_U4_P2_L2_I8_T5,L2,I8,P2,T5,S00,ST0_nominal,6.2718776959809475,ok
8,X_A0_U4_P3_L2_I8_T2,L2,I8,P3,T2,S00,ST0_nominal,6.134349271014798,ok
8,X_A0_U4_P3_L2_I8_T3,L2,I8,P3,T3,S00,ST0_nominal,6.349974550015759,ok
8,X_A0_U4_P3_L2_I8_T4,L2,I8,P3,T4,S00,ST0_nominal,6.320801149006002,ok
8,X_A0_U4_P3_L2_I8_T5,L2,I8,P3,T5,S00,ST0_nominal,6.2269880039966665,ok
8,X_A0_U4_P4_L2_I8_T2,L2,I8,P4,T2,S00,ST0_nominal,6.583518952014856,ok
8,X_A0_U4_P4_L2_I8_T3,L2,I8,P4,T3,S00,ST0_nominal,6.235336864978308,ok
8,X_A0_U4_P4_L2_I8_T4,L2,I8,P4,T4,S00,ST0_nominal,6.64054154700716,ok
8,X_A0_U4_P4_L2_I8_T5,L2,I8,P4,T5,S00,ST0_nominal,6.419312074023765,ok
8,X_A0_U4_P5_L2_I8_T2,L2,I8,P5,T2,S00,ST0_nominal,6.363670107995858,ok
8,X_A0_U4_P5_L2_I8_T3,L2,I8,P5,T3,S00,ST0_nominal,6.181049520993838,ok
8,X_A0_U4_P5_L2_I8_T4,L2,I8,P5,T4,S00,ST0_nominal,6.519631613977253,ok
8,X_A0_U4_P5_L2_I8_T5,L2,I8,P5,T5,S00,ST0_nominal,6.349515010981122,ok
8,L2_S00_ST0_nominal_I8_bundle,L2,I8,,,S00,ST0_nominal,151.90084984299028,bundle_complete
9,X_A0_U4_P0_L2_I0_T2,L2,I0,P0,T2,S00,ST1_vibration_3x,6.382305626000743,ok
9,X_A0_U4_P0_L2_I0_T3,L2,I0,P0,T3,S00,ST1_vibration_3x,6.030729535996215,ok
9,X_A0_U4_P0_L2_I0_T4,L2,I0,P0,T4,S00,ST1_vibration_3x,6.266338710003765,ok
9,X_A0_U4_P0_L2_I0_T5,L2,I0,P0,T5,S00,ST1_vibration_3x,6.174156607012264,ok
9,X_A0_U4_P1_L2_I0_T2,L2,I0,P1,T2,S00,ST1_vibration_3x,6.26021869800752,ok
9,X_A0_U4_P1_L2_I0_T3,L2,I0,P1,T3,S00,ST1_vibration_3x,6.100375492009334,ok
9,X_A0_U4_P1_L2_I0_T4,L2,I0,P1,T4,S00,ST1_vibration_3x,6.1597550899896305,ok
9,X_A0_U4_P1_L2_I0_T5,L2,I0,P1,T5,S00,ST1_vibration_3x,6.273648725997191,ok
9,X_A0_U4_P2_L2_I0_T2,L2,I0,P2,T2,S00,ST1_vibration_3x,6.204764688009163,ok
9,X_A0_U4_P2_L2_I0_T3,L2,I0,P2,T3,S00,ST1_vibration_3x,6.63424116402166,ok
9,X_A0_U4_P2_L2_I0_T4,L2,I0,P2,T4,S00,ST1_vibration_3x,6.6485085189924575,ok
9,X_A0_U4_P2_L2_I0_T5,L2,I0,P2,T5,S00,ST1_vibration_3x,6.263500047993148,ok
9,X_A0_U4_P3_L2_I0_T2,L2,I0,P3,T2,S00,ST1_vibration_3x,6.212285363988485,ok
9,X_A0_U4_P3_L2_I0_T3,L2,I0,P3,T3,S00,ST1_vibration_3x,5.9664109450241085,ok
9,X_A0_U4_P3_L2_I0_T4,L2,I0,P3,T4,S00,ST1_vibration_3x,6.307114893977996,ok
9,X_A0_U4_P3_L2_I0_T5,L2,I0,P3,T5,S00,ST1_vibration_3x,6.665409489010926,ok
9,X_A0_U4_P4_L2_I0_T2,L2,I0,P4,T2,S00,ST1_vibration_3x,6.4303311969852075,ok
9,X_A0_U4_P4_L2_I0_T3,L2,I0,P4,T3,S00,ST1_vibration_3x,6.361922527023125,ok
